index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
189,1765224469333,2,2,1,3.27,0,0,0,0
190,1765224469482,2,2,1,3.27,0,0,0,0
191,1765224471014,2,2,1,3.27,0,0,0,0
192,1765224471081,2,2,1,3.27,0,0,0,0
193,1765224471266,2,2,1,3.27,0,0,0,0
194,1765224472901,2,2,1,3.27,0,0,0,0
195,1765224473049,2,2,1,3.27,0,0,0,0
196,1765224474732,2,2,1,3.27,0,0,0,0
197,1765224474932,2,2,1,3.27,0,0,0,0
198,1765224478315,0,2,1,3.27,0,0,0,0
199,1765224480082,0,2,1,3.27,0,0,0,0
200,1765224484950,0,4,1,3.27,0,0,0,0
201,1765224485132,0,2,1,3.27,0,0,0,0
202,1765224490065,0,4,1,3.28,0,0,0,0
203,1765224491666,0,2,1,3.28,0,0,0,0
204,1765224501564,0,4,1,3.28,0,0,0,0
205,1765224506599,0,4,1,3.28,0,0,0,0
206,1765224513731,0,4,1,3.28,0,0,0,0
207,1765224515282,0,4,1,3.28,0,0,0,0
208,1765224517082,0,4,1,3.28,0,0,0,0
209,1765224518748,0,4,1,3.28,0,0,0,0
210,1765224525248,0,4,1,3.28,0,0,0,0
211,1765224531782,0,4,1,3.28,0,0,0,0
212,1765224536714,0,4,1,3.28,0,0,0,0
213,1765224541849,0,4,1,3.28,0,0,0,0
214,1765224545416,0,4,1,3.28,0,0,0,0
215,1765224552215,0,4,1,3.28,0,0,0,0
216,1765224560497,0,4,1,3.28,0,0,0,0
217,1765224634648,0,4,1,3.28,0,0,0,0
218,1765224638331,0,4,1,3.28,0,0,0,0
219,1765224640163,0,4,1,3.28,0,0,0,0
220,1765224645698,0,4,1,3.28,0,0,0,0
221,1765224650682,0,4,3,3.22,0,0,0,0
222,1765224657213,0,4,3,2.5,0,0,0,0
223,1765224660680,0,2,3,2.66,0,0,0,0
224,1765224662363,0,1,3,3.25,0,0,0,0
225,1765224664163,0,2,1,3.26,0,0,0,0
226,1765224670847,0,4,3,3.18,0,0,0,0
227,1765224674463,0,2,1,3.27,0,0,0,0
228,1765224674632,0,2,1,3.27,0,0,0,0
229,1765224676379,0,2,1,3.27,0,0,0,0
230,1765224685162,0,2,1,3.27,0,0,0,0
231,1765224691813,0,4,3,3.01,0,0,0,0
232,1765224692038,0,4,3,2.94,0,0,0,0
233,1765224696829,2,1,3,2.31,0,0,0,0
234,1765224696978,2,1,3,3.23,0,0,0,0
235,1765224698596,2,1,3,3.24,0,0,0,0
236,1765224700329,2,1,3,3.25,0,0,0,0
237,1765224702129,2,1,3,3.26,0,0,0,0
238,1765224702164,2,1,3,3.26,0,0,0,0
239,1765224703678,2,2,1,3.26,0,0,0,0
240,1765224703930,2,2,1,3.26,0,0,0,0
241,1765224705745,2,2,1,3.26,0,0,0,0
242,1765224707596,2,2,1,3.26,0,0,0,0
243,1765224709396,2,2,1,3.27,0,0,0,0
244,1765224711296,2,2,1,3.27,0,0,0,0
245,1765224713112,2,2,1,3.27,0,0,0,0
246,1765224718744,0,2,1,3.27,0,0,0,0
247,1765224720545,0,2,1,3.27,0,0,0,0
