index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
358,1782667559608,43,0
359,1782667560258,43,0
360,1782667560726,43,0
361,1782667560908,43,0
362,1782667561226,43,0
363,1782667561892,43,0
364,1782667562309,43,0
365,1782667562875,43,0
366,1782667563808,43,0
367,1782667564476,43,0
368,1782667564909,43,0
369,1782667566444,43,0
370,1782667567492,43,0
371,1782667568225,43,0
372,1782667568459,43,0
373,1782667569010,43,0
374,1782667569459,43,0
375,1782667570308,43,0
376,1782667570944,43,0
377,1782667571358,43,0
378,1782667571959,43,0
379,1782667700127,0,0
380,1782667700845,0,0
381,1782667701645,0,0
382,1782667701728,0,0
383,1782667702546,0,0
384,1782667705396,0,0
385,1782667706895,0,0
386,1782667707277,0,0
387,1782667707545,0,0
388,1782667707878,0,0
389,1782667708077,0,0
390,1782667708312,0,0
391,1782667708678,0,0
392,1782667708995,0,0
393,1782667710161,0,0
394,1782667712511,0,0
395,1782667712795,0,0
396,1782667713362,0,0
397,1782667713694,0,0
398,1782667714062,0,0
399,1782667714379,0,0
400,1782667714694,0,0
401,1782667715028,0,0
402,1782667715344,0,0
403,1782667715495,0,0
404,1782667715811,0,0
405,1782667719397,0,0
406,1782667719695,0,0
407,1782667720027,0,0
408,1782667720228,0,0
409,1782667720828,0,0
410,1782667721111,0,0
411,1782667721462,0,0
412,1782667721779,0,0
413,1782667722144,0,0
414,1782667722362,0,0
415,1782667722728,0,0
416,1782667723761,0,0
417,1782667724311,0,0
418,1782667724612,0,0
419,1782667729578,0,0
420,1782667729996,0,0
421,1782667731062,0,0
422,1782667731462,0,0
423,1782667731761,0,0
424,1782667732046,0,0
425,1782667732646,0,0
426,1782667732879,0,0
427,1782667733228,0,0
428,1782667733545,0,0
429,1782667733796,0,0
430,1782667734162,0,0
431,1782667735229,0,0
432,1782667735545,0,0
433,1782667735878,0,0
434,1782667736179,0,0
435,1782667738795,0,0
436,1782667739211,0,0
437,1782667739828,0,0
438,1782667740295,0,0
439,1782667740661,0,0
440,1782667741029,0,0
441,1782667744061,0,0
442,1782667744362,0,0
443,1782667744678,0,0
444,1782667744828,0,0
445,1782667745179,0,0
446,1782667745495,0,0
447,1782667747546,0,0
448,1782667748745,0,0
449,1782667749896,0,0
450,1782667750145,0,0
451,1782667750695,0,0
452,1782667750962,0,0
453,1782667751228,0,0
454,1782667751579,0,0
455,1782667751863,0,0
456,1782667768097,0,0
457,1782667768795,0,0
458,1782667769496,0,0
459,1782667770279,0,0
460,1782667770396,0,0
461,1782667771262,0,0
462,1782667771598,0,0
463,1782667775045,0,0
464,1782667775429,0,0
465,1782667775679,0,0
466,1782667777429,0,0
467,1782667777729,0,0
468,1782667778062,0,0
469,1782667778278,0,0
470,1782667779178,0,0
471,1782667779496,0,0
472,1782667779846,0,0
473,1782667780146,0,0
474,1782667780479,0,0
475,1782667780762,0,0
476,1782667780895,0,0
477,1782667781212,0,0
478,1782667781562,0,0
479,1782667781962,0,0
480,1782667783412,0,0
481,1782667783713,0,0
482,1782667783962,0,0
483,1782667784579,0,0
484,1782667786047,0,0
485,1782667787462,0,0
486,1782667787779,0,0
487,1782667789546,0,0
488,1782667789846,0,0
489,1782667790196,0,0
490,1782667795681,0,0
491,1782667796247,0,0
492,1782667798329,0,0
493,1782667799447,0,0
494,1782667800062,0,0
495,1782667801546,0,0
496,1782667801829,0,0
497,1782667802212,0,0
498,1782667803029,0,0
499,1782667803429,0,0
500,1782667806295,0,0
501,1782667806597,0,0
502,1782667807029,0,0
503,1782667807379,0,0
504,1782667807663,0,0
505,1782667807763,0,0
506,1782667808079,0,0
507,1782667808446,0,0
508,1782667808796,0,0
509,1782667809113,0,0
510,1782667809429,0,0
511,1782667810296,0,0
512,1782667810529,0,0
513,1782667813763,0,0
514,1782667814063,0,0
515,1782667814463,0,0
516,1782667814829,0,0
517,1782667815030,0,0
518,1782667815246,0,0
519,1782667815579,0,0
520,1782667815896,0,0
521,1782667816229,0,0
522,1782667816513,0,0
523,1782667817096,0,0
524,1782667817412,0,0
525,1782667818463,0,0
526,1782667818730,0,0
527,1782667819096,0,0
528,1782667819429,0,0
529,1782667819646,0,0
530,1782667826613,0,0
531,1782667826962,0,0
532,1782667827163,0,0
533,1782667828714,0,0
534,1782667829030,0,0
535,1782667829399,0,0
536,1782667829647,0,0
537,1782667829831,0,0
538,1782667830163,0,0
539,1782667830496,0,0
540,1782667830846,0,0
541,1782667831163,0,0
542,1782667832630,0,0
543,1782667834429,0,0
544,1782667835564,0,0
545,1782667835847,0,0
546,1782667836179,0,0
547,1782667837179,0,0
548,1782667837396,0,0
549,1782667839780,0,0
550,1782667842663,0,0
551,1782667842980,0,0
552,1782667843313,0,0
553,1782667843563,0,0
554,1782667843847,0,0
555,1782667844197,0,0
556,1782667851114,0,0
557,1782667851496,0,0
558,1782667852298,0,0
559,1782667852563,0,0
560,1782667853214,0,0
561,1782667853530,0,0
562,1782667853880,0,0
563,1782667854030,0,0
564,1782667854647,0,0
565,1782667855047,0,0
566,1782667855363,0,0
567,1782667857713,0,0
568,1782667857998,0,0
569,1782667858347,0,0
570,1782667858697,0,0
571,1782667858966,0,0
572,1782667859563,0,0
573,1782667859831,0,0
574,1782667860147,0,0
575,1782667860513,0,0
576,1782667860797,0,0
577,1782667861114,0,0
578,1782667861415,0,0
579,1782667861530,0,0
580,1782667861913,0,0
581,1782667862247,0,0
582,1782667862530,0,0
583,1782667865464,0,0
584,1782667865831,0,0
585,1782667866164,0,0
586,1782667866298,0,0
587,1782667866597,0,0
588,1782667866930,0,0
