index,date,NTC_1,NTC_2,NTC_3
401,1782667492308,25.5,25.370000000000001,-0.01
402,1782667493358,25.5,25.370000000000001,-0.01
403,1782667494076,25.440000000000001,25.309999999999999,-0.01
404,1782667494491,25.5,25.440000000000001,-0.01
405,1782667495891,25.5,25.440000000000001,-0.01
406,1782667496992,25.5,25.440000000000001,-0.01
407,1782667497342,25.440000000000001,25.440000000000001,-0.01
408,1782667497542,25.5,25.440000000000001,-0.01
409,1782667497924,25.5,25.370000000000001,-0.01
410,1782667498374,25.440000000000001,25.440000000000001,-0.01
411,1782667499358,25.57,25.5,-0.01
412,1782667499841,25.440000000000001,25.5,-0.01
413,1782667500074,25.5,25.440000000000001,-0.01
414,1782667500391,25.5,25.440000000000001,-0.01
415,1782667501441,25.440000000000001,25.440000000000001,-0.01
416,1782667501824,25.5,25.440000000000001,-0.01
417,1782667502524,25.440000000000001,25.370000000000001,-0.01
418,1782667503825,25.5,25.440000000000001,-0.01
419,1782667505176,25.440000000000001,25.440000000000001,-0.01
420,1782667505658,25.5,25.5,-0.01
421,1782667506008,25.370000000000001,25.5,-0.01
422,1782667506426,25.5,25.440000000000001,-0.01
423,1782667508075,25.440000000000001,25.440000000000001,-0.01
424,1782667508441,25.5,25.440000000000001,-0.01
425,1782667508876,25.5,25.440000000000001,-0.01
426,1782667509325,25.5,25.5,-0.01
427,1782667509644,25.5,25.440000000000001,-0.01
428,1782667509810,25.440000000000001,25.5,-0.01
429,1782667510291,25.440000000000001,25.5,-0.01
430,1782667510291,25.5,25.5,-0.01
431,1782667510677,25.5,25.440000000000001,-0.01
432,1782667511074,25.440000000000001,25.57,-0.01
433,1782667511874,25.5,25.440000000000001,-0.01
434,1782667512207,25.5,25.440000000000001,-0.01
435,1782667512541,25.5,25.440000000000001,-0.01
436,1782667513691,25.5,25.370000000000001,-0.01
437,1782667514025,25.5,25.440000000000001,-0.01
438,1782667514391,25.440000000000001,25.440000000000001,-0.01
439,1782667514658,25.5,25.440000000000001,-0.01
440,1782667515124,25.5,25.440000000000001,-0.01
441,1782667515491,25.440000000000001,25.440000000000001,-0.01
442,1782667515925,25.440000000000001,25.440000000000001,-0.01
443,1782667516342,25.5,25.440000000000001,-0.01
444,1782667516758,25.440000000000001,25.5,-0.01
445,1782667517341,25.5,25.370000000000001,-0.01
446,1782667517775,25.440000000000001,25.5,-0.01
447,1782667518224,25.5,25.440000000000001,-0.01
448,1782667518558,25.440000000000001,25.440000000000001,-0.01
449,1782667518925,25.5,25.440000000000001,-0.01
450,1782667519374,25.5,25.440000000000001,-0.01
451,1782667520308,25.440000000000001,25.440000000000001,-0.01
452,1782667521125,25.440000000000001,25.440000000000001,-0.01
453,1782667521624,25.440000000000001,25.370000000000001,-0.01
454,1782667522158,25.440000000000001,25.370000000000001,-0.01
455,1782667522541,25.5,25.370000000000001,-0.01
456,1782667523241,25.440000000000001,25.309999999999999,-0.01
457,1782667523658,25.5,25.440000000000001,-0.01
458,1782667524625,25.440000000000001,25.370000000000001,-0.01
459,1782667525558,25.5,25.370000000000001,-0.01
460,1782667525942,25.440000000000001,25.440000000000001,-0.01
461,1782667527175,25.440000000000001,25.440000000000001,-0.01
462,1782667528209,25.440000000000001,25.370000000000001,-0.01
463,1782667528642,25.370000000000001,25.239999999999998,-0.01
464,1782667529042,25.440000000000001,25.370000000000001,-0.01
465,1782667530324,25.829999999999998,26.66,-0.01
466,1782667531192,25.699999999999999,25.57,-0.01
467,1782667531543,26.350000000000001,26.41,-0.01
468,1782667531876,25.239999999999998,25.640000000000001,-0.01
469,1782667532125,25.370000000000001,25.960000000000001,-0.01
470,1782667532624,25.5,25.699999999999999,-0.01
471,1782667533008,25.699999999999999,26.73,-0.01
472,1782667533577,26.09,27.100000000000001,-0.01
473,1782667534893,26.350000000000001,25.640000000000001,-0.01
474,1782667535443,25.57,26.66,-0.01
475,1782667536444,26.149999999999999,27.350000000000001,-0.01
476,1782667537226,27.23,26.789999999999999,-0.01
477,1782667537876,26.280000000000001,27.23,-0.01
478,1782667538591,25.640000000000001,28.210000000000001,-0.01
479,1782667539325,26.920000000000002,26.73,-0.01
480,1782667539926,26.09,26.41,-0.01
481,1782667540475,26.98,27.170000000000002,-0.01
482,1782667541058,25.370000000000001,26.41,-0.01
483,1782667541725,26.280000000000001,27.23,-0.01
484,1782667542242,26.920000000000002,26.73,-0.01
485,1782667542859,26.539999999999999,27.91,-0.01
486,1782667543394,25.960000000000001,29.050000000000001,-0.01
487,1782667543458,27.23,27.48,-0.01
488,1782667543925,26.280000000000001,27.170000000000002,-0.01
489,1782667544225,26.539999999999999,28.809999999999999,-0.01
490,1782667544725,26.09,27.420000000000002,-0.01
491,1782667545743,26.850000000000001,27.969999999999999,-0.01
492,1782667545810,26.219999999999999,27.789999999999999,-0.01
493,1782667546292,25.5,25.440000000000001,-0.01
494,1782667547010,25.5,25.370000000000001,-0.01
495,1782667547526,26.09,28.629999999999999,-0.01
496,1782667548091,25.699999999999999,27.289999999999999,-0.01
497,1782667548558,27.600000000000001,26.66,-0.01
498,1782667549259,25.960000000000001,27.719999999999999,-0.01
499,1782667549741,25.5,25.960000000000001,-0.01
500,1782667550225,25.57,25.440000000000001,-0.01
501,1782667550726,25.440000000000001,25.440000000000001,-0.01
502,1782667551193,26.149999999999999,27.539999999999999,-0.01
503,1782667551325,26.350000000000001,27.719999999999999,-0.01
504,1782667551842,25.899999999999999,27.100000000000001,-0.01
505,1782667552341,25.960000000000001,27.100000000000001,-0.01
506,1782667552842,26.850000000000001,28.030000000000001,-0.01
507,1782667553992,26.66,26.98,-0.01
508,1782667554909,25.5,25.440000000000001,-0.01
509,1782667555492,25.57,25.57,-0.01
510,1782667555842,25.57,25.5,-0.01
511,1782667556575,25.57,25.640000000000001,-0.01
512,1782667556626,25.640000000000001,25.57,-0.01
513,1782667557175,25.640000000000001,25.57,-0.01
514,1782667557725,25.640000000000001,25.699999999999999,-0.01
515,1782667558258,25.699999999999999,25.57,-0.01
516,1782667558477,25.640000000000001,25.640000000000001,-0.01
