index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
608,1765218772424,0,0,0,0,0,0,0,0
609,1765218789408,0,0,0,0,0,0,0,0
610,1765218791308,0,0,0,0,0,0,0,0
611,1765218791441,0,0,0,0,0,0,0,0
612,1765218791708,0,0,0,0,0,0,0,0
613,1765218792108,0,0,0,0,0,0,0,0
614,1765218793158,0,0,0,0,0,0,0,0
615,1765218793291,0,0,0,0,0,0,0,0
616,1765218794083,0,0,0,0,0,0,0,0
617,1765218794292,0,0,0,0,0,0,0,0
618,1765218797009,0,0,0,0,0,0,0,0
619,1765218797341,0,0,0,0,0,0,0,0
620,1765218798075,0,0,0,0,0,0,0,0
621,1765218798474,0,0,0,0,0,0,0,0
622,1765218798758,0,0,0,0,0,0,0,0
623,1765218798874,0,0,0,0,0,0,0,0
624,1765218799208,0,0,0,0,0,0,0,0
625,1765218799625,0,0,0,0,0,0,0,0
626,1765218799958,0,0,0,0,0,0,0,0
627,1765218800074,0,0,0,0,0,0,0,0
628,1765218800341,0,0,0,0,0,0,0,0
629,1765218800658,0,0,0,0,0,0,0,0
630,1765218801058,0,0,0,0,0,0,0,0
631,1765218801807,0,0,0,0,0,0,0,0
632,1765218802174,0,0,0,0,0,0,0,0
633,1765218802507,0,0,0,0,0,0,0,0
634,1765218802625,0,0,0,0,0,0,0,0
635,1765218802908,0,0,0,0,0,0,0,0
636,1765218803374,0,0,0,0,0,0,0,0
637,1765218803641,0,0,0,0,0,0,0,0
638,1765218804075,0,0,0,0,0,0,0,0
639,1765218804358,0,0,0,0,0,0,0,0
640,1765218804491,0,0,0,0,0,0,0,0
641,1765218804758,0,0,0,0,0,0,0,0
642,1765218805225,0,0,0,0,0,0,0,0
643,1765218805507,0,0,0,0,0,0,0,0
644,1765218805924,0,0,0,0,0,0,0,0
645,1765218806225,0,0,0,0,0,0,0,0
646,1765218806341,0,0,0,0,0,0,0,0
647,1765218806659,0,0,0,0,0,0,0,0
648,1765218807072,0,0,0,0,0,0,0,0
649,1765218807375,0,0,0,0,0,0,0,0
650,1765218807775,0,0,0,0,0,0,0,0
651,1765218808058,0,0,0,0,0,0,0,0
652,1765218808191,0,0,0,0,0,0,0,0
