index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
491,1782580793329,739,739,0
492,1782580793445,718,718,0
493,1782580794544,736,736,0
494,1782580795560,638,638,0
495,1782580796060,611,611,0
496,1782580796409,624,624,0
497,1782580797343,658,658,0
498,1782580797809,629,629,0
499,1782580798042,346,346,0
500,1782580798558,571,571,0
501,1782580799907,630,630,0
502,1782580800606,650,650,0
503,1782580800822,619,619,0
504,1782580801722,781,781,0
505,1782580802172,693,693,0
506,1782580803670,666,666,0
507,1782580804736,697,697,0
508,1782580806318,921,921,0
509,1782580807433,888,888,0
510,1782580807766,851,851,0
511,1782580807883,812,812,0
512,1782580808966,695,695,0
513,1782580809665,720,720,0
514,1782580810098,718,718,0
515,1782580810231,562,562,0
516,1782580810614,0,0,0
517,1782580811197,519,519,0
518,1782580811663,668,668,0
519,1782580813179,771,771,0
520,1782580814178,712,712,0
521,1782580815760,680,680,0
522,1782580816892,237,237,0
523,1782580818457,840,840,0
524,1782580819473,460,460,0
525,1782580819790,489,489,0
526,1782580820423,556,556,0
527,1782580821388,684,684,0
528,1782580822954,576,576,0
529,1782580824336,604,604,0
530,1782580824652,641,641,0
531,1782580825169,658,658,0
532,1782580826101,774,774,0
533,1782580826534,790,790,0
534,1782580827167,696,696,0
535,1782580828732,818,818,0
536,1782580830597,762,762,0
537,1782580831214,795,795,0
538,1782580831663,814,814,0
539,1782580831997,574,574,0
540,1782580832113,0,0,0
541,1782580833229,0,0,0
542,1782580834245,218,218,0
543,1782580834744,320,320,0
544,1782580835110,511,511,0
545,1782580835777,491,491,0
546,1782580836159,438,438,0
547,1782580837674,180,180,0
548,1782580838740,0,0,0
549,1782580839273,0,0,0
550,1782580839706,0,0,0
551,1782580840672,0,0,0
552,1782580842188,0,0,0
553,1782580842604,0,0,0
554,1782580843236,0,0,0
555,1782580844903,0,0,0
556,1782580845918,0,0,0
557,1782580846551,0,0,0
558,1782580846817,0,0,0
559,1782580847850,0,0,0
560,1782580848766,0,0,0
561,1782580849398,0,0,0
562,1782580850380,0,0,0
563,1782580851946,0,0,0
564,1782580853328,0,0,0
565,1782580853645,0,0,0
566,1782580854194,0,0,0
567,1782580855210,0,0,0
568,1782580857508,0,0,0
569,1782580899425,0,0,0
570,1782580900224,0,0,0
571,1782580900323,0,0,0
572,1782580901124,0,0,0
573,1782580901923,0,0,0
574,1782580902073,0,0,0
575,1782580902389,0,0,0
576,1782580902673,0,0,0
577,1782580903039,0,0,0
578,1782580903305,0,0,0
579,1782580903760,0,0,0
580,1782580904803,0,0,0
581,1782580908951,0,0,0
582,1782580909301,0,0,0
583,1782580909817,0,0,0
584,1782580910116,0,0,0
585,1782580910499,0,0,0
586,1782580910765,0,0,0
587,1782580913447,0,0,0
588,1782581234041,643,643,0
589,1782581234426,962,962,0
590,1782581234690,979,979,0
591,1782581236356,906,906,0
592,1782581236906,881,881,0
593,1782581237905,823,823,0
594,1782581239170,793,793,0
595,1782581239786,718,718,0
596,1782581241302,651,651,0
597,1782581241385,457,457,0
598,1782581241768,216,216,0
599,1782581242650,532,532,0
600,1782581243067,503,503,0
601,1782581243950,517,517,0
602,1782581244965,470,470,0
603,1782581245332,476,476,0
604,1782581247080,643,643,0
605,1782581248129,632,632,0
606,1782581248513,679,679,0
607,1782581249045,267,267,0
608,1782581250078,642,642,0
609,1782581250711,564,564,0
610,1782581251676,519,519,0
611,1782581252742,754,754,0
612,1782581254307,415,415,0
613,1782581255290,595,595,0
614,1782581255739,551,551,0
615,1782581255872,540,540,0
616,1782581256189,177,177,0
617,1782581257156,290,290,0
618,1782581259203,836,836,0
619,1782581259770,570,570,0
620,1782581262467,669,669,0
621,1782581264066,207,207,0
622,1782581265132,684,684,0
623,1782581265482,638,638,0
624,1782581265615,594,594,0
625,1782581266064,299,299,0
626,1782581267013,756,756,0
627,1782581267646,899,899,0
628,1782581268496,702,702,0
629,1782581268928,655,655,0
630,1782581269894,262,262,0
631,1782581270244,565,565,0
632,1782581270727,862,862,0
633,1782581271160,432,432,0
634,1782581272009,437,437,0
635,1782581272459,459,459,0
636,1782581272742,547,547,0
637,1782581274191,669,669,0
638,1782581277155,627,627,0
639,1782581277488,653,653,0
640,1782581278071,716,716,0
641,1782581279103,590,590,0
642,1782581279470,604,604,0
643,1782581281051,866,866,0
644,1782581281684,781,781,0
645,1782581282617,642,642,0
646,1782581283649,883,883,0
647,1782581284698,697,697,0
648,1782581284848,519,519,0
649,1782581285232,484,484,0
650,1782581286297,743,743,0
651,1782581286946,913,913,0
652,1782581287913,787,787,0
653,1782581288529,890,890,0
654,1782581288946,854,854,0
655,1782581290477,971,971,0
656,1782581291543,865,865,0
657,1782581293141,0,0,0
658,1782581293825,969,969,0
659,1782581294774,946,946,0
660,1782581295373,796,796,0
661,1782581295789,759,759,0
662,1782581296755,741,741,0
663,1782581298603,843,843,0
664,1782581299037,754,754,0
665,1782581299486,922,922,0
666,1782581299869,594,594,0
667,1782581301552,0,0,0
668,1782581302101,968,968,0
669,1782581303150,856,856,0
670,1782581304765,262,262,0
671,1782581305814,234,234,0
672,1782581307746,0,0,0
673,1782581308761,0,0,0
674,1782581309061,0,0,0
675,1782581309329,0,0,0
676,1782581309960,0,0,0
677,1782581310777,0,0,0
678,1782581312391,0,0,0
679,1782581313075,0,0,0
680,1782581313491,0,0,0
681,1782581314108,0,0,0
682,1782581314707,0,0,0
683,1782581315372,0,0,0
684,1782581315824,0,0,0
685,1782581317421,0,0,0
686,1782581318037,0,0,0
687,1782581318437,0,0,0
688,1782581318804,0,0,0
689,1782581318903,0,0,0
690,1782581320035,0,0,0
691,1782581320768,0,0,0
692,1782581321284,0,0,0
693,1782581321651,0,0,0
694,1782581322650,0,0,0
695,1782581323865,0,0,0
696,1782581324449,0,0,0
697,1782581324831,0,0,0
698,1782581325797,0,0,0
699,1782581326730,0,0,0
700,1782581327779,0,0,0
701,1782581328679,0,0,0
702,1782581329261,0,0,0
703,1782581329661,0,0,0
704,1782581330710,0,0,0
705,1782581330843,0,0,0
706,1782581331176,0,0,0
707,1782581331610,0,0,0
708,1782581332258,0,0,0
709,1782581333873,0,0,0
710,1782581334906,0,0,0
