index,date,RIGHT_MOTOR_CURRENT
494,1782580795343,1220
495,1782580795726,1189
496,1782580795793,1193
497,1782580797178,1189
498,1782580798374,1108
499,1782580799290,1196
500,1782580801556,1191
501,1782580801921,1222
502,1782580803420,1228
503,1782580804086,1231
504,1782580804502,1231
505,1782580807168,1036
506,1782580809399,1218
507,1782580810398,1215
508,1782580810980,7
509,1782580812046,260
510,1782580812446,983
511,1782580812613,1263
512,1782580812945,1312
513,1782580813978,1196
514,1782580816626,1193
515,1782580819257,1254
516,1782580820773,1131
517,1782580821755,1230
518,1782580822138,1210
519,1782580822687,1173
520,1782580823720,1198
521,1782580824153,1195
522,1782580824902,1279
523,1782580828100,1226
524,1782580829432,1243
525,1782580829981,1229
526,1782580830381,1197
527,1782580830997,1291
528,1782580831430,1289
529,1782580832962,0
530,1782580833595,0
531,1782580833978,0
532,1782580834411,2
533,1782580834494,2
534,1782580835494,64551
535,1782580836542,1057
536,1782580837508,1042
537,1782580838491,0
538,1782580840056,0
539,1782580840456,0
540,1782580841023,0
541,1782580841438,0
542,1782580841605,0
543,1782580841921,0
544,1782580842970,0
545,1782580843686,0
546,1782580843953,0
547,1782580844669,0
548,1782580845318,0
549,1782580845701,0
550,1782580847150,0
551,1782580848649,0
552,1782580848932,0
553,1782580849199,0
554,1782580850231,0
555,1782580851213,0
556,1782580851763,0
557,1782580852146,0
558,1782580852712,0
559,1782580853095,0
560,1782580853794,0
561,1782580853978,0
562,1782580855010,0
563,1782580855942,0
564,1782580856875,0
565,1782580899574,0
566,1782580899708,0
567,1782580900528,0
568,1782580901306,0
569,1782580901389,0
570,1782580902238,0
571,1782580902555,0
572,1782580902888,0
573,1782580906352,0
574,1782580906701,0
575,1782580907002,0
576,1782580907534,0
577,1782580907817,0
578,1782580908452,0
579,1782580908733,0
580,1782580909100,0
581,1782580909484,0
582,1782580909649,0
583,1782580910001,0
584,1782580910332,0
585,1782580911747,0
586,1782580912963,0
587,1782580913313,0
588,1782581234240,6
589,1782581235690,1239
590,1782581236123,1246
591,1782581236672,1279
592,1782581237671,1304
593,1782581238654,1268
594,1782581239603,1258
595,1782581240636,1214
596,1782581241551,1157
597,1782581242435,1157
598,1782581242867,1156
599,1782581244715,1132
600,1782581245631,1122
601,1782581246014,1131
602,1782581246830,1253
603,1782581247863,1193
604,1782581248795,1223
605,1782581250477,1204
606,1782581250894,1188
607,1782581251027,1173
608,1782581251410,1166
609,1782581252076,1143
610,1782581252442,1228
611,1782581253142,1258
612,1782581253991,1172
613,1782581255023,1214
614,1782581256922,5
615,1782581257938,672
616,1782581258188,64496
617,1782581258521,1172
618,1782581258937,1261
619,1782581259553,1295
620,1782581261135,1231
621,1782581262168,1225
622,1782581263833,1155
623,1782581264865,1274
624,1782581265781,1219
625,1782581266813,1225
626,1782581267363,1298
627,1782581267813,1347
628,1782581268263,1284
629,1782581268684,1266
630,1782581270495,1202
631,1782581271892,1136
632,1782581273075,1135
633,1782581274041,1060
634,1782581274973,1143
635,1782581275939,1218
636,1782581276888,1180
637,1782581277655,1182
638,1782581278903,1234
639,1782581279836,1213
640,1782581280402,1109
641,1782581280785,1136
642,1782581281418,1279
643,1782581283400,1164
644,1782581284482,1282
645,1782581285065,1212
646,1782581285614,1242
647,1782581286647,1279
648,1782581287164,1337
649,1782581287330,1328
650,1782581287696,1318
651,1782581288246,1253
652,1782581288728,1282
653,1782581289295,1290
654,1782581289628,1273
