index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
144,1782580510933,1,0,110
145,1782580511949,0,0,110
146,1782580512949,0,0,110
147,1782580513598,0,0,110
148,1782580514663,0,0,110
149,1782580515229,0,0,110
150,1782580515646,0,0,110
151,1782580516196,1,0,110
152,1782580516678,1,0,110
153,1782580517361,1,0,110
154,1782580517561,1,0,110
155,1782580517910,1,0,110
156,1782580520459,1,0,110
157,1782580520891,1,0,110
158,1782580521441,1,0,110
159,1782580522524,1,0,110
160,1782580522773,1,0,110
161,1782580523722,1,0,110
162,1782580525621,1,0,110
163,1782580526020,0,0,110
164,1782580526970,0,0,110
165,1782580527236,0,0,110
166,1782580527420,0,0,110
167,1782580527803,0,0,110
168,1782580528801,0,0,110
169,1782580529168,0,0,110
170,1782580529834,0,0,110
171,1782580530766,0,0,110
172,1782580531749,0,0,110
173,1782580532115,0,0,110
174,1782580532299,0,0,110
175,1782580533365,0,0,110
176,1782580534080,0,0,110
177,1782580534463,0,0,110
178,1782580534564,0,0,110
179,1782580535063,0,0,110
180,1782580535630,0,0,110
181,1782580536062,0,0,110
182,1782580536661,0,0,110
183,1782580537560,0,0,110
184,1782580539359,0,0,110
185,1782580539409,0,0,110
186,1782580540458,0,0,110
187,1782580540908,0,0,110
188,1782580541507,0,0,110
189,1782580542440,0,0,110
190,1782580543506,0,0,110
191,1782580545088,0,0,110
192,1782580545721,0,0,110
193,1782580546154,0,0,110
194,1782580547304,0,0,110
195,1782580547745,0,0,110
196,1782580548352,0,0,110
197,1782580548818,0,0,110
198,1782580549084,0,0,110
199,1782580549318,0,0,110
200,1782580550633,0,0,110
201,1782580550999,0,0,110
202,1782580551499,0,0,110
203,1782580551816,0,0,110
204,1782580552715,0,0,110
205,1782580553131,0,0,110
206,1782580554630,0,0,110
207,1782580555698,0,0,110
208,1782580556113,0,0,110
209,1782580556379,0,0,110
210,1782580556646,0,0,110
211,1782580557279,0,0,110
212,1782580558328,0,0,110
213,1782580558661,0,0,110
214,1782580559261,0,0,110
215,1782580560976,0,0,110
216,1782580561525,0,0,110
217,1782580562576,0,0,110
218,1782580564123,0,0,110
219,1782580564556,0,0,110
220,1782580565240,0,0,110
221,1782580566788,0,0,110
222,1782580567870,0,0,110
223,1782580568536,0,0,110
224,1782580569053,0,0,110
225,1782580570135,0,0,110
226,1782580570884,0,0,110
227,1782580571034,0,0,110
228,1782580571684,0,0,110
229,1782580572066,0,0,110
230,1782580572749,0,0,110
231,1782580573233,0,0,110
232,1782580573333,0,0,110
233,1782580574366,0,0,110
234,1782580575414,0,0,110
235,1782580575597,0,0,110
236,1782580576364,0,0,110
237,1782580577295,0,0,110
238,1782580578161,0,0,110
239,1782580579544,0,0,110
240,1782580580788,0,0,110
241,1782580581709,0,0,110
242,1782580582309,0,0,110
243,1782580582875,0,0,110
244,1782580582957,0,0,110
245,1782580583390,0,0,110
246,1782580583990,0,0,110
247,1782580585289,0,0,110
248,1782580585623,0,0,110
249,1782580586671,0,0,110
250,1782580588170,1,0,110
251,1782580588554,1,0,110
252,1782580589185,1,0,110
253,1782580589635,1,0,110
254,1782580590817,1,0,110
255,1782580591218,1,0,110
256,1782580592235,1,0,110
257,1782580592482,1,0,110
258,1782580593065,1,0,110
259,1782580594147,1,0,110
260,1782580594764,1,0,110
261,1782580595346,1,0,110
262,1782580596445,1,0,110
263,1782580598026,1,0,110
264,1782580598426,1,0,110
265,1782580598993,1,0,110
266,1782580599426,1,0,110
267,1782580600008,1,0,110
268,1782580600558,1,0,110
269,1782580600974,1,0,110
270,1782580602023,1,0,110
271,1782580602207,1,0,110
272,1782580602573,1,0,110
273,1782580603589,1,0,110
274,1782580605087,1,0,110
275,1782580606469,1,0,110
276,1782580606870,1,0,110
277,1782580607352,1,0,110
278,1782580607752,1,0,110
279,1782580608385,1,0,110
280,1782580609667,1,0,110
281,1782580610501,1,0,110
282,1782580610932,1,0,110
283,1782580611516,1,0,110
284,1782580612498,1,0,110
285,1782580613181,1,0,110
286,1782580614197,1,0,0
287,1782580614813,1,0,0
288,1782580615812,1,0,0
289,1782580618543,1,0,0
290,1782580621208,1,0,0
291,1782580621557,1,0,0
292,1782580621657,1,0,0
293,1782580622722,1,0,0
294,1782580623688,1,0,0
295,1782580624571,1,0,0
296,1782580625637,1,0,0
297,1782580627269,1,0,110
298,1782580627902,1,0,110
299,1782580628334,1,0,110
300,1782580629883,1,0,110
301,1782580630899,1,0,110
302,1782580631182,1,0,110
303,1782580631399,1,0,110
304,1782580631848,1,0,110
305,1782580633113,1,0,110
306,1782580633646,1,0,110
307,1782580633880,1,0,110
308,1782580634346,1,0,110
309,1782580635262,1,0,110
310,1782580635661,1,0,110
311,1782580636195,1,0,110
312,1782580636460,1,0,110
313,1782580637410,1,0,110
314,1782580639408,1,0,110
315,1782580640391,1,0,110
316,1782580641007,1,0,110
317,1782580641324,1,0,110
318,1782580641907,0,0,110
319,1782580642972,0,0,110
320,1782580643271,0,0,110
321,1782580643505,0,0,110
322,1782580643955,1,0,110
323,1782580644538,1,0,110
324,1782580644954,1,0,110
325,1782580646119,1,0,110
326,1782580646569,1,0,110
327,1782580647168,1,0,110
328,1782580647618,1,0,110
329,1782580649168,1,0,110
330,1782580649783,1,0,110
331,1782580650216,1,0,110
332,1782580650732,1,0,110
333,1782580651748,1,0,110
334,1782580652414,1,0,110
335,1782580653097,1,0,110
336,1782580654113,1,0,110
337,1782580654746,1,0,110
338,1782580655196,1,0,110
339,1782580655462,1,0,110
340,1782580655695,1,0,110
341,1782580656727,0,0,110
342,1782580658675,0,0,110
343,1782580659991,0,0,110
344,1782580660157,0,0,110
345,1782580660857,0,0,110
346,1782580662206,0,0,110
347,1782580662722,0,0,110
348,1782580663072,0,0,110
349,1782580664038,0,0,110
350,1782580664404,0,0,110
351,1782580665937,0,0,110
352,1782580667002,0,0,110
353,1782580667618,0,0,110
354,1782580668552,0,0,110
355,1782580669566,0,0,110
356,1782580669816,0,0,110
357,1782580670066,0,0,110
358,1782580670465,0,0,110
359,1782580671148,0,0,110
360,1782580671531,0,0,110
361,1782580673064,0,0,110
362,1782580674146,0,0,110
363,1782580675728,0,0,110
364,1782580676361,0,0,110
365,1782580676810,0,0,110
366,1782580677193,0,0,110
367,1782580677310,0,0,110
368,1782580677959,0,0,110
369,1782580679025,0,0,110
370,1782580679642,0,0,110
371,1782580679975,0,0,110
372,1782580680641,0,0,110
373,1782580681390,0,0,110
374,1782580683072,0,0,110
375,1782580683688,0,0,110
376,1782580684104,0,0,110
377,1782580684470,0,0,110
378,1782580684554,0,0,110
379,1782580685253,0,0,110
380,1782580685704,0,0,110
381,1782580686569,0,0,110
382,1782580687436,0,0,110
383,1782580687835,0,0,110
384,1782580688768,0,0,110
385,1782580689684,0,0,110
386,1782580690066,0,0,110
387,1782580691016,0,0,110
388,1782580691731,0,0,110
389,1782580691981,0,0,110
390,1782580692947,0,0,110
391,1782580693879,0,0,110
392,1782580694512,0,0,110
393,1782580694895,0,0,110
394,1782580695879,0,0,110
395,1782580696828,0,0,110
396,1782580697460,0,0,110
397,1782580697843,0,0,110
398,1782580698493,0,0,110
399,1782580699076,0,0,110
400,1782580700124,0,0,110
401,1782580700773,0,0,110
402,1782580701256,0,0,110
403,1782580701389,0,0,110
404,1782580701772,0,0,110
405,1782580702056,0,0,110
406,1782580702772,0,0,110
407,1782580704453,0,0,110
408,1782580705470,0,0,110
409,1782580706368,0,0,110
410,1782580707418,0,0,110
411,1782580708434,0,0,110
412,1782580708916,0,0,110
413,1782580710049,0,0,110
414,1782580710665,0,0,110
415,1782580711697,0,0,110
416,1782580712281,0,0,110
417,1782580714212,0,0,110
418,1782580714612,0,0,110
419,1782580715527,0,0,110
420,1782580716427,0,0,110
421,1782580716843,0,0,110
422,1782580717759,0,0,110
