index,date,ECU_MODE
133,1782580494281,1
134,1782580495230,1
135,1782580495679,1
136,1782580495813,1
137,1782580496129,1
138,1782580496512,1
139,1782580497428,1
140,1782580497844,1
141,1782580498377,1
142,1782580498727,1
143,1782580499693,1
144,1782580500275,1
145,1782580501208,1
146,1782580501625,1
147,1782580502174,1
148,1782580502557,1
149,1782580502956,1
150,1782580503140,1
151,1782580503506,1
152,1782580504089,1
153,1782580505222,1
154,1782580505521,1
155,1782580505771,1
156,1782580506404,1
157,1782580506803,1
158,1782580507437,1
159,1782580508302,1
160,1782580509417,1
161,1782580511034,1
162,1782580511982,1
163,1782580512999,1
164,1782580513664,1
165,1782580514730,1
166,1782580515280,1
167,1782580516245,1
168,1782580517428,1
169,1782580517594,1
170,1782580517962,1
171,1782580519010,1
172,1782580519859,1
173,1782580520542,1
174,1782580521508,1
175,1782580522807,1
176,1782580523373,1
177,1782580523789,1
178,1782580525670,1
179,1782580526587,1
180,1782580527020,1
181,1782580527270,1
182,1782580527469,1
183,1782580527852,1
184,1782580528834,1
185,1782580529201,1
186,1782580530834,1
187,1782580531816,1
188,1782580532132,1
189,1782580532366,1
190,1782580532981,1
191,1782580533414,1
192,1782580534114,1
193,1782580534513,1
194,1782580534613,1
195,1782580535679,1
196,1782580536712,1
197,1782580537644,1
198,1782580538560,1
199,1782580539010,1
200,1782580539459,1
201,1782580540508,1
202,1782580541158,1
203,1782580541575,1
204,1782580543539,1
205,1782580544672,1
206,1782580545754,1
207,1782580547337,1
208,1782580547761,1
209,1782580548402,1
210,1782580549135,1
211,1782580549351,1
212,1782580550666,1
213,1782580552782,1
214,1782580555313,1
215,1782580555714,1
216,1782580556396,1
217,1782580558395,0
218,1782580558712,0
219,1782580558894,0
220,1782580559943,0
221,1782580560593,0
222,1782580561025,0
223,1782580561559,0
224,1782580562174,0
225,1782580562608,0
226,1782580563191,0
227,1782580564173,0
228,1782580566421,0
229,1782580566839,0
230,1782580567455,0
231,1782580567920,0
232,1782580569086,0
233,1782580570168,0
234,1782580570901,0
235,1782580571084,0
236,1782580571717,0
237,1782580572766,0
238,1782580573350,0
239,1782580574397,1
240,1782580575464,1
241,1782580575647,1
242,1782580577379,1
243,1782580578196,1
244,1782580579145,1
245,1782580579594,1
246,1782580580788,1
247,1782580581309,1
248,1782580581742,1
249,1782580582392,1
250,1782580582991,1
251,1782580584073,1
252,1782580584674,1
253,1782580585172,1
254,1782580585322,1
255,1782580585689,1
256,1782580586738,1
257,1782580588203,1
258,1782580588619,1
259,1782580589251,1
