index,date,BMS_MODE
396,1782580699343,2
397,1782580700008,2
398,1782580700507,2
399,1782580701606,2
400,1782580702388,2
401,1782580705070,2
402,1782580705170,2
403,1782580708183,2
404,1782580709516,2
405,1782580710099,2
406,1782580710615,2
407,1782580710682,2
408,1782580712830,2
409,1782580713712,2
410,1782580714679,2
411,1782580715144,2
412,1782580715195,2
413,1782580716160,2
414,1782580716593,2
415,1782580716993,2
416,1782580717460,2
417,1782580717943,2
418,1782580718508,2
419,1782580718941,2
420,1782580719525,2
421,1782580719907,2
422,1782580720973,2
423,1782580721406,2
424,1782580722022,2
425,1782580722455,2
426,1782580723521,2
427,1782580723588,2
428,1782580724037,2
429,1782580724637,2
430,1782580725086,2
431,1782580726102,2
432,1782580727251,2
433,1782580728251,2
434,1782580729799,2
435,1782580731398,2
436,1782580731431,2
437,1782580732546,2
438,1782580733496,2
439,1782580734045,2
440,1782580735544,2
441,1782580735677,2
442,1782580737159,2
443,1782580738308,2
444,1782580738775,2
445,1782580740374,2
446,1782580740973,2
447,1782580741889,2
448,1782580743238,2
449,1782580743621,2
450,1782580744154,2
451,1782580745769,2
452,1782580747650,2
453,1782580748700,2
454,1782580750316,2
455,1782580750782,2
456,1782580751431,2
457,1782580751880,2
458,1782580752413,2
459,1782580752846,2
460,1782580752913,2
461,1782580753379,2
462,1782580756377,2
463,1782580757576,2
464,1782580758009,2
465,1782580760973,2
466,1782580761506,2
467,1782580762038,2
468,1782580763089,2
469,1782580763571,2
470,1782580764672,2
471,1782580765152,2
472,1782580766253,2
473,1782580766352,2
474,1782580768466,2
475,1782580770015,2
476,1782580770465,2
477,1782580770898,2
478,1782580772880,2
479,1782580773246,2
480,1782580774362,2
481,1782580774744,2
482,1782580775610,2
483,1782580777209,2
484,1782580777292,2
485,1782580778192,2
486,1782580779307,2
487,1782580780389,2
488,1782580780806,2
489,1782580781372,2
490,1782580781938,2
491,1782580782388,2
492,1782580784136,2
493,1782580785186,2
494,1782580785685,2
495,1782580786268,2
496,1782580786668,2
497,1782580787717,2
498,1782580789249,2
499,1782580790449,2
500,1782580791014,2
501,1782580791799,2
502,1782580792047,2
503,1782580794694,2
504,1782580796563,2
505,1782580797527,2
506,1782580799191,2
507,1782580800174,2
508,1782580801056,2
509,1782580801538,2
510,1782580802021,2
511,1782580802437,2
512,1782580803437,2
513,1782580803986,2
514,1782580804602,2
515,1782580805002,2
516,1782580805552,2
517,1782580806068,2
518,1782580806534,2
519,1782580807150,2
520,1782580808149,2
521,1782580808782,2
522,1782580808815,2
523,1782580809282,2
524,1782580809931,2
525,1782580810797,2
526,1782580811364,2
527,1782580812362,2
528,1782580813362,2
529,1782580814444,2
530,1782580815560,2
531,1782580816077,2
532,1782580816609,2
533,1782580817158,2
534,1782580817675,2
535,1782580818108,2
536,1782580819190,2
537,1782580820756,2
538,1782580821172,2
539,1782580822721,2
540,1782580823770,2
541,1782580824270,2
542,1782580825635,2
543,1782580826067,2
544,1782580826551,2
545,1782580827300,2
546,1782580827816,2
547,1782580828782,2
548,1782580829232,2
549,1782580829798,2
550,1782580830231,2
551,1782580830764,2
552,1782580831264,2
553,1782580832313,2
554,1782580833295,2
555,1782580833328,2
556,1782580834777,2
557,1782580837341,2
558,1782580837941,2
559,1782580839057,2
560,1782580839806,2
561,1782580840805,2
562,1782580842304,2
563,1782580843437,2
564,1782580844969,2
565,1782580845035,2
566,1782580845584,2
567,1782580846150,2
568,1782580847034,2
569,1782580847982,2
570,1782580848451,2
571,1782580849598,2
572,1782580850497,2
573,1782580850564,2
574,1782580851630,2
575,1782580851996,2
576,1782580852512,2
577,1782580852962,2
578,1782580853395,2
579,1782580854428,2
580,1782580855410,2
581,1782580855876,2
582,1782580856376,2
583,1782580856827,2
584,1782580902789,2
585,1782580903139,2
586,1782580904054,2
587,1782580905369,2
588,1782580905902,2
589,1782580907485,2
590,1782580907517,2
591,1782580908167,2
592,1782580908833,2
593,1782580910398,2
594,1782580911148,2
595,1782580911365,2
596,1782580911564,2
597,1782580913346,2
598,1782581234309,2
599,1782581235108,2
600,1782581236023,2
601,1782581236839,2
602,1782581238004,2
603,1782581238571,2
604,1782581239353,2
605,1782581239936,2
606,1782581240436,2
607,1782581241918,2
608,1782581242818,2
609,1782581243283,2
610,1782581244216,2
611,1782581244666,2
612,1782581245099,2
613,1782581245582,2
614,1782581245615,2
615,1782581247363,2
616,1782581247979,2
617,1782581249562,2
618,1782581249961,2
619,1782581251460,2
620,1782581252027,2
621,1782581252476,2
622,1782581253075,2
623,1782581254108,2
624,1782581254624,2
625,1782581255690,2
626,1782581256073,2
627,1782581256439,2
628,1782581257555,2
629,1782581258054,2
630,1782581259037,2
631,1782581259653,2
632,1782581260102,2
633,1782581261651,2
634,1782581262301,2
635,1782581262784,2
636,1782581263366,2
637,1782581263917,2
638,1782581264515,2
639,1782581264998,2
640,1782581265881,2
641,1782581266398,2
642,1782581266914,2
643,1782581268329,2
644,1782581269328,2
645,1782581269827,2
646,1782581271693,2
647,1782581272941,2
648,1782581273508,2
649,1782581274357,2
650,1782581274874,2
651,1782581275424,2
652,1782581275872,2
653,1782581276406,2
654,1782581278820,2
655,1782581279353,2
656,1782581280353,2
657,1782581280868,2
658,1782581281368,2
659,1782581281984,2
660,1782581282883,2
661,1782581283466,2
662,1782581283483,2
663,1782581283966,2
664,1782581284565,2
665,1782581285515,2
666,1782581286164,2
667,1782581286597,2
668,1782581288229,2
669,1782581288263,2
670,1782581288828,2
671,1782581289262,2
672,1782581290843,2
673,1782581291410,2
674,1782581293025,2
675,1782581293508,2
676,1782581295139,2
677,1782581295639,2
678,1782581296107,2
679,1782581296672,2
680,1782581297438,2
681,1782581297904,2
682,1782581298404,2
683,1782581298903,2
684,1782581299802,2
685,1782581300418,2
686,1782581301351,2
687,1782581302368,2
688,1782581303034,2
689,1782581303449,2
690,1782581304116,2
691,1782581305065,2
692,1782581306097,2
693,1782581307213,2
694,1782581307630,2
695,1782581308196,2
696,1782581308645,2
697,1782581309794,2
698,1782581310377,2
699,1782581310427,2
700,1782581311110,2
701,1782581312126,2
702,1782581312725,2
703,1782581313208,2
704,1782581313741,2
705,1782581314290,2
706,1782581314807,2
707,1782581314873,2
708,1782581315372,2
709,1782581315989,2
710,1782581316971,2
711,1782581317572,2
712,1782581318004,2
713,1782581319603,2
714,1782581320185,2
715,1782581320768,2
716,1782581321750,2
717,1782581322317,2
718,1782581322799,2
719,1782581324099,2
720,1782581325048,2
721,1782581325531,2
722,1782581326513,2
723,1782581327029,2
724,1782581327512,2
725,1782581328029,2
726,1782581328994,2
727,1782581329544,2
728,1782581329960,2
729,1782581330527,2
730,1782581331476,2
731,1782581332075,2
732,1782581332575,2
733,1782581333707,2
734,1782581334174,2
735,1782581334773,2
736,1782581335206,2
737,1782581335290,2
738,1782581336355,2
