index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
323,1782580643589,1057,0
324,1782580644654,1063,0
325,1782580645604,1068,0
326,1782580646219,1071,0
327,1782580647268,1076,0
328,1782580648834,1084,0
329,1782580649883,1089,0
330,1782580650832,1093,0
331,1782580651448,1096,0
332,1782580651898,1098,0
333,1782580652564,1101,0
334,1782580653197,1105,0
335,1782580653813,1109,0
336,1782580654879,1115,0
337,1782580655561,1118,0
338,1782580655811,1119,0
339,1782580656427,1123,0
340,1782580656811,1124,0
341,1782580657411,1125,0
342,1782580657677,1126,0
343,1782580658342,1126,0
344,1782580658759,1126,0
345,1782580659675,1126,0
346,1782580660108,1126,0
347,1782580660291,1126,0
348,1782580660491,1126,0
349,1782580661873,1126,0
350,1782580662839,1126,0
351,1782580663704,1126,0
352,1782580666635,1126,0
353,1782580668234,1126,0
354,1782580668684,1126,0
355,1782580669216,1126,0
356,1782580669683,1126,0
357,1782580669916,1126,0
358,1782580670166,1126,0
359,1782580670550,1126,0
360,1782580671249,1126,0
361,1782580672165,1126,0
362,1782580672764,1126,0
363,1782580673147,1126,0
364,1782580673797,1126,0
365,1782580675394,1126,0
366,1782580676460,1126,0
367,1782580677411,1126,0
368,1782580678077,1126,0
369,1782580678725,1126,0
370,1782580679175,1126,0
371,1782580679741,1126,0
372,1782580680074,1126,0
373,1782580680757,1126,0
374,1782580681489,1126,0
375,1782580682739,1126,0
376,1782580683788,1126,0
377,1782580684670,1126,0
378,1782580685371,1126,0
379,1782580686702,1126,0
380,1782580687535,1126,0
381,1782580688934,1126,0
382,1782580689234,1126,0
383,1782580689766,1126,0
384,1782580690666,1126,0
385,1782580691149,1126,0
386,1782580692631,1126,0
387,1782580693030,1126,0
388,1782580693696,1126,0
389,1782580693979,1126,0
390,1782580694597,1126,0
391,1782580695512,1126,0
392,1782580697093,1126,0
393,1782580697561,1126,0
394,1782580698593,1126,0
395,1782580699175,1126,0
396,1782580699724,1126,0
397,1782580700890,1126,0
398,1782580701506,1126,0
399,1782580702156,1126,0
400,1782580702905,1126,0
401,1782580703588,1126,0
402,1782580704105,1126,0
403,1782580704570,1126,0
404,1782580705170,1126,0
405,1782580705570,1126,0
406,1782580706468,1126,0
407,1782580707118,1126,0
408,1782580708168,1126,0
409,1782580708550,1126,0
410,1782580708633,1126,0
411,1782580709033,1126,0
412,1782580709716,1126,0
413,1782580710782,1126,0
414,1782580710981,1126,0
415,1782580711332,1126,0
416,1782580711981,1126,0
417,1782580712430,1126,0
418,1782580713079,1126,0
419,1782580713913,1126,0
420,1782580714329,1126,0
421,1782580715261,1126,0
422,1782580715711,1126,0
423,1782580715827,1126,0
424,1782580716094,1126,0
425,1782580716527,1126,0
426,1782580717426,1126,0
427,1782580719341,1126,0
428,1782580719724,1126,0
