index,TEMPERATURE,1,2,3,4,5,6,7
101,-124,-6,-1,0,0,0,0,0
102,-118,0,0,0,0,0,0,0
103,-118,-8,1,0,0,0,0,0
104,-115,0,0,0,0,0,0,0
105,-120,-7,0,0,0,0,0,0
106,-120,0,0,0,0,0,0,0
107,-113,-7,-1,0,0,0,0,0
108,-109,0,0,0,0,0,0,0
109,-128,-7,-1,0,0,0,0,0
110,-126,-7,0,0,0,0,0,0
111,-120,0,0,0,0,0,0,0
112,-113,0,-1,0,0,0,0,0
113,-111,0,0,0,0,0,0,0
114,-118,-7,0,0,0,0,0,0
115,-115,0,0,0,0,0,0,0
116,-118,0,-1,0,0,0,0,0
117,-128,-8,-1,0,0,0,0,0
118,-120,0,0,0,0,0,0,0
119,-122,0,-1,0,0,0,0,0
120,-115,0,0,0,0,0,0,0
121,-115,0,-210,0,0,0,0,0
122,-113,0,0,0,0,0,0,0
123,-113,-8,0,0,0,0,0,0
124,-109,0,0,0,0,0,0,0
125,-122,-9,0,0,0,0,0,0
126,-118,0,0,0,0,0,0,0
127,-118,-7,-1,0,0,0,0,0
128,-118,0,0,0,0,0,0,0
129,-107,0,-1,0,0,0,0,0
130,-122,0,0,0,0,0,0,0
131,-115,0,-1,0,0,0,0,0
132,-118,0,0,0,0,0,0,0
133,-122,-9,1,0,0,0,0,0
134,-122,0,0,0,0,0,0,0
135,-115,0,-1,0,0,0,0,0
136,-122,0,0,0,0,0,0,0
137,-105,-6,-1,0,0,0,0,0
138,-120,0,0,0,0,0,0,0
139,-122,0,0,0,0,0,0,0
140,-115,0,0,0,0,0,0,0
141,-113,-8,-1,0,0,0,0,0
142,-107,0,0,0,0,0,0,0
143,-113,-8,-1,0,0,0,0,0
144,-128,0,0,0,0,0,0,0
145,-118,0,-1,0,0,0,0,0
146,-111,0,0,0,0,0,0,0
147,-122,0,0,0,0,0,0,0
148,-109,0,0,0,0,0,0,0
149,-111,-8,0,0,0,0,0,0
150,-111,0,0,0,0,0,0,0
151,-122,-7,0,0,0,0,0,0
152,-124,0,1,0,0,0,0,0
153,-111,0,0,0,0,0,0,0
154,-113,-8,-1,0,0,0,0,0
155,-115,0,0,0,0,0,0,0
156,-126,-8,0,0,0,0,0,0
157,-109,0,0,0,0,0,0,0
158,-128,0,0,0,0,0,0,0
159,-111,0,0,0,0,0,0,0
160,-111,0,0,0,0,0,0,0
161,-113,0,1,0,0,0,0,0
162,-111,0,0,0,0,0,0,0
163,-120,0,0,0,0,0,0,0
164,-111,0,0,0,0,0,0,0
165,-120,-8,0,0,0,0,0,0
166,-115,0,0,0,0,0,0,0
167,-115,-8,0,0,0,0,0,0
168,-120,0,0,0,0,0,0,0
169,-119,0,-1,0,0,0,0,0
170,-113,0,0,0,0,0,0,0
171,-115,0,1,0,0,0,0,0
172,-109,0,0,0,0,0,0,0
173,-120,0,0,0,0,0,0,0
174,-118,0,0,0,0,0,0,0
175,-107,0,0,0,0,0,0,0
176,-102,0,0,0,0,0,0,0
177,-103,-7,0,0,0,0,0,0
178,-122,0,0,0,0,0,0,0
179,-118,-6,0,0,0,0,0,0
180,-115,0,0,0,0,0,0,0
181,-103,0,1,0,0,0,0,0
182,-94,0,0,0,0,0,0,0
183,-103,-7,0,0,0,0,0,0
184,-103,0,0,0,0,0,0,0
185,-118,-6,-1,0,0,0,0,0
186,-103,0,0,0,0,0,0,0
187,-109,0,-1,0,0,0,0,0
188,-111,0,0,0,0,0,0,0
189,-105,-8,0,0,0,0,0,0
190,-119,0,0,0,0,0,0,0
191,-118,0,-1,0,0,0,0,0
192,-115,0,0,0,0,0,0,0
193,-118,0,0,0,0,0,0,0
194,-109,-8,0,0,0,0,0,0
195,-103,0,0,0,0,0,0,0
196,-109,0,0,0,0,0,0,0
197,-111,0,0,0,0,0,0,0
198,-113,0,0,0,0,0,0,0
199,-115,0,0,0,0,0,0,0
200,-105,0,0,0,0,0,0,0
201,-108,0,0,0,0,0,0,0
202,-105,0,0,0,0,0,0,0
203,-107,0,0,0,0,0,0,0
204,-120,0,0,0,0,0,0,0
205,-112,0,0,0,0,0,0,0
206,-111,0,0,0,0,0,0,0
207,-102,0,0,0,0,0,0,0
208,-105,0,0,0,0,0,0,0
209,-114,0,0,0,0,0,0,0
210,-109,0,0,0,0,0,0,0
211,-111,0,-1,0,0,0,0,0
212,-111,10,0,0,0,0,0,0
213,-105,-7,-1,0,0,0,0,0
214,-105,10,0,0,0,0,0,0
215,-107,0,0,0,0,0,0,0
216,-105,0,0,0,0,0,0,0
217,-117,-8,0,0,0,0,0,0
218,-91,0,0,0,0,0,0,0
219,-98,-7,0,0,0,0,0,0
220,-115,0,0,0,0,0,0,0
221,-98,0,0,0,0,0,0,0
222,-110,0,0,0,0,0,0,0
223,-103,-7,-1,0,0,0,0,0
224,-98,0,0,0,0,0,0,0
225,-100,0,-1,0,0,0,0,0
226,-105,0,0,0,0,0,0,0
227,-105,0,-1,0,0,0,0,0
228,-96,0,0,0,0,0,0,0
229,-105,0,-1,0,0,0,0,0
230,-100,0,0,0,0,0,0,0
231,-103,0,0,0,0,0,0,0
232,-124,0,0,0,0,0,0,0
233,-96,-8,-1,0,0,0,0,0
234,-105,0,0,0,0,0,0,0
235,-107,0,1,0,0,0,0,0
236,-118,0,0,0,0,0,0,0
237,-120,-6,-1,0,0,0,0,0
238,-113,0,0,0,0,0,0,0
239,-103,0,-1,0,0,0,0,0
240,-109,0,0,0,0,0,0,0
241,-96,-8,-1,0,0,0,0,0
242,-106,0,0,0,0,0,0,0
243,-112,0,0,0,0,0,0,0
244,-106,0,0,0,0,0,0,0
245,-105,0,-1,0,0,0,0,0
246,-107,0,0,0,0,0,0,0
247,-105,0,-1,0,0,0,0,0
248,-101,0,0,0,0,0,0,0
249,-111,-7,-1,0,0,0,0,0
250,-102,0,0,0,0,0,0,0
251,-104,0,0,0,0,0,0,0
252,-107,0,0,0,0,0,0,0
253,-90,-7,0,0,0,0,0,0
254,-111,0,0,0,0,0,0,0
255,-97,0,-1,0,0,0,0,0
256,-104,0,0,0,0,0,0,0
257,-121,0,-1,0,0,0,0,0
258,-102,0,0,0,0,0,0,0
259,-100,0,-1,0,0,0,0,0
260,-105,0,0,0,0,0,0,0
261,-109,0,-1,0,0,0,0,0
262,-105,0,0,0,0,0,0,0
263,-106,-7,0,0,0,0,0,0
264,-112,0,0,0,0,0,0,0
265,-106,0,0,0,0,0,0,0
266,-101,0,0,0,0,0,0,0
267,-103,-8,0,0,0,0,0,0
268,-93,0,0,0,0,0,0,0
269,-97,0,-1,0,0,0,0,0
270,-108,0,0,0,0,0,0,0
271,-110,0,0,0,0,0,0,0
272,-95,0,0,0,0,0,0,0
273,-111,-9,0,0,0,0,0,0
274,-107,0,0,0,0,0,0,0
275,-103,0,0,0,0,0,0,0
276,-103,0,0,0,0,0,0,0
277,-99,-6,-1,0,0,0,0,0
278,-101,0,0,0,0,0,0,0
279,-103,0,-1,0,0,0,0,0
280,-97,10,0,0,0,0,0,0
281,-104,-8,0,0,0,0,0,0
282,-103,10,0,0,0,0,0,0
283,-110,0,0,0,0,0,0,0
284,-105,10,0,0,0,0,0,0
285,-99,-6,0,0,0,0,0,0
286,-100,0,0,0,0,0,0,0
287,-91,0,-1,0,0,0,0,0
288,-106,0,0,0,0,0,0,0
289,-106,-7,-2,0,0,0,0,0
290,-90,10,0,0,0,0,0,0
291,-108,0,-1,0,0,0,0,0
292,-101,10,0,0,0,0,0,0
293,-101,-6,0,0,0,0,0,0
294,-96,10,0,0,0,0,0,0
295,-102,0,0,0,0,0,0,0
296,-102,10,0,0,0,0,0,0
297,-103,-9,0,0,0,0,0,0
298,-99,0,0,0,0,0,0,0
299,-97,0,-1,0,0,0,0,0
300,-87,10,0,0,0,0,0,0
301,-89,-8,0,0,0,0,0,0
302,-93,10,0,0,0,0,0,0
303,-91,0,0,0,0,0,0,0
304,-97,10,0,0,0,0,0,0
305,-101,-8,-1,0,0,0,0,0
306,-108,10,0,0,0,0,0,0
