index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
223,1002,8086,-227,0,0,0,0,0
224,1000,8096,-208,0,0,0,0,0
225,1002,8087,-209,0,0,0,0,0
226,1004,8094,-211,0,0,0,0,0
227,991,8080,-223,0,0,0,0,0
228,989,8096,-241,0,0,0,0,0
229,1005,8096,-232,0,0,0,0,0
230,1003,8088,-208,0,0,0,0,0
231,1000,8092,-200,0,0,0,0,0
232,993,8085,-220,0,0,0,0,0
233,1006,8096,-209,0,0,0,0,0
234,997,8092,-220,0,0,0,0,0
235,990,8084,-224,0,0,0,0,0
236,999,8091,-224,0,0,0,0,0
237,1000,8094,-216,0,0,0,0,0
238,1009,8090,-228,0,0,0,0,0
239,1002,8082,-222,0,0,0,0,0
240,999,8093,-214,0,0,0,0,0
241,1003,8090,-216,0,0,0,0,0
242,992,8091,-210,0,0,0,0,0
243,1010,8134,-187,0,0,0,0,0
244,1014,8060,-178,0,0,0,0,0
245,993,8096,-170,0,0,0,0,0
246,996,8089,-241,0,0,0,0,0
247,989,8100,-278,0,0,0,0,0
248,1002,8122,-192,0,0,0,0,0
249,996,8081,-204,0,0,0,0,0
250,1022,8097,-170,0,0,0,0,0
251,998,8086,-222,0,0,0,0,0
252,990,8086,-228,0,0,0,0,0
253,994,8092,-249,0,0,0,0,0
254,1001,8085,-219,0,0,0,0,0
255,998,8098,-204,0,0,0,0,0
256,1006,8096,-206,0,0,0,0,0
257,995,8092,-218,0,0,0,0,0
258,993,8089,-221,0,0,0,0,0
259,1001,8094,-220,0,0,0,0,0
260,1003,8086,-222,0,0,0,0,0
261,1003,8091,-203,0,0,0,0,0
262,1005,8087,-217,0,0,0,0,0
263,1001,8089,-220,0,0,0,0,0
264,998,8095,-219,0,0,0,0,0
265,999,8085,-219,0,0,0,0,0
266,1001,8086,-220,0,0,0,0,0
267,1000,8091,-218,0,0,0,0,0
268,1004,8087,-224,0,0,0,0,0
269,1012,8094,-225,0,0,0,0,0
270,992,8092,-219,0,0,0,0,0
271,1003,8097,-212,0,0,0,0,0
272,996,8085,-214,0,0,0,0,0
273,1007,8094,-227,0,0,0,0,0
274,1000,8088,-213,0,0,0,0,0
275,1006,8096,-194,0,0,0,0,0
276,994,8103,-167,0,0,0,0,0
277,1004,8083,-227,0,0,0,0,0
278,999,8099,-207,0,0,0,0,0
279,1012,8094,-231,0,0,0,0,0
280,990,8088,-245,0,0,0,0,0
281,996,8090,-186,0,0,0,0,0
