index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
137,1764700979026,6,-10,0,0,0,0,0,0
138,1764700979209,5,-11,0,0,0,0,0,0
139,1764700979325,6,-9,-1,0,0,0,0,0
140,1764700979359,3,-9,-1,0,0,0,0,0
141,1764700979542,5,-9,0,0,0,0,0,0
142,1764700979725,6,-9,-1,0,0,0,0,0
143,1764700980041,7,-10,0,0,0,0,0,0
144,1764700980209,5,-11,0,0,0,0,0,0
145,1764700980292,6,-9,0,0,0,0,0,0
146,1764700980509,6,-8,-1,0,0,0,0,0
147,1764700980609,6,-9,-1,0,0,0,0,0
148,1764700980809,6,-8,-1,0,0,0,0,0
149,1764700980909,5,-9,0,0,0,0,0,0
150,1764700981125,5,-9,-1,0,0,0,0,0
151,1764700981225,5,-11,1,0,0,0,0,0
152,1764700981425,6,-9,-1,0,0,0,0,0
153,1764700981492,5,-9,-1,0,0,0,0,0
154,1764700981725,5,-10,-1,0,0,0,0,0
155,1764700981826,3,-9,-1,0,0,0,0,0
156,1764700982109,5,-9,0,0,0,0,0,0
157,1764700982326,4,-9,-1,0,0,0,0,0
158,1764700982425,4,-8,-1,0,0,0,0,0
159,1764700982591,5,-7,0,0,0,0,0,0
160,1764700982725,4,-10,0,0,0,0,0,0
161,1764700982791,6,-9,-1,0,0,0,0,0
162,1764700982974,4,-10,0,0,0,0,0,0
163,1764700983142,5,-9,-1,0,0,0,0,0
164,1764700983309,6,-9,0,0,0,0,0,0
165,1764700983376,4,-9,-1,0,0,0,0,0
166,1764700983559,5,-9,0,0,0,0,0,0
167,1764700983659,5,-9,-1,0,0,0,0,0
168,1764700983891,6,-10,-1,0,0,0,0,0
169,1764700984193,5,-9,0,0,0,0,0,0
170,1764700984359,5,-9,-1,0,0,0,0,0
171,1764700984510,5,-10,-1,0,0,0,0,0
172,1764700984625,5,-9,1,0,0,0,0,0
173,1764700984775,4,-8,0,0,0,0,0,0
174,1764700984925,7,-9,-1,0,0,0,0,0
175,1764700985125,5,-9,0,0,0,0,0,0
176,1764700985242,5,-9,-1,0,0,0,0,0
177,1764700985375,7,-11,-1,0,0,0,0,0
178,1764700985542,6,-8,-1,0,0,0,0,0
179,1764700985692,6,-10,0,0,0,0,0,0
180,1764700985843,4,-8,0,0,0,0,0,0
181,1764700985959,6,-9,1,0,0,0,0,0
182,1764700986259,6,-8,-1,0,0,0,0,0
183,1764700986492,4,-9,0,0,0,0,0,0
184,1764700986575,6,-8,-1,0,0,0,0,0
185,1764700986808,5,-9,0,0,0,0,0,0
186,1764700987058,4,-7,-1,0,0,0,0,0
187,1764700987192,5,-9,0,0,0,0,0,0
188,1764700987409,5,-10,0,0,0,0,0,0
189,1764700987675,4,-11,-1,0,0,0,0,0
190,1764700987759,5,-9,-1,0,0,0,0,0
191,1764700988341,6,-10,0,0,0,0,0,0
192,1764700988475,5,-7,1,0,0,0,0,0
193,1764700988725,6,-8,-1,0,0,0,0,0
194,1764700988908,6,-10,-1,0,0,0,0,0
195,1764700989024,5,-10,-1,0,0,0,0,0
196,1764700989291,6,-9,-1,0,0,0,0,0
197,1764700989507,5,-8,0,0,0,0,0,0
198,1764700989591,4,-8,0,0,0,0,0,0
