index,date,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_VOLTAGE,1,2,3,4
781,1765221956549,3.33,3.29,79.5,0,0,0,0,0
782,1765221957318,3.33,3.29,79.5,0,0,0,0,0
783,1765221957934,3.33,3.29,79.5,0,0,0,0,0
784,1765221958549,3.33,3.29,79.5,0,0,0,0,0
785,1765221959181,3.33,3.29,79.5,0,0,0,0,0
786,1765221959799,3.33,3.29,79.5,0,0,0,0,0
787,1765221960584,3.33,3.29,79.5,0,0,0,0,0
788,1765221961200,3.33,3.29,79.5,0,0,0,0,0
789,1765221961818,3.33,3.29,79.5,0,0,0,0,0
790,1765221962417,3.33,3.29,79.5,0,0,0,0,0
791,1765221963200,3.33,3.29,79.5,0,0,0,0,0
792,1765221963833,3.33,3.29,79.5,0,0,0,0,0
793,1765221964450,3.33,3.29,79.5,0,0,0,0,0
794,1765221965067,3.33,3.29,79.5,0,0,0,0,0
795,1765221965716,3.33,3.29,79.5,0,0,0,0,0
796,1765221966450,3.33,3.29,79.5,0,0,0,0,0
797,1765221967067,3.33,3.29,79.5,0,0,0,0,0
798,1765221967700,3.33,3.29,79.5,0,0,0,0,0
799,1765221968350,3.33,3.29,79.5,0,0,0,0,0
800,1765221968933,3.33,3.29,79.5,0,0,0,0,0
801,1765221969718,3.33,3.29,79.5,0,0,0,0,0
802,1765221970351,3.33,3.29,79.5,0,0,0,0,0
803,1765221970951,3.33,3.29,79.5,0,0,0,0,0
804,1765221971566,3.33,3.29,79.5,0,0,0,0,0
805,1765221972334,3.33,3.29,79.5,0,0,0,0,0
806,1765221972951,3.33,3.29,79.5,0,0,0,0,0
807,1765221973584,3.33,3.29,79.5,0,0,0,0,0
808,1765221974217,3.33,3.29,79.5,0,0,0,0,0
809,1765221974817,3.33,3.29,79.5,0,0,0,0,0
810,1765221975584,3.33,3.29,79.5,0,0,0,0,0
811,1765221976183,3.33,3.29,79.5,0,0,0,0,0
812,1765221976815,3.33,3.29,79.5,0,0,0,0,0
813,1765221977450,3.33,3.29,79.5,0,0,0,0,0
814,1765221978049,3.33,3.29,79.5,0,0,0,0,0
815,1765221978233,3.33,3.29,79.5,0,0,0,0,0
816,1765221979115,3.33,3.29,79.5,0,0,0,0,0
817,1765221979434,3.33,3.29,79.5,0,0,0,0,0
818,1765221980067,3.33,3.29,79.5,0,0,0,0,0
819,1765221980683,3.33,3.29,79.5,0,0,0,0,0
820,1765221981468,3.33,3.29,79.5,0,0,0,0,0
821,1765221982083,3.33,3.29,79.5,0,0,0,0,0
822,1765221982683,3.33,3.29,79.5,0,0,0,0,0
823,1765221983317,3.33,3.29,79.5,0,0,0,0,0
824,1765221983949,3.33,3.29,79.5,0,0,0,0,0
825,1765221984681,3.33,3.29,79.5,0,0,0,0,0
826,1765221985299,3.33,3.29,79.5,0,0,0,0,0
827,1765221985917,3.33,3.29,79.5,0,0,0,0,0
828,1765221986532,3.33,3.29,79.5,0,0,0,0,0
829,1765221987149,3.33,3.29,79.5,0,0,0,0,0
830,1765221987934,3.33,3.29,79.5,0,0,0,0,0
831,1765221988533,3.33,3.29,79.5,0,0,0,0,0
832,1765221989167,3.33,3.29,79.5,0,0,0,0,0
833,1765221990027,3.33,3.29,79.5,0,0,0,0,0
834,1765221990566,3.33,3.29,79.5,0,0,0,0,0
835,1765221991217,3.33,3.29,79.5,0,0,0,0,0
836,1765221991800,3.33,3.29,79.5,0,0,0,0,0
837,1765221992416,3.33,3.29,79.5,0,0,0,0,0
838,1765221993067,3.33,3.29,79.5,0,0,0,0,0
839,1765221993817,3.33,3.29,79.5,0,0,0,0,0
840,1765221994432,3.33,3.29,79.5,0,0,0,0,0
841,1765221995050,3.33,3.29,79.5,0,0,0,0,0
842,1765221995664,3.33,3.29,79.5,0,0,0,0,0
843,1765221996300,3.33,3.29,79.5,0,0,0,0,0
844,1765221998082,3.33,3.29,79.5,0,0,0,0,0
845,1765221998300,3.33,3.29,79.5,0,0,0,0,0
846,1765221999935,3.33,3.29,79.5,0,0,0,0,0
847,1765222001666,3.33,3.29,79.5,0,0,0,0,0
848,1765222003415,3.33,3.29,79.5,0,0,0,0,0
849,1765222005000,3.33,3.29,79.5,0,0,0,0,0
850,1765222005181,3.33,3.29,79.5,0,0,0,0,0
851,1765222006767,3.33,3.29,79.5,0,0,0,0,0
852,1765222008566,3.33,3.29,79.5,0,0,0,0,0
853,1765222010234,3.33,3.29,79.5,0,0,0,0,0
854,1765222011953,3.33,3.29,79.5,0,0,0,0,0
855,1765222012055,3.33,3.29,79.5,0,0,0,0,0
856,1765222013535,3.33,3.29,79.5,0,0,0,0,0
857,1765222015367,3.33,3.29,79.5,0,0,0,0,0
858,1765222017050,3.33,3.29,79.5,0,0,0,0,0
859,1765222018652,3.33,3.29,79.5,0,0,0,0,0
860,1765222020369,3.33,3.29,79.5,0,0,0,0,0
861,1765222022152,3.33,3.29,79.5,0,0,0,0,0
862,1765222023734,3.33,3.29,79.5,0,0,0,0,0
863,1765222023995,3.33,3.29,79.5,0,0,0,0,0
864,1765222025534,3.33,3.29,79.5,0,0,0,0,0
865,1765222025697,3.33,3.29,79.5,0,0,0,0,0
866,1765222027416,3.33,3.29,79.5,0,0,0,0,0
867,1765222027597,3.33,3.29,79.5,0,0,0,0,0
868,1765222029200,3.33,3.29,79.5,0,0,0,0,0
869,1765222029416,3.33,3.29,79.5,0,0,0,0,0
870,1765222031299,3.33,3.29,79.5,0,0,0,0,0
871,1765222033200,3.33,3.29,79.5,0,0,0,0,0
872,1765222034916,3.33,3.29,79.5,0,0,0,0,0
873,1765222036534,3.33,3.29,79.5,0,0,0,0,0
874,1765222036716,3.33,3.29,79.5,0,0,0,0,0
875,1765222038249,3.33,3.29,79.5,0,0,0,0,0
876,1765222040081,3.33,3.29,79.5,0,0,0,0,0
877,1765222041749,3.33,3.29,79.5,0,0,0,0,0
878,1765222043548,3.33,3.29,79.5,0,0,0,0,0
879,1765222045133,3.33,3.29,79.5,0,0,0,0,0
880,1765222045281,3.33,3.29,79.5,0,0,0,0,0
881,1765222046882,3.33,3.29,79.5,0,0,0,0,0
882,1765222048633,3.33,3.29,79.5,0,0,0,0,0
883,1765222050199,3.33,3.29,79.5,0,0,0,0,0
884,1765222050350,3.33,3.29,79.5,0,0,0,0,0
885,1765222051949,3.33,3.29,79.5,0,0,0,0,0
886,1765222052133,3.33,3.29,79.5,0,0,0,0,0
887,1765222053666,3.33,3.29,79.5,0,0,0,0,0
888,1765222055684,3.33,3.29,79.5,0,0,0,0,0
889,1765222057197,3.33,3.29,79.5,0,0,0,0,0
890,1765222059066,3.33,3.29,79.5,0,0,0,0,0
891,1765222060899,3.33,3.29,79.5,0,0,0,0,0
892,1765222062749,3.33,3.29,79.5,0,0,0,0,0
893,1765222064616,3.33,3.29,79.5,0,0,0,0,0
894,1765222066620,3.33,3.29,79.5,0,0,0,0,0
895,1765222068332,3.33,3.29,79.5,0,0,0,0,0
896,1765222070048,3.33,3.29,79.5,0,0,0,0,0
897,1765222071813,3.33,3.29,79.5,0,0,0,0,0
898,1765222073380,3.33,3.29,79.5,0,0,0,0,0
899,1765222073565,3.33,3.29,79.5,0,0,0,0,0
900,1765222075132,3.33,3.29,79.5,0,0,0,0,0
901,1765222076898,3.33,3.29,79.5,0,0,0,0,0
902,1765222078482,3.33,3.29,79.5,0,0,0,0,0
903,1765222078633,3.33,3.29,79.5,0,0,0,0,0
904,1765222080249,3.33,3.29,79.5,0,0,0,0,0
905,1765222080466,3.33,3.29,79.5,0,0,0,0,0
906,1765222081965,3.33,3.29,79.5,0,0,0,0,0
907,1765222083800,3.33,3.29,79.5,0,0,0,0,0
908,1765222085516,3.33,3.29,79.5,0,0,0,0,0
909,1765222457478,3.33,3.29,79.6,33494,0,0,0,0
910,1765222458993,3.33,3.29,79.6,0,0,0,0,0
911,1765222460794,3.33,3.29,79.6,0,0,0,0,0
912,1765222474411,3.33,3.29,79.6,0,0,0,0,0
913,1765222476094,3.33,3.29,79.6,0,0,0,0,0
914,1765222477726,3.33,3.29,79.6,0,0,0,0,0
915,1765222477877,3.33,3.29,79.6,0,0,0,0,0
916,1765222479410,3.33,3.29,79.6,0,0,0,0,0
917,1765222481142,3.33,3.29,79.6,0,0,0,0,0
918,1765222482894,3.33,3.29,79.6,0,0,0,0,0
919,1765222484478,3.33,3.29,79.6,0,0,0,0,0
920,1765222484610,3.33,3.29,79.6,0,0,0,0,0
921,1765222486210,3.33,3.29,79.6,0,0,0,0,0
922,1765222487894,3.33,3.29,79.6,0,0,0,0,0
923,1765222489475,3.33,3.29,79.6,0,0,0,0,0
924,1765222489677,3.33,3.29,79.6,0,0,0,0,0
925,1765222491242,3.33,3.29,79.6,0,0,0,0,0
926,1765222493044,3.33,3.29,79.6,0,0,0,0,0
927,1765222494760,3.33,3.29,79.6,0,0,0,0,0
928,1765222496344,3.33,3.29,79.6,0,0,0,0,0
929,1765222496477,3.33,3.29,79.6,0,0,0,0,0
930,1765222498044,3.33,3.29,79.6,0,0,0,0,0
931,1765222499857,3.33,3.29,79.6,0,0,0,0,0
932,1765222501727,3.33,3.29,79.6,0,0,0,0,0
933,1765222503608,3.33,3.29,79.6,0,0,0,0,0
934,1765222503793,3.33,3.29,79.6,0,0,0,0,0
935,1765222505444,3.33,3.29,79.6,0,0,0,0,0
936,1765222505676,3.33,3.29,79.6,0,0,0,0,0
937,1765222507527,3.33,3.29,79.6,0,0,0,0,0
938,1765222509344,3.33,3.29,79.6,0,0,0,0,0
939,1765222510876,3.33,3.29,79.6,0,0,0,0,0
940,1765222511025,3.33,3.29,79.6,0,0,0,0,0
941,1765222512626,3.33,3.29,79.6,0,0,0,0,0
942,1765222514342,3.33,3.29,79.6,0,0,0,0,0
943,1765222515975,3.33,3.29,79.6,0,0,0,0,0
944,1765222516114,3.33,3.29,79.6,0,0,0,0,0
945,1765222517644,3.33,3.29,79.6,0,0,0,0,0
946,1765222519427,3.33,3.29,79.6,0,0,0,0,0
947,1765222521143,3.33,3.29,79.6,0,0,0,0,0
948,1765222522943,3.33,3.29,79.6,0,0,0,0,0
949,1765222524524,3.33,3.29,79.6,0,0,0,0,0
950,1765222526293,3.33,3.29,79.6,0,0,0,0,0
951,1765222528010,3.33,3.29,79.6,0,0,0,0,0
952,1765222529810,3.33,3.29,79.6,0,0,0,0,0
953,1765222531359,3.33,3.29,79.6,0,0,0,0,0
954,1765222531593,3.33,3.29,79.6,0,0,0,0,0
955,1765222533194,3.33,3.29,79.6,0,0,0,0,0
956,1765222533343,3.33,3.29,79.6,0,0,0,0,0
957,1765222535077,3.33,3.29,79.6,0,0,0,0,0
958,1765222535447,3.33,3.29,79.6,0,0,0,0,0
959,1765222536891,3.33,3.29,79.6,0,0,0,0,0
960,1765222537108,3.33,3.29,79.6,0,0,0,0,0
961,1765222538990,3.33,3.29,79.6,0,0,0,0,0
962,1765222540840,3.33,3.29,79.6,0,0,0,0,0
963,1765222542709,3.33,3.29,79.6,0,0,0,0,0
964,1765222544475,3.33,3.29,79.6,0,0,0,0,0
965,1765222546387,3.33,3.29,79.6,0,0,0,0,0
966,1765222547825,3.33,3.29,79.6,0,0,0,0,0
967,1765222548043,3.33,3.29,79.6,0,0,0,0,0
968,1765222549592,3.33,3.29,79.6,0,0,0,0,0
969,1765222549760,3.33,3.29,79.6,0,0,0,0,0
970,1765222551393,3.33,3.29,79.6,0,0,0,0,0
971,1765222551574,3.33,3.29,79.6,0,0,0,0,0
972,1765222553110,3.33,3.29,79.6,0,0,0,0,0
973,1765222554909,3.33,3.29,79.6,0,0,0,0,0
974,1765222556443,3.33,3.29,79.6,0,0,0,0,0
975,1765222556626,3.33,3.29,79.6,0,0,0,0,0
976,1765222558243,3.33,3.29,79.6,0,0,0,0,0
977,1765222558408,3.33,3.29,79.6,0,0,0,0,0
978,1765222559958,3.33,3.29,79.6,0,0,0,0,0
979,1765222561726,3.33,3.29,79.6,0,0,0,0,0
980,1765222563309,3.33,3.29,79.6,0,0,0,0,0
981,1765222563491,3.33,3.29,79.6,0,0,0,0,0
982,1765222565076,3.33,3.29,79.6,0,0,0,0,0
983,1765222565242,3.33,3.29,79.6,0,0,0,0,0
984,1765222566909,3.33,3.29,79.6,0,0,0,0,0
985,1765222567092,3.33,3.29,79.6,0,0,0,0,0
986,1765222568693,3.33,3.29,79.6,0,0,0,0,0
987,1765222570609,3.33,3.29,79.6,0,0,0,0,0
988,1765222570776,3.33,3.29,79.6,0,0,0,0,0
989,1765222572393,3.33,3.29,79.6,0,0,0,0,0
990,1765222572626,3.33,3.29,79.6,0,0,0,0,0
991,1765222574526,3.33,3.29,79.6,0,0,0,0,0
992,1765222576392,3.33,3.29,79.6,0,0,0,0,0
993,1765222578076,3.33,3.29,79.6,0,0,0,0,0
994,1765222579691,3.33,3.29,79.6,0,0,0,0,0
995,1765222579893,3.33,3.29,79.6,0,0,0,0,0
996,1765222581390,3.33,3.29,79.6,0,0,0,0,0
997,1765222583159,3.33,3.29,79.6,0,0,0,0,0
998,1765222584692,3.33,3.29,79.6,0,0,0,0,0
999,1765222586442,3.33,3.29,79.6,0,0,0,0,0
1000,1765222588125,3.33,3.29,79.6,0,0,0,0,0
1001,1765222590106,3.33,3.29,89.2,0,0,0,0,0
1002,1765222590110,3.33,3.29,79.6,0,0,0,0,0
1003,1765222591409,3.33,3.29,79.6,0,0,0,0,0
1004,1765222593209,3.33,3.29,79.6,0,0,0,0,0
1005,1765222594742,3.33,3.29,79.6,0,0,0,0,0
1006,1765222594923,3.33,3.29,79.6,0,0,0,0,0
1007,1765222596493,3.33,3.29,79.6,0,0,0,0,0
1008,1765222598175,3.33,3.29,79.6,0,0,0,0,0
1009,1765222599791,3.33,3.29,79.6,0,0,0,0,0
1010,1765222599910,3.33,3.29,79.6,0,0,0,0,0
1011,1765222601505,3.33,3.29,79.6,0,0,0,0,0
1012,1765222601724,3.33,3.29,79.6,0,0,0,0,0
1013,1765222603359,3.33,3.29,79.6,0,0,0,0,0
1014,1765222605174,3.33,3.29,79.6,0,0,0,0,0
1015,1765222605376,3.33,3.29,79.6,0,0,0,0,0
1016,1765222606976,3.33,3.29,79.6,0,0,0,0,0
1017,1765222608859,3.33,3.29,79.6,0,0,0,0,0
1018,1765222609042,3.33,3.29,79.6,0,0,0,0,0
1019,1765222610659,3.33,3.29,79.6,0,0,0,0,0
1020,1765222610859,3.33,3.29,79.6,0,0,0,0,0
1021,1765222612459,3.33,3.29,79.6,0,0,0,0,0
1022,1765222614192,3.33,3.29,79.6,0,0,0,0,0
1023,1765222615910,3.33,3.29,79.6,0,0,0,0,0
1024,1765222617459,3.33,3.29,79.6,0,0,0,0,0
1025,1765222617658,3.33,3.29,79.6,0,0,0,0,0
1026,1765222619175,3.33,3.29,79.6,0,0,0,0,0
1027,1765222620775,3.33,3.29,79.6,0,0,0,0,0
1028,1765222620942,3.33,3.29,79.6,0,0,0,0,0
1029,1765222622492,3.33,3.29,79.6,0,0,0,0,0
1030,1765222624260,3.33,3.29,79.6,0,0,0,0,0
1031,1765222625975,3.33,3.29,79.6,0,0,0,0,0
1032,1765222627592,3.33,3.29,79.6,0,0,0,0,0
1033,1765222627741,3.33,3.29,79.6,0,0,0,0,0
1034,1765222629275,3.33,3.29,79.6,0,0,0,0,0
1035,1765222631092,3.33,3.29,79.6,0,0,0,0,0
1036,1765222632758,3.33,3.29,79.6,0,0,0,0,0
1037,1765222634408,3.33,3.29,79.6,0,0,0,0,0
1038,1765222634542,3.33,3.29,79.6,0,0,0,0,0
1039,1765222636123,3.33,3.29,79.6,0,0,0,0,0
1040,1765222637957,3.33,3.29,79.6,0,0,0,0,0
1041,1765222639858,3.33,3.29,79.6,0,0,0,0,0
1042,1765222640025,3.33,3.29,79.6,0,0,0,0,0
1043,1765222641656,3.33,3.29,79.6,0,0,0,0,0
1044,1765222641824,3.33,3.29,79.6,0,0,0,0,0
1045,1765222643541,3.33,3.29,79.6,0,0,0,0,0
1046,1765222643691,3.33,3.29,79.6,0,0,0,0,0
1047,1765222645342,3.33,3.29,79.6,0,0,0,0,0
1048,1765222645509,3.33,3.29,79.6,0,0,0,0,0
1049,1765222647093,3.33,3.29,79.6,0,0,0,0,0
1050,1765222648841,3.33,3.29,79.6,0,0,0,0,0
1051,1765222650408,3.33,3.29,79.6,0,0,0,0,0
1052,1765222650559,3.33,3.29,79.6,0,0,0,0,0
1053,1765222652158,3.33,3.29,79.6,0,0,0,0,0
1054,1765222652341,3.33,3.29,79.6,0,0,0,0,0
1055,1765222653906,3.33,3.29,79.6,0,0,0,0,0
1056,1765222655722,3.33,3.29,79.6,0,0,0,0,0
1057,1765222657225,3.33,3.29,79.6,0,0,0,0,0
1058,1765222657357,3.33,3.29,79.6,0,0,0,0,0
1059,1765222658973,3.33,3.29,79.6,0,0,0,0,0
1060,1765222659140,3.33,3.29,79.6,0,0,0,0,0
1061,1765222676272,3.33,3.29,79.6,0,0,0,0,0
1062,1765222676472,3.33,3.29,79.6,0,0,0,0,0
1063,1765222678192,3.33,3.29,79.6,0,0,0,0,0
1064,1765222678341,3.33,3.29,79.6,0,0,0,0,0
1065,1765222679957,3.33,3.29,79.6,0,0,0,0,0
1066,1765222680141,3.33,3.29,79.6,0,0,0,0,0
1067,1765222681742,3.33,3.29,79.6,0,0,0,0,0
1068,1765222683508,3.33,3.29,79.6,0,0,0,0,0
1069,1765222685240,3.33,3.29,79.6,0,0,0,0,0
1070,1765222686824,3.33,3.29,79.6,0,0,0,0,0
1071,1765222687024,3.33,3.29,79.6,0,0,0,0,0
1072,1765222688538,3.33,3.29,79.6,0,0,0,0,0
1073,1765222690324,3.33,3.29,79.6,0,0,0,0,0
1074,1765222691841,3.33,3.29,79.6,0,0,0,0,0
1075,1765222692353,3.33,3.29,79.6,0,0,0,0,0
1076,1765222693639,3.33,3.29,79.6,0,0,0,0,0
1077,1765222693808,3.33,3.29,79.6,0,0,0,0,0
1078,1765222695342,3.33,3.29,79.6,0,0,0,0,0
1079,1765222697108,3.33,3.29,79.6,0,0,0,0,0
1080,1765222698641,3.33,3.29,79.6,0,0,0,0,0
1081,1765222698822,3.33,3.29,79.6,0,0,0,0,0
1082,1765222700440,3.33,3.29,79.6,0,0,0,0,0
1083,1765222704424,3.33,3.29,79.6,0,0,0,0,0
1084,1765222705658,3.33,3.29,79.6,0,0,0,0,0
1085,1765222706924,3.33,3.29,79.6,0,0,0,0,0
1086,1765222708157,3.33,3.29,79.6,0,0,0,0,0
1087,1765222718223,3.33,3.29,79.6,0,0,0,0,0
1088,1765222719423,3.33,3.29,79.6,0,0,0,0,0
1089,1765222720608,3.33,3.29,79.6,0,0,0,0,0
1090,1765222721839,3.33,3.29,79.6,0,0,0,0,0
1091,1765222722956,3.33,3.29,79.6,0,0,0,0,0
1092,1765222724023,3.33,3.29,79.6,0,0,0,0,0
1093,1765222724222,3.33,3.29,79.6,0,0,0,0,0
1094,1765222725274,3.33,3.29,79.6,0,0,0,0,0
1095,1765222725408,3.33,3.29,79.6,0,0,0,0,0
1096,1765222726408,3.33,3.29,79.6,0,0,0,0,0
1097,1765222727675,3.33,3.29,79.6,0,0,0,0,0
1098,1765222728823,3.33,3.29,79.6,0,0,0,0,0
1099,1765222730006,3.33,3.29,79.6,0,0,0,0,0
1100,1765222731223,3.33,3.29,79.6,0,0,0,0,0
1101,1765222734072,3.33,3.29,79.6,45,0,0,0,0
1102,1765222736120,3.33,3.29,79.6,45,0,0,0,0
1103,1765222737389,3.33,3.29,79.6,44,0,0,0,0
1104,1765222737554,3.33,3.29,79.6,45,0,0,0,0
1105,1765222739139,3.33,3.29,79.6,45,0,0,0,0
1106,1765222739323,3.33,3.29,79.6,45,0,0,0,0
1107,1765222740973,3.33,3.29,79.6,44,0,0,0,0
1108,1765222741122,3.33,3.29,79.6,45,0,0,0,0
1109,1765222742789,3.33,3.29,79.6,46,0,0,0,0
1110,1765222742988,3.33,3.29,79.6,45,0,0,0,0
1111,1765222744605,3.33,3.29,79.6,44,0,0,0,0
1112,1765222746454,3.33,3.29,79.6,45,0,0,0,0
1113,1765222746639,3.33,3.29,79.6,45,0,0,0,0
1114,1765222748222,3.33,3.29,79.6,46,0,0,0,0
1115,1765222748439,3.33,3.29,79.6,44,0,0,0,0
1116,1765222750039,3.33,3.29,79.6,46,0,0,0,0
1117,1765222751788,3.33,3.29,79.6,44,0,0,0,0
1118,1765222753337,3.33,3.29,79.6,46,0,0,0,0
1119,1765222753489,3.33,3.29,79.6,44,0,0,0,0
1120,1765222755089,3.33,3.29,79.6,45,0,0,0,0
1121,1765222756737,3.32,3.04,78.2,87,0,0,0,0
1122,1765222758322,3.27,2.39,73.1,296,0,0,0,0
1123,1765222758489,3.22,2.36,70.9,417,0,0,0,0
1124,1765222760039,3.2,2.29,68.8,572,0,0,0,0
1125,1765222761788,3.31,3.27,79,0,0,0,0,0
1126,1765222763355,3.32,3.27,79,0,0,0,0,0
1127,1765222763505,3.32,3.27,79.1,0,0,0,0,0
1128,1765222765171,3.32,3.28,79.1,0,0,0,0,0
1129,1765222765355,3.32,3.28,79.1,0,0,0,0,0
1130,1765222766870,3.32,3.28,79.2,0,0,0,0,0
1131,1765222768905,3.32,3.28,79.2,0,0,0,0,0
1132,1765222770188,3.32,3.28,79.2,0,0,0,0,0
1133,1765222770372,3.32,3.28,79.2,0,0,0,0,0
1134,1765222772021,3.32,3.28,79.2,0,0,0,0,0
1135,1765222772171,3.32,3.28,79.2,0,0,0,0,0
1136,1765222773756,3.32,3.28,79.3,0,0,0,0,0
1137,1765222773939,3.32,3.28,79.3,0,0,0,0,0
1138,1765222775589,3.32,3.28,79.3,0,0,0,0,0
1139,1765222777404,3.32,3.28,79.3,0,0,0,0,0
1140,1765222777605,3.32,3.28,79.3,0,0,0,0,0
1141,1765222779188,3.32,3.28,79.3,0,0,0,0,0
1142,1765222781055,3.32,3.28,79.3,0,0,0,0,0
1143,1765222782822,3.32,3.28,79.3,0,0,0,0,0
