index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
337,1129,8070,-246,0,0,0,0,0
338,1148,8060,-333,0,0,0,0,0
339,1118,8089,-305,0,0,0,0,0
340,1122,8062,-259,0,0,0,0,0
341,1149,8073,-271,0,0,0,0,0
342,1107,8067,-303,0,0,0,0,0
343,1111,8082,-287,0,0,0,0,0
344,1124,8056,-284,0,0,0,0,0
345,1127,8078,-300,0,0,0,0,0
346,1127,8065,-286,0,0,0,0,0
347,1128,8080,-276,0,0,0,0,0
348,1125,8062,-297,0,0,0,0,0
349,1134,8050,-245,0,0,0,0,0
350,1118,8078,-277,0,0,0,0,0
351,1118,8066,-310,0,0,0,0,0
352,1122,8072,-311,0,0,0,0,0
353,1091,8080,-386,0,0,0,0,0
354,1185,7996,-236,0,0,0,0,0
355,1073,8142,-343,0,0,0,0,0
356,1142,8017,-293,0,0,0,0,0
357,1121,8103,-361,0,0,0,0,0
358,1168,8110,-203,0,0,0,0,0
359,1084,8051,-314,0,0,0,0,0
360,1134,8080,-296,0,0,0,0,0
361,1143,8070,-276,0,0,0,0,0
362,1128,8074,-286,0,0,0,0,0
363,1102,8065,-292,0,0,0,0,0
364,1150,8068,-279,0,0,0,0,0
365,1132,8062,-290,0,0,0,0,0
366,1119,8073,-282,0,0,0,0,0
367,1118,8067,-261,0,0,0,0,0
368,1118,8072,-218,0,0,0,0,0
369,1140,8062,-230,0,0,0,0,0
370,1184,8055,-262,0,0,0,0,0
371,1151,8068,-272,0,0,0,0,0
372,1172,8084,-235,0,0,0,0,0
373,1112,8044,-369,0,0,0,0,0
374,1125,8073,-321,425,0,0,0,0
375,1135,8067,-324,0,0,0,0,0
376,1118,8074,-303,36,0,0,0,0
377,1142,8064,-238,0,0,0,0,0
378,1132,8079,-202,0,0,0,0,0
379,1144,8071,-180,0,0,0,0,0
380,1126,8045,-235,637,0,0,0,0
381,1132,8078,-242,0,0,0,0,0
382,1158,8044,-155,0,0,0,0,0
