index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
427,1782590199825,1,0,110
428,1782590200275,1,0,110
429,1782590200358,1,0,110
430,1782590200775,1,0,110
431,1782590201856,1,0,0
432,1782590202489,1,0,0
433,1782590202672,1,0,0
434,1782590202989,1,0,0
435,1782590203439,1,0,0
436,1782590205687,1,0,0
437,1782590207585,1,0,0
438,1782590208018,1,0,110
439,1782590209766,1,0,110
440,1782590210682,1,0,110
441,1782590211049,1,0,110
442,1782590211581,1,0,110
443,1782590211931,0,0,110
444,1782590212364,0,0,110
445,1782590212814,0,0,110
446,1782590213813,1,0,110
447,1782590214229,1,0,110
448,1782590215078,1,0,110
449,1782590215661,0,0,110
450,1782590216144,0,0,110
451,1782590216728,0,0,110
452,1782590217177,0,0,110
453,1782590218742,0,0,110
454,1782590219425,0,0,110
455,1782590219908,0,0,110
456,1782590220392,0,0,110
457,1782590221007,0,0,110
458,1782590222523,0,0,110
459,1782590223705,0,0,110
460,1782590225320,0,0,110
461,1782590227519,0,0,110
462,1782590227969,0,0,110
463,1782590228617,0,0,110
464,1782590230250,0,0,110
465,1782590231316,0,0,110
466,1782590231866,0,0,110
467,1782590232847,0,0,110
468,1782590233879,0,0,110
469,1782590234130,0,0,110
470,1782590234396,0,0,110
471,1782590235395,0,0,110
472,1782590235844,0,0,110
473,1782590236761,0,0,110
474,1782590237627,0,0,110
475,1782590238010,0,0,110
476,1782590239942,0,0,110
477,1782590240591,0,0,110
478,1782590243239,0,0,110
479,1782590244771,0,0,110
480,1782590245220,0,0,110
481,1782590246619,0,0,110
482,1782590247068,0,0,110
483,1782590247702,1,0,110
484,1782590249283,1,0,110
485,1782590249717,1,0,110
486,1782590250383,1,0,110
487,1782590252015,1,0,110
488,1782590252614,1,0,110
489,1782590254230,1,0,110
490,1782590254679,1,0,110
491,1782590255695,1,0,110
492,1782590255878,1,0,110
493,1782590256211,1,0,110
494,1782590259192,1,0,110
495,1782590259808,1,0,110
496,1782590261790,1,0,110
497,1782590262722,1,0,110
498,1782590263888,1,0,110
499,1782590264305,1,0,110
500,1782590265220,1,0,110
501,1782590265470,1,0,110
502,1782590266119,1,0,110
503,1782590266769,1,0,110
504,1782590267218,1,0,110
505,1782590268784,1,0,110
506,1782590269766,0,0,110
507,1782590270199,0,0,110
508,1782590270432,0,0,110
509,1782590270683,0,0,110
510,1782590271714,0,0,110
511,1782590272630,0,0,110
512,1782590273616,0,0,110
513,1782590273663,0,0,110
514,1782590274246,0,0,110
515,1782590274662,0,0,110
516,1782590276177,0,0,110
517,1782590277260,0,0,110
518,1782590277693,0,0,110
519,1782590277793,0,0,110
520,1782590278825,0,0,110
521,1782590279941,0,0,110
522,1782590280074,0,0,110
523,1782590280408,0,0,110
524,1782590281457,0,0,110
525,1782590283271,0,0,110
526,1782590284628,0,0,110
527,1782590284837,0,0,110
528,1782590284970,0,0,110
529,1782590285336,0,0,110
530,1782590286319,0,0,110
531,1782590288134,0,0,110
532,1782590288550,0,0,110
533,1782590289533,0,0,110
534,1782590290382,0,0,110
535,1782590291764,0,0,110
536,1782590292397,0,0,110
537,1782590293330,0,0,110
538,1782590294063,0,0,110
539,1782590294745,0,0,110
540,1782590294995,0,0,110
541,1782590295678,0,0,110
542,1782590295977,0,0,110
543,1782590296577,0,0,110
544,1782590297426,0,0,110
545,1782590298542,0,0,110
546,1782590300057,0,0,110
547,1782590302805,0,0,0
548,1782590303521,0,0,0
549,1782590304920,0,0,0
550,1782590305670,0,0,0
551,1782590306868,0,0,0
552,1782590307168,0,0,0
553,1782590307501,0,0,0
554,1782590307867,0,0,0
555,1782590308434,0,0,110
556,1782590308650,0,0,110
557,1782590308984,0,0,110
558,1782590312814,0,0,110
559,1782590313047,0,0,110
560,1782590313979,0,0,110
561,1782590314246,0,0,110
562,1782590314645,0,0,110
563,1782590314928,0,0,110
564,1782590315312,0,0,110
565,1782590315827,0,0,110
566,1782590316194,0,0,110
567,1782590319941,0,0,110
568,1782590320224,0,0,110
569,1782590321373,0,0,110
570,1782590321707,0,0,110
571,1782590322106,0,0,110
572,1782590322338,0,0,110
573,1782590323021,0,0,110
574,1782590323154,0,0,110
575,1782590323505,0,0,110
576,1782590323904,0,0,110
577,1782590324187,0,0,110
578,1782590325187,1,0,110
579,1782590325570,1,0,110
580,1782590327101,1,0,110
