index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
293,1782590108735,0,0,0,0
294,1782590109002,0,0,0,0
295,1782590110417,0,0,0,0
296,1782590110685,0,0,0,0
297,1782590110967,0,12288,0,0
298,1782590111300,0,0,0,0
299,1782590111600,0,0,0,0
300,1782590112182,0,0,0,0
301,1782590112433,0,0,0,0
302,1782590112882,0,0,0,0
303,1782590113581,0,0,0,0
304,1782590113881,0,0,0,0
305,1782590114214,0,0,0,0
306,1782590114898,0,12288,0,0
307,1782590114996,0,0,0,0
308,1782590115296,0,0,0,0
309,1782590116013,0,0,0,0
310,1782590116296,0,0,0,0
311,1782590117727,0,0,0,0
312,1782590118061,0,0,0,0
313,1782590121209,0,0,0,0
314,1782590121591,0,0,0,0
315,1782590121874,0,0,0,0
316,1782590122207,0,0,0,0
317,1782590122756,0,0,0,0
318,1782590123107,0,0,0,0
319,1782590123456,0,0,0,0
320,1782590128052,0,0,0,0
321,1782590128385,0,0,0,0
322,1782590128736,0,0,0,0
323,1782590129035,0,0,0,0
324,1782590129318,0,0,0,0
325,1782590130475,0,0,0,0
326,1782590130517,0,0,0,0
327,1782590130850,0,0,0,0
328,1782590131167,0,0,0,0
329,1782590135013,0,0,0,0
330,1782590135579,0,0,0,0
331,1782590136945,0,0,0,0
332,1782590137144,0,0,0,0
333,1782590137444,0,0,0,0
334,1782590137778,0,0,0,0
335,1782590138127,0,0,0,0
336,1782590138327,0,0,0,0
337,1782590138710,0,0,0,0
338,1782590138993,0,0,0,0
339,1782590139276,0,0,0,0
340,1782590140326,0,0,0,0
341,1782590140641,0,0,0,0
342,1782590141024,0,0,0,0
343,1782590141974,0,0,0,0
344,1782590142207,0,0,0,0
345,1782590144006,0,0,0,0
346,1782590145171,0,0,0,0
347,1782590145521,0,0,0,0
348,1782590145787,0,0,0,0
349,1782590146137,0,0,0,0
350,1782590146403,0,0,0,0
351,1782590146670,0,0,0,0
352,1782590147252,0,0,0,0
353,1782590147569,0,0,0,0
354,1782590147985,0,0,0,0
355,1782590149418,0,0,0,0
356,1782590150583,0,0,0,0
357,1782590150933,0,0,0,0
358,1782590151316,0,0,0,0
359,1782590151616,0,0,0,0
360,1782590152083,0,0,0,0
361,1782590152499,0,0,0,0
362,1782590155696,0,0,0,0
363,1782590156029,0,0,0,0
364,1782590156345,0,0,0,0
365,1782590156545,0,0,0,0
366,1782590157212,0,0,0,0
