index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
203,1765223629310,1,10,3628,0,0,0,0,0
204,1765223629743,1,10,3628,0,0,0,0,0
205,1765224046688,1,10,0,0,0,0,0,0
206,1765224046987,1,10,0,0,0,0,0,0
207,1765224047254,1,10,0,0,0,0,0,0
208,1765224047571,1,10,0,0,0,0,0,0
209,1765224047856,1,10,0,0,0,0,0,0
210,1765224048271,1,10,0,0,0,0,0,0
211,1765224048554,1,10,0,0,0,0,0,0
212,1765224048654,1,10,0,0,0,0,0,0
213,1765224049003,1,10,0,0,0,0,0,0
214,1765224049404,1,10,0,0,0,0,0,0
215,1765224049721,1,10,0,0,0,0,0,0
216,1765224049854,1,10,0,0,0,0,0,0
217,1765224050137,1,10,0,0,0,0,0,0
218,1765224050554,1,10,0,0,0,0,0,0
219,1765224050887,1,10,0,0,0,0,0,0
220,1765224051288,1,10,0,0,0,0,0,0
221,1765224051620,1,10,0,0,0,0,0,0
222,1765224051754,1,10,0,0,0,0,0,0
223,1765224052038,1,10,0,0,0,0,0,0
224,1765224052487,1,10,0,0,0,0,0,0
225,1765224052787,1,10,0,0,0,0,0,0
226,1765224052937,1,10,0,0,0,0,0,0
227,1765224053254,1,10,0,0,0,0,0,0
228,1765224053671,1,10,0,0,0,0,0,0
229,1765224053986,1,10,0,0,0,0,0,0
230,1765224054470,2,25,0,0,0,0,0,0
231,1765224054904,2,25,0,0,0,0,0,0
232,1765224055237,2,25,0,0,0,0,0,0
233,1765224055387,2,25,0,0,0,0,0,0
234,1765224055670,2,25,0,0,0,0,0,0
235,1765224056154,2,25,0,0,0,0,0,0
236,1765224056454,2,25,0,0,0,0,0,0
237,1765224056604,2,25,0,0,0,0,0,0
238,1765224056903,2,25,0,0,0,0,0,0
239,1765224057337,2,25,0,0,0,0,0,0
240,1765224057637,2,25,0,0,0,0,0,0
241,1765224057788,2,25,0,0,0,0,0,0
242,1765224058120,2,25,0,0,0,0,0,0
243,1765224058571,2,25,0,0,0,0,0,0
244,1765224058905,2,25,0,0,0,0,0,0
245,1765224059053,2,25,0,0,0,0,0,0
246,1765224059337,2,25,0,0,0,0,0,0
247,1765224059821,2,25,0,0,0,0,0,0
248,1765224060288,2,25,0,0,0,0,0,0
249,1765224060569,2,25,0,0,0,0,0,0
250,1765224061037,2,25,0,0,0,0,0,0
251,1765224061320,2,25,0,0,0,0,0,0
252,1765224061469,2,25,0,0,0,0,0,0
253,1765224061787,2,25,0,0,0,0,0,0
254,1765224062221,2,25,0,0,0,0,0,0
255,1765224062521,2,25,0,0,0,0,0,0
256,1765224062653,2,25,0,0,0,0,0,0
257,1765224062937,2,25,0,0,0,0,0,0
258,1765224063352,2,25,0,0,0,0,0,0
259,1765224063687,2,25,0,0,0,0,0,0
260,1765224064104,2,25,0,0,0,0,0,0
261,1765224064420,2,25,0,0,0,0,0,0
262,1765224064554,2,25,0,0,0,0,0,0
263,1765224064837,2,25,0,0,0,0,0,0
264,1765224065302,2,25,0,0,0,0,0,0
265,1765224065587,2,25,0,0,0,0,0,0
266,1765224065703,2,25,0,0,0,0,0,0
267,1765224066020,2,25,0,0,0,0,0,0
268,1765224066453,2,25,0,0,0,0,0,0
269,1765224066753,2,25,0,0,0,0,0,0
270,1765224067187,2,25,0,0,0,0,0,0
271,1765224067471,2,25,0,0,0,0,0,0
272,1765224067571,2,25,0,0,0,0,0,0
273,1765224067904,2,25,0,0,0,0,0,0
274,1765224068304,2,25,0,0,0,0,0,0
275,1765224068654,2,25,0,0,0,0,0,0
276,1765224068787,2,25,0,0,0,0,0,0
277,1765224069070,2,25,0,0,0,0,0,0
278,1765224069370,2,25,0,0,0,0,0,0
279,1765224069470,2,25,0,0,0,0,0,0
280,1765224069771,2,25,0,0,0,0,0,0
281,1765224070170,2,25,4,0,0,0,0,0
282,1765224070504,2,25,5,0,0,0,0,0
283,1765224070905,2,25,9,0,0,0,0,0
284,1765224071219,2,25,10,0,0,0,0,0
285,1765224071354,2,25,17,0,0,0,0,0
286,1765224071621,2,25,19,0,0,0,0,0
287,1765224072087,2,25,33,0,0,0,0,0
288,1765224072370,2,25,36,0,0,0,0,0
289,1765224072755,2,25,67,0,0,0,0,0
290,1765224073087,2,25,74,0,0,0,0,0
291,1765224073203,2,25,100,0,0,0,0,0
292,1765224073487,2,25,107,0,0,0,0,0
293,1765224073921,0,0,133,0,0,0,0,0
294,1765224074220,0,0,133,0,0,0,0,0
295,1765224074654,0,0,133,0,0,0,0,0
296,1765224074954,0,0,133,0,0,0,0,0
297,1765224075071,0,0,133,0,0,0,0,0
298,1765224075420,0,0,133,0,0,0,0,0
299,1765224075804,0,0,133,0,0,0,0,0
300,1765224076087,0,0,133,0,0,0,0,0
301,1765224076537,0,0,133,0,0,0,0,0
302,1765224076787,0,0,133,0,0,0,0,0
303,1765224076937,0,0,133,0,0,0,0,0
304,1765224077270,0,0,133,0,0,0,0,0
305,1765224077669,0,0,133,0,0,0,0,0
306,1765224077986,0,0,133,0,0,0,0,0
307,1765224078402,0,0,133,0,0,0,0,0
308,1765224078721,0,0,133,0,0,0,0,0
309,1765224078869,0,0,133,0,0,0,0,0
310,1765224079137,0,0,133,0,0,0,0,0
311,1765224079553,0,0,133,0,0,0,0,0
312,1765224079870,0,0,133,0,0,0,0,0
313,1765224080271,0,0,133,0,0,0,0,0
314,1765224080754,0,0,133,0,0,0,0,0
315,1765224081019,0,0,133,0,0,0,0,0
316,1765224081488,0,0,133,0,0,0,0,0
317,1765224081771,0,0,133,0,0,0,0,0
318,1765224081886,0,0,133,0,0,0,0,0
319,1765224082220,0,0,133,0,0,0,0,0
320,1765224082642,0,0,133,0,0,0,0,0
321,1765224082906,0,0,133,0,0,0,0,0
322,1765224083337,0,0,133,0,0,0,0,0
323,1765224083620,0,0,133,0,0,0,0,0
324,1765224083754,0,0,133,0,0,0,0,0
325,1765224084087,0,0,133,0,0,0,0,0
326,1765224084503,0,0,133,0,0,0,0,0
327,1765224084854,0,0,133,0,0,0,0,0
328,1765224084987,0,0,133,0,0,0,0,0
329,1765224085253,0,0,133,0,0,0,0,0
330,1765224085720,0,0,133,0,0,0,0,0
331,1765224086037,0,0,133,0,0,0,0,0
332,1765224086170,0,0,133,0,0,0,0,0
333,1765224086437,0,0,133,0,0,0,0,0
334,1765224086920,0,0,133,0,0,0,0,0
335,1765224087203,0,0,133,0,0,0,0,0
336,1765224087354,0,0,133,0,0,0,0,0
337,1765224087686,0,0,133,0,0,0,0,0
338,1765224088104,0,0,133,0,0,0,0,0
339,1765224088453,0,0,133,0,0,0,0,0
340,1765224088887,0,0,133,0,0,0,0,0
341,1765224089303,0,0,133,0,0,0,0,0
342,1765224089654,0,0,133,0,0,0,0,0
343,1765224090070,0,0,133,0,0,0,0,0
344,1765224090554,0,0,133,0,0,0,0,0
345,1765224090853,0,0,133,0,0,0,0,0
346,1765224091321,0,0,133,0,0,0,0,0
347,1765224091753,0,0,133,0,0,0,0,0
348,1765224092519,0,0,133,0,0,0,0,0
349,1765224092936,0,0,133,0,0,0,0,0
350,1765224093287,0,0,133,0,0,0,0,0
351,1765224093437,0,0,133,0,0,0,0,0
352,1765224093703,0,0,133,0,0,0,0,0
353,1765224094187,0,0,133,0,0,0,0,0
354,1765224094471,0,0,133,0,0,0,0,0
355,1765224094620,0,0,133,0,0,0,0,0
356,1765224094954,0,0,133,0,0,0,0,0
357,1765224095369,0,0,133,0,0,0,0,0
358,1765224095654,0,0,133,0,0,0,0,0
359,1765224096104,0,0,133,0,0,0,0,0
360,1765224096387,0,0,133,0,0,0,0,0
361,1765224096487,0,0,133,0,0,0,0,0
362,1765224096837,0,0,133,0,0,0,0,0
363,1765224097237,0,0,133,0,0,0,0,0
364,1765224097569,0,0,133,0,0,0,0,0
365,1765224097702,0,0,133,0,0,0,0,0
366,1765224097969,0,0,133,0,0,0,0,0
367,1765224098320,0,0,133,0,0,0,0,0
368,1765224098386,0,0,133,0,0,0,0,0
369,1765224098721,0,0,133,0,0,0,0,0
370,1765224099120,0,0,133,0,0,0,0,0
371,1765224099420,0,0,133,0,0,0,0,0
372,1765224099855,0,0,133,0,0,0,0,0
373,1765224100304,0,0,133,0,0,0,0,0
374,1765224100570,0,0,133,0,0,0,0,0
375,1765224101035,0,0,133,0,0,0,0,0
376,1765224101318,0,0,133,0,0,0,0,0
377,1765224101737,0,0,133,0,0,0,0,0
378,1765224102186,0,0,133,0,0,0,0,0
379,1765224102472,0,0,133,0,0,0,0,0
380,1765224102918,0,0,133,0,0,0,0,0
381,1765224103203,0,0,133,0,0,0,0,0
382,1765224103336,0,0,133,0,0,0,0,0
383,1765224103654,0,0,133,0,0,0,0,0
384,1765224104055,0,0,133,0,0,0,0,0
385,1765224104403,0,0,133,0,0,0,0,0
386,1765224104785,0,0,133,0,0,0,0,0
387,1765224105103,0,0,133,0,0,0,0,0
388,1765224105187,0,0,133,0,0,0,0,0
389,1765224105535,0,0,133,0,0,0,0,0
390,1765224105938,0,0,133,0,0,0,0,0
391,1765224106271,0,0,133,0,0,0,0,0
392,1765224106670,0,0,133,0,0,0,0,0
393,1765224107004,0,0,133,0,0,0,0,0
394,1765224107136,0,0,133,0,0,0,0,0
395,1765224107419,0,0,133,0,0,0,0,0
396,1765224107837,0,0,133,0,0,0,0,0
397,1765224108153,0,0,133,0,0,0,0,0
398,1765224108270,0,0,133,0,0,0,0,0
399,1765224108553,0,0,133,0,0,0,0,0
400,1765224109003,0,0,133,0,0,0,0,0
401,1765224109285,0,0,133,0,0,0,0,0
402,1765224109737,0,0,133,0,0,0,0,0
403,1765224110002,0,0,133,0,0,0,0,0
404,1765224110154,0,0,133,0,0,0,0,0
405,1765224110487,0,0,133,0,0,0,0,0
406,1765224110887,0,0,133,0,0,0,0,0
407,1765224111168,0,0,133,0,0,0,0,0
408,1765224111586,0,0,133,0,0,0,0,0
409,1765224111869,0,0,133,0,0,0,0,0
