index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
2435,1782669430870,0,0,0
2436,1782669431921,0,0,0
2437,1782669434487,0,0,0
2438,1782669436954,0,0,0
2439,1782669438070,0,0,0
2440,1782669438604,0,0,0
2441,1782669439020,0,0,0
2442,1782669439537,0,0,0
2443,1782669440388,0,0,0
2444,1782669441306,0,0,0
2445,1782669441840,0,0,0
2446,1782669442288,0,0,0
2447,1782669442771,0,0,0
2448,1782669443420,0,0,0
2449,1782669443739,0,0,0
2450,1782669444389,0,0,0
2451,1782669448538,0,0,0
2452,1782669449005,0,0,0
2453,1782669449537,0,0,0
2454,1782669450090,0,0,0
2455,1782669450554,0,0,0
2456,1782669451172,0,0,0
2457,1782669451605,0,0,0
2458,1782669452637,0,0,0
2459,1782669452705,0,0,0
2460,1782669453254,0,0,0
2461,1782669453871,0,0,0
2462,1782669453971,0,0,0
2463,1782669454887,0,0,0
2464,1782669455887,0,0,0
2465,1782669456471,0,0,0
2466,1782669457438,0,0,0
2467,1782669458005,0,0,0
2468,1782669458488,0,0,0
2469,1782669459087,0,0,0
2470,1782669460121,0,0,0
2471,1782669460722,0,0,0
2472,1782669461171,0,0,0
2473,1782669461837,0,0,0
2474,1782669462138,0,0,0
2475,1782669462638,0,0,0
2476,1782669464138,0,0,0
2477,1782669464572,0,0,0
2478,1782669465037,0,0,0
2479,1782669466187,0,0,0
2480,1782669466654,0,0,0
2481,1782669467504,0,0,0
2482,1782669468489,0,0,0
2483,1782669468888,0,0,0
2484,1782669469806,0,0,0
2485,1782669470840,0,0,0
2486,1782669471454,0,0,0
2487,1782669471972,0,0,0
2488,1782669472438,0,0,0
2489,1782669473488,0,0,0
2490,1782669474521,0,0,0
2491,1782669475554,0,0,0
2492,1782669476004,0,0,0
2493,1782669476571,0,0,0
2494,1782669477188,0,0,0
2495,1782669477639,0,0,0
2496,1782669479654,0,0,0
2497,1782669479721,0,0,0
2498,1782669480773,0,0,0
2499,1782669481571,0,0,0
2500,1782669482138,0,0,0
2501,1782669482671,0,0,0
2502,1782669483204,0,0,0
2503,1782669484271,0,0,0
2504,1782669484771,0,0,0
2505,1782669485271,0,0,0
2506,1782669485754,0,0,0
2507,1782669486805,0,0,0
2508,1782669486871,0,0,0
2509,1782669487404,0,0,0
2510,1782669487955,0,0,0
2511,1782669494772,0,0,0
2512,1782669495139,0,0,0
2513,1782669495555,0,0,0
2514,1782669496906,0,0,0
2515,1782669496939,0,0,0
2516,1782669497288,0,0,0
2517,1782669497522,0,0,0
2518,1782669497822,0,0,0
2519,1782669498222,0,0,0
2520,1782669500072,0,0,0
2521,1782669502005,0,0,0
2522,1782669503005,0,0,0
2523,1782669504706,0,0,0
2524,1782669505589,0,0,0
2525,1782669506492,0,0,0
2526,1782669507972,0,0,0
2527,1782669509138,0,0,0
2528,1782669510505,0,0,0
2529,1782669511938,0,0,0
2530,1782669512405,0,0,0
2531,1782669512991,0,0,0
2532,1782669513922,0,0,0
2533,1782669514505,0,0,0
2534,1782669515605,0,0,0
2535,1782669516556,0,0,0
2536,1782669517157,0,0,0
2537,1782669517556,0,0,0
2538,1782669518206,0,0,0
2539,1782669519172,0,0,0
2540,1782669519789,0,0,0
2541,1782669520273,0,0,0
2542,1782669521206,0,0,0
2543,1782669521272,0,0,0
2544,1782669522371,0,0,0
2545,1782669522788,0,0,0
2546,1782669523807,0,0,0
2547,1782669524357,0,0,0
2548,1782669525872,0,12288,0
2549,1782669526588,0,0,0
2550,1782669527271,0,0,0
2551,1782669527773,0,0,0
2552,1782669528707,0,0,0
2553,1782669529239,0,0,0
2554,1782669529722,0,0,0
2555,1782669530806,0,0,0
2556,1782669531821,0,0,0
2557,1782669532372,0,0,0
2558,1782669533307,0,0,0
2559,1782669533822,0,0,0
2560,1782669534305,0,0,0
2561,1782669534806,0,0,0
2562,1782669536139,0,0,0
2563,1782669536757,0,0,0
2564,1782669537122,0,0,0
2565,1782669538122,0,0,0
2566,1782669544906,0,0,0
2567,1782669545489,0,0,0
2568,1782669546806,0,0,0
2569,1782669547822,0,0,0
2570,1782669549189,0,0,0
2571,1782669549640,0,0,0
2572,1782669550072,0,0,0
2573,1782669550306,0,0,0
2574,1782669551188,0,0,0
2575,1782669552040,0,0,0
2576,1782669552641,0,0,0
2577,1782669553106,0,0,0
2578,1782669553689,0,0,0
2579,1782669555472,0,0,0
2580,1782669555990,0,0,0
2581,1782669556456,0,0,0
2582,1782669556923,0,0,0
2583,1782669557872,0,0,0
2584,1782669558858,0,0,0
2585,1782669559306,0,0,0
2586,1782669559840,0,0,0
2587,1782669560272,0,0,0
2588,1782669560789,0,0,0
2589,1782669561956,0,0,0
2590,1782669562456,0,0,0
2591,1782669563024,0,0,0
2592,1782669563873,0,0,0
2593,1782669564389,0,0,0
2594,1782669564874,0,0,0
2595,1782669565472,0,0,0
2596,1782669566389,0,0,0
2597,1782669567007,0,0,0
2598,1782669567489,0,0,0
2599,1782669568056,0,0,0
2600,1782669568589,0,0,0
2601,1782669569089,0,0,0
2602,1782669569673,0,0,0
2603,1782669571089,0,0,0
2604,1782669571556,0,0,0
2605,1782669572139,0,0,0
2606,1782669572622,0,0,0
2607,1782669574157,0,0,0
2608,1782669574790,0,0,0
2609,1782669575739,0,0,0
2610,1782669576839,0,0,0
2611,1782669577372,0,0,0
2612,1782669578372,0,0,0
2613,1782669578939,0,0,0
2614,1782669579925,0,0,0
2615,1782669581606,0,0,0
2616,1782669582057,0,0,0
2617,1782669583239,0,0,0
2618,1782669583656,0,0,0
2619,1782669585107,0,0,0
2620,1782669585542,0,0,0
2621,1782669586024,0,0,0
2622,1782669587106,0,0,0
2623,1782669587545,0,0,0
2624,1782669588373,0,0,0
2625,1782669588823,0,0,0
2626,1782669589324,0,0,0
2627,1782669589823,0,0,0
2628,1782669590325,0,0,0
2629,1782669590890,0,0,0
2630,1782669591411,0,0,0
2631,1782669591957,0,0,0
2632,1782669593523,0,0,0
2633,1782669594006,0,0,0
2634,1782669594540,0,0,0
2635,1782669595540,0,0,0
2636,1782669599739,0,0,0
2637,1782669600274,0,0,0
2638,1782669602373,0,0,0
2639,1782669603089,0,0,0
2640,1782669604923,0,0,0
2641,1782669605106,0,0,0
2642,1782669605773,0,0,0
2643,1782669606074,0,0,0
2644,1782669607056,0,0,0
2645,1782669607373,0,0,0
2646,1782669608406,0,0,0
2647,1782669610140,0,0,0
2648,1782669610323,0,0,0
2649,1782669610724,0,0,0
2650,1782669611907,0,0,0
2651,1782669613191,0,0,0
2652,1782669614273,0,0,0
2653,1782669614524,0,0,0
2654,1782669615557,0,0,0
2655,1782669615906,0,0,0
2656,1782669616240,0,0,0
2657,1782669617073,0,0,0
2658,1782669617740,0,0,0
2659,1782669618024,0,0,0
2660,1782669618106,0,0,0
2661,1782669618574,0,0,0
2662,1782669619191,0,0,0
2663,1782669619823,0,0,0
2664,1782669621757,0,0,0
