index,date,RIGHT_MOTOR_CURRENT
2905,1782669857694,0
2906,1782669858343,0
2907,1782669859311,0
2908,1782669859762,0
2909,1782669860277,0
2910,1782669860577,0
2911,1782669861194,0
2912,1782669861578,0
2913,1782669862211,0
2914,1782669863094,0
2915,1782669864210,0
2916,1782669865844,0
2917,1782669866878,0
2918,1782669868478,0
2919,1782669869527,0
2920,1782669869894,0
2921,1782669870010,0
2922,1782669871094,0
2923,1782669871694,0
2924,1782669872127,0
2925,1782669872294,0
2926,1782669872644,0
2927,1782669873310,0
2928,1782669873712,0
2929,1782669874311,0
2930,1782669875294,0
2931,1782669876377,0
2932,1782669877946,0
2933,1782669879010,0
2934,1782669880578,0
2935,1782669881210,0
2936,1782669881978,0
2937,1782669882111,0
2938,1782669882477,0
2939,1782669883460,0
2940,1782669885311,0
2941,1782669885727,0
2942,1782669887494,0
2943,1782669887927,0
2944,1782669888810,0
2945,1782669889161,0
2946,1782669889794,0
2947,1782669891511,0
2948,1782669892061,0
2949,1782669893063,0
2950,1782669894695,0
2951,1782669895745,0
2952,1782669897396,0
2953,1782669899961,0
2954,1782669900996,0
2955,1782669901227,0
2956,1782669901478,0
2957,1782669901911,0
2958,1782669902944,0
2959,1782669904479,0
2960,1782669905578,0
2961,1782669907178,0
2962,1782669907845,0
2963,1782669908778,0
2964,1782669909377,0
2965,1782669909778,0
2966,1782669910378,0
2967,1782669910796,0
2968,1782669910979,0
2969,1782669911711,0
2970,1782669912962,0
2971,1782669913378,0
2972,1782669913794,0
2973,1782669915511,0
2974,1782669915978,0
2975,1782669917745,0
2976,1782669918328,0
2977,1782669919311,0
2978,1782669920377,0
2979,1782669920662,0
2980,1782669920894,0
2981,1782669921994,0
2982,1782669922628,0
2983,1782669922978,0
2984,1782669923578,0
2985,1782669924661,0
2986,1782669926228,0
2987,1782669927262,0
2988,1782669928177,0
2989,1782669928811,0
2990,1782669929894,0
2991,1782669930345,0
2992,1782669930444,0
2993,1782669930861,0
2994,1782669931478,0
2995,1782669932596,0
2996,1782669932761,0
2997,1782669933113,0
2998,1782669934161,0
2999,1782669936096,0
3000,1782669937028,0
3001,1782669937712,0
3002,1782669937914,0
3003,1782669938862,0
3004,1782669939213,0
3005,1782669940211,0
3006,1782669941045,0
3007,1782669941428,0
3008,1782669943378,0
3009,1782669944397,0
3010,1782669945996,0
3011,1782669946996,0
3012,1782669947262,0
3013,1782669947545,0
3014,1782669949395,0
3015,1782669949745,0
3016,1782669949845,0
3017,1782669950995,0
3018,1782669951578,0
3019,1782669952229,0
3020,1782669953213,0
3021,1782669954245,0
3022,1782669954545,0
3023,1782669954778,0
3024,1782669955863,0
3025,1782669956545,0
3026,1782669956929,0
3027,1782669957511,0
3028,1782669958161,0
3029,1782669958961,0
3030,1782669959362,0
3031,1782669959495,0
3032,1782669959880,0
3033,1782669960528,0
3034,1782669961545,0
3035,1782669962512,0
3036,1782669963195,0
3037,1782669963811,0
3038,1782669964695,0
3039,1782669965729,0
3040,1782669966161,0
3041,1782669967028,0
3042,1782669970195,0
3043,1782669971112,0
3044,1782669972078,0
3045,1782669973079,0
3046,1782669974095,0
3047,1782669974647,0
3048,1782669975079,0
3049,1782669975813,0
3050,1782669976996,0
3051,1782669978095,0
3052,1782669978995,0
3053,1782669979729,0
3054,1782669980312,0
3055,1782669980746,0
3056,1782669981328,0
3057,1782669981912,0
3058,1782669982362,0
3059,1782669982962,0
3060,1782669983415,0
3061,1782669983628,0
3062,1782669983929,0
3063,1782669984962,0
3064,1782669986895,0
3065,1782669987546,0
3066,1782669990179,0
3067,1782669991046,0
3068,1782669992079,0
3069,1782669992496,0
3070,1782669994212,0
3071,1782669996379,0
3072,1782669996862,0
3073,1782669997396,0
3074,1782669998195,0
3075,1782669998412,0
3076,1782669998996,0
3077,1782670000129,0
3078,1782670000545,0
3079,1782670000647,0
3080,1782670001729,0
3081,1782670002430,0
3082,1782670003080,0
3083,1782670004046,0
3084,1782670005014,0
3085,1782670005298,0
3086,1782670005980,0
3087,1782670007051,0
3088,1782670007614,0
3089,1782670008212,0
3090,1782670008647,0
3091,1782670009312,0
3092,1782670010865,0
3093,1782670011264,0
3094,1782670011912,0
3095,1782670012312,0
3096,1782670012679,0
3097,1782670012746,0
3098,1782670013746,0
3099,1782670015780,0
