index,date,LEFT_MOTOR_CURRENT
924,1782583197306,1149
925,1782583197905,1078
926,1782583198838,1084
927,1782583201719,1045
928,1782583202202,1023
929,1782583202285,1050
930,1782583202702,1037
931,1782583203601,0
932,1782583204883,0
933,1782583205798,0
934,1782583206149,0
935,1782583208030,0
936,1782583208962,0
937,1782583209362,0
938,1782583209861,0
939,1782583210295,0
940,1782583210877,0
941,1782583211327,0
942,1782583212877,0
943,1782583213509,0
944,1782583215157,0
945,1782583216223,0
946,1782583216889,0
947,1782583217172,0
948,1782583217738,0
949,1782583219054,0
950,1782583219686,0
951,1782583220702,0
952,1782583221120,0
953,1782583222700,0
954,1782583223317,0
955,1782583224250,0
956,1782583224949,0
957,1782583225932,0
958,1782583226381,0
959,1782583226497,0
960,1782583226881,0
961,1782583227980,0
962,1782583228845,0
963,1782583229145,0
964,1782583230228,0
965,1782583232160,0
966,1782583233076,0
967,1782583233741,0
968,1782583235274,0
969,1782583235639,0
970,1782583236072,0
971,1782583236189,0
972,1782583236555,0
973,1782583237555,0
974,1782583239071,0
975,1782583240119,0
976,1782583241684,0
977,1782583243183,0
978,1782583243417,0
979,1782583243717,2560
980,1782583244765,0
981,1782583245381,0
982,1782583248329,0
983,1782583248479,0
984,1782583249246,0
985,1782583250078,0
986,1782583251060,0
987,1782583251360,0
988,1782583251726,0
989,1782583255507,0
990,1782583257788,0
991,1782583258204,0
992,1782583258388,0
993,1782583259037,0
994,1782583259403,0
995,1782583259753,0
996,1782583260003,0
997,1782583261168,0
998,1782583262900,0
999,1782583264683,0
1000,1782583264965,0
1001,1782583265298,0
1002,1782583265598,0
1003,1782583268446,0
1004,1782583268712,0
1005,1782583269095,0
1006,1782583269411,0
1007,1782583269678,0
1008,1782583270810,3
1009,1782583271010,1025
1010,1782583271360,1231
