index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
95,1782582412151,0,0,2
96,1782582412450,0,0,2
97,1782582412733,0,0,2
98,1782582413399,0,0,2
99,1782582413566,0,0,2
100,1782582417412,0,0,2
101,1782582417729,0,0,2
102,1782582417996,0,0,2
103,1782582419478,0,0,2
104,1782582419777,0,0,2
105,1782582420076,0,0,2
106,1782582420460,0,0,2
107,1782582421527,0,0,2
108,1782582421842,0,0,2
109,1782582422208,0,0,2
110,1782582422558,0,0,2
111,1782582422858,0,0,2
112,1782582423007,0,0,2
113,1782582423241,0,0,2
114,1782582423574,0,0,2
115,1782582423873,0,0,2
116,1782582424223,0,0,2
117,1782582424507,0,0,2
118,1782582424839,0,0,2
119,1782582425123,0,0,2
120,1782582425473,0,0,2
121,1782582425572,0,0,2
122,1782582426322,0,0,2
123,1782582426955,0,0,2
124,1782582428154,0,0,2
125,1782582432449,0,0,2
126,1782582438029,0,0,2
127,1782582438311,0,0,2
128,1782582438610,0,0,2
129,1782582440276,0,0,2
130,1782582440643,0,0,2
131,1782582441208,0,0,2
132,1782582441525,0,0,2
133,1782582442658,0,0,2
134,1782582442907,0,0,2
135,1782582443224,0,0,2
136,1782582443558,0,0,2
137,1782582443873,0,0,2
138,1782582445255,0,0,2
139,1782582449368,0,0,2
140,1782582449718,0,0,2
141,1782582451467,0,0,2
142,1782582451799,0,0,2
143,1782582452132,0,0,2
144,1782582452300,0,0,2
145,1782582452899,0,0,2
146,1782582453332,0,0,2
147,1782582453648,0,0,2
148,1782582453964,0,0,2
149,1782582455130,0,0,2
150,1782582455396,0,0,2
151,1782582456829,0,0,2
152,1782582457128,0,0,2
153,1782582458045,0,0,2
154,1782582458727,0,0,2
155,1782582459393,0,0,2
156,1782582459693,0,0,2
157,1782582459843,0,0,2
158,1782582460142,0,0,2
159,1782582460509,0,0,2
160,1782582460808,0,0,2
161,1782582461358,0,0,2
162,1782582461624,0,0,2
163,1782582462141,0,0,2
164,1782582462391,0,0,2
165,1782582462674,0,0,2
166,1782582462957,0,0,2
167,1782582463573,0,0,2
168,1782582463873,0,0,2
169,1782582464155,0,0,2
170,1782582467387,0,0,2
171,1782582469718,0,0,2
172,1782582473299,0,0,2
173,1782582473982,0,0,2
174,1782582474265,0,0,2
175,1782582474497,0,0,2
176,1782582474947,0,0,2
177,1782582475946,0,0,2
178,1782582477528,0,0,2
179,1782582478576,0,0,2
180,1782582479476,0,0,2
181,1782582480159,0,0,2
182,1782582481208,0,0,2
183,1782582481608,0,0,2
184,1782582481741,0,0,2
185,1782582482724,0,0,2
186,1782582483140,0,0,2
187,1782582483823,0,0,2
188,1782582484289,0,0,2
189,1782582484722,0,0,2
190,1782582485371,0,0,2
191,1782582486021,0,0,2
192,1782582486920,0,0,2
193,1782582487337,0,0,2
194,1782582487936,0,0,2
195,1782582488385,0,0,2
196,1782582488752,0,0,2
197,1782582489134,0,0,2
198,1782582493265,0,0,0
199,1782582494097,0,0,0
200,1782582494930,0,0,0
201,1782582495829,0,0,0
202,1782582498361,0,0,2
203,1782582500126,0,0,2
204,1782582500842,0,0,2
205,1782582501208,0,0,2
206,1782582501424,0,0,2
207,1782582501641,0,0,2
208,1782582501991,0,0,2
209,1782582505788,0,0,2
210,1782582506120,0,0,2
211,1782582507286,0,0,2
212,1782582507636,0,0,2
213,1782582507969,0,0,2
214,1782582508635,0,0,2
215,1782582508868,0,0,2
216,1782582509085,0,0,2
217,1782582509334,0,0,2
218,1782582509717,0,0,2
219,1782582510067,0,0,2
220,1782582510334,0,0,2
221,1782582510633,0,0,2
222,1782582510883,0,0,2
223,1782582511183,0,0,2
224,1782582512531,0,0,2
225,1782582512831,0,0,2
226,1782582513181,0,0,2
227,1782582513531,0,0,2
228,1782582515496,0,0,2
229,1782582515779,0,0,2
230,1782582516063,0,0,2
231,1782582517511,0,0,2
232,1782582517894,0,0,2
233,1782582518593,0,0,2
234,1782582518726,0,0,2
235,1782582518993,0,0,2
236,1782582519426,0,0,2
237,1782582519726,0,0,2
238,1782582521441,0,0,2
239,1782582525238,0,0,2
240,1782582525604,0,0,2
241,1782582525904,0,0,2
242,1782582526387,0,0,2
243,1782582526986,0,0,2
244,1782582527270,0,0,2
245,1782582527586,0,0,2
246,1782582527902,0,0,2
247,1782582528185,0,0,2
248,1782582529001,0,0,2
249,1782582529301,0,0,2
250,1782582529617,0,0,2
251,1782582530000,0,0,2
252,1782582530317,0,0,2
253,1782582530650,0,0,2
254,1782582530816,0,0,2
255,1782582531083,0,0,2
256,1782582531382,0,0,2
257,1782582531766,0,0,2
258,1782582532099,0,0,2
259,1782582534713,0,0,2
260,1782582535063,0,0,2
261,1782582535379,0,0,2
262,1782582535646,0,0,2
263,1782582537394,0,0,2
264,1782582537727,0,0,2
265,1782582538793,0,0,2
266,1782582539676,0,0,2
267,1782582539942,0,0,2
268,1782582540341,0,0,2
269,1782582540591,0,0,2
270,1782582542257,0,0,2
271,1782582543239,0,0,2
272,1782582544155,0,0,2
273,1782582545137,0,0,2
274,1782582545421,0,0,2
275,1782582546020,0,0,2
276,1782582547053,0,0,2
277,1782582548602,0,0,2
278,1782582549018,0,0,2
279,1782582549650,0,0,2
280,1782582550633,0,0,2
281,1782582551216,0,0,2
282,1782582551666,0,0,2
283,1782582552248,0,0,2
284,1782582552681,0,0,2
285,1782582553248,0,0,2
286,1782582554246,0,0,2
287,1782582555796,0,0,2
288,1782582556778,0,0,2
289,1782582557694,0,0,2
290,1782582558710,0,0,2
291,1782582559743,0,0,2
292,1782582560692,0,0,2
293,1782582561291,0,0,2
294,1782582561723,0,0,2
295,1782582562889,0,0,2
296,1782582563323,0,0,2
297,1782582564871,0,0,2
298,1782582565237,0,0,2
299,1782582566253,0,0,2
300,1782582569434,0,0,2
301,1782582570284,0,0,2
302,1782582571299,0,0,2
303,1782582572265,0,0,2
304,1782582573198,0,0,2
305,1782582575163,0,0,2
306,1782582575595,0,0,2
307,1782582576178,0,0,2
308,1782582576628,0,0,2
309,1782582576961,0,0,2
310,1782582577111,0,0,2
311,1782582578193,0,0,2
312,1782582578810,0,0,2
313,1782582579259,0,0,2
314,1782582579742,0,0,2
315,1782582580791,0,0,2
316,1782582582723,0,0,2
317,1782582583772,0,0,2
318,1782582584355,0,0,2
319,1782582585972,0,0,2
320,1782582586386,0,0,2
321,1782582586553,0,0,2
322,1782582586953,0,0,2
323,1782582589450,0,0,2
324,1782582589883,0,0,2
325,1782582590966,0,0,2
326,1782582591831,0,0,2
