index,date,LONGITUDE
89,1782582449985,-43.972468800000001
90,1782582450517,-43.972468800000001
91,1782582451850,-43.972468800000001
92,1782582452433,-43.972475099999997
93,1782582453731,-43.972475500000002
94,1782582454498,-43.972475500000002
95,1782582454997,-43.972475500000002
96,1782582456379,-43.972481999999999
97,1782582457711,-43.972485599999999
98,1782582458511,-43.972485599999999
99,1782582460975,-43.972484799999997
100,1782582461575,-43.972484799999997
101,1782582462207,-43.972487299999997
102,1782582462790,-43.972487299999997
103,1782582463473,-43.972487299999997
104,1782582464106,-43.972487299999997
105,1782582464605,-43.972488300000002
106,1782582465155,-43.972488599999998
107,1782582465754,-43.972488599999998
108,1782582466471,-43.972488599999998
109,1782582467087,-43.972489799999998
110,1782582468385,-43.972488300000002
111,1782582469002,-43.972488300000002
112,1782582470184,-43.972488499999997
113,1782582471583,-43.972488499999997
114,1782582472099,-43.972488499999997
115,1782582472800,-43.972488800000001
116,1782582473715,-43.972488800000001
117,1782582475197,-43.972471499999997
118,1782582476864,-43.972433500000001
119,1782582478594,-43.972433500000001
120,1782582480109,-43.972425999999999
121,1782582481025,-43.972465499999998
122,1782582481641,-43.972465499999998
123,1782582483474,-43.972482100000001
124,1782582484123,-43.972482900000003
125,1782582484971,-43.972486600000003
126,1782582485938,-43.972492299999999
127,1782582486604,-43.972492299999999
128,1782582488286,-43.972486500000002
129,1782582488951,-43.972482499999998
130,1782582489601,-43.972482499999998
131,1782582496179,-43.972476299999997
132,1782582497362,-43.972476299999997
133,1782582498044,-43.972476299999997
134,1782582498094,-43.972476299999997
135,1782582498776,-43.972476299999997
136,1782582499293,-43.972476299999997
137,1782582500059,-43.972476299999997
138,1782582501408,-43.972476299999997
139,1782582502057,-43.972476299999997
140,1782582502790,-43.972476299999997
141,1782582504023,-43.972476299999997
142,1782582505355,-43.972476299999997
143,1782582506037,-43.972476299999997
144,1782582506537,-43.972476299999997
145,1782582508002,-43.972476299999997
146,1782582509251,-43.972476299999997
147,1782582510450,-43.972476299999997
148,1782582511050,-43.972476299999997
149,1782582511633,-43.972476299999997
150,1782582512248,-43.972476299999997
151,1782582512949,-43.972476299999997
152,1782582514097,-43.972476299999997
153,1782582514713,-43.972476299999997
154,1782582516029,-43.972476299999997
155,1782582516612,-43.972476299999997
156,1782582517277,-43.972476299999997
157,1782582519226,-43.972476299999997
158,1782582520009,-43.972476299999997
159,1782582520592,-43.972476299999997
160,1782582522507,-43.972476299999997
161,1782582523256,-43.972476299999997
162,1782582524505,-43.972476299999997
163,1782582525788,-43.972476299999997
164,1782582527053,-43.972442600000001
165,1782582527719,-43.972442600000001
166,1782582528368,-43.972461500000001
167,1782582528885,-43.972461500000001
168,1782582530250,-43.972461500000001
169,1782582530833,-43.972452599999997
170,1782582531549,-43.972452599999997
171,1782582532881,-43.9724523
172,1782582533480,-43.9724523
173,1782582536078,-43.972449599999997
174,1782582536728,-43.972449599999997
175,1782582537444,-43.972449599999997
176,1782582538676,-43.972475500000002
177,1782582539277,-43.972493800000002
178,1782582539909,-43.972493800000002
179,1782582541291,-43.972536400000003
180,1782582542107,-43.972613500000001
181,1782582543556,-43.972667000000001
182,1782582544421,-43.972667000000001
183,1782582545904,-43.972608000000001
184,1782582546769,-43.972608000000001
185,1782582547685,-43.972529999999999
186,1782582548301,-43.9725258
187,1782582549168,-43.972547499999997
188,1782582550117,-43.972621500000002
189,1782582550733,-43.972621500000002
190,1782582551666,-43.972686600000003
191,1782582552532,-43.972672799999998
192,1782582553131,-43.972672799999998
193,1782582554946,-43.972597299999997
194,1782582555512,-43.972521100000002
195,1782582556412,-43.972522599999998
196,1782582557327,-43.972521
197,1782582558826,-43.972459100000002
198,1782582559675,-43.972399000000003
199,1782582560209,-43.972399000000003
200,1782582561207,-43.972364300000002
201,1782582562140,-43.972364300000002
202,1782582562756,-43.9724808
203,1782582563655,-43.972505099999999
204,1782582564455,-43.9725356
205,1782582565986,-43.972540600000002
206,1782582566869,-43.972447000000003
207,1782582569067,-43.972377299999998
208,1782582569718,-43.972384099999999
209,1782582570433,-43.972423300000003
210,1782582571399,-43.972478799999998
211,1782582573797,-43.972561800000001
212,1782582575429,-43.972643400000003
213,1782582576394,-43.972643400000003
214,1782582577893,-43.972643400000003
215,1782582578793,-43.972655000000003
216,1782582579426,-43.972655000000003
217,1782582580258,-43.972594800000003
