index,date,ERROR_ID,STACK,CELL,VOLTAGE,1,2,3,4
112,1768832428153,2,1,4,0.0,0,0,0,0
113,1768832428435,2,1,4,0.0,0,0,0,0
114,1768832428487,2,1,4,0.0,0,0,0,0
115,1768832428736,2,1,4,0.0,0,0,0,0
116,1768832429068,2,1,4,0.0,0,0,0,0
117,1768832429383,2,1,4,0.0,0,0,0,0
118,1768832429671,2,1,4,0.0,0,0,0,0
119,1768832430018,2,1,4,0.0,0,0,0,0
120,1768832430252,2,1,4,0.0,0,0,0,0
121,1768832430568,2,1,4,0.0,0,0,0,0
122,1768832430885,2,1,4,0.0,0,0,0,0
123,1768832431151,2,1,4,0.0,0,0,0,0
124,1768832431484,2,1,4,0.0,0,0,0,0
125,1768832431735,2,1,4,0.0,0,0,0,0
126,1768832432035,2,1,4,0.0,0,0,0,0
127,1768832432641,2,1,4,0.0,0,0,0,0
128,1768832432641,2,1,4,0.0,0,0,0,0
129,1768832432951,2,1,4,0.0,0,0,0,0
130,1768832433285,2,1,4,0.0,0,0,0,0
131,1768832433552,2,1,4,0.0,0,0,0,0
132,1768832433887,2,1,4,0.0,0,0,0,0
133,1768832434136,2,1,4,0.0,0,0,0,0
134,1768832434220,2,1,4,0.0,0,0,0,0
135,1768832434469,2,1,4,0.0,0,0,0,0
136,1768832434819,2,1,4,0.0,0,0,0,0
137,1768832435069,2,1,4,0.0,0,0,0,0
138,1768832435386,2,1,4,0.0,0,0,0,0
139,1768832435669,2,1,4,0.0,0,0,0,0
140,1768832435968,2,1,4,0.0,0,0,0,0
141,1768832436319,2,1,4,0.0,0,0,0,0
142,1768832436585,2,1,4,0.0,0,0,0,0
143,1768832436885,2,1,4,0.0,0,0,0,0
144,1768832437168,2,1,4,0.0,0,0,0,0
145,1768832437470,2,1,4,0.0,0,0,0,0
146,1768832437785,2,1,4,0.0,0,0,0,0
147,1768832438035,2,1,4,0.0,0,0,0,0
148,1768832438135,2,1,4,0.0,0,0,0,0
149,1768832438419,2,1,4,0.0,0,0,0,0
150,1768832438735,2,1,4,0.0,0,0,0,0
151,1768832439018,2,1,4,0.0,0,0,0,0
152,1768832439368,2,1,4,0.0,0,0,0,0
153,1768832439735,2,1,4,0.0,0,0,0,0
154,1768832440002,2,1,4,0.0,0,0,0,0
155,1768832440602,2,1,4,0.0,0,0,0,0
156,1768832440917,2,1,4,0.0,0,0,0,0
157,1768832441269,2,1,4,0.0,0,0,0,0
158,1768832441552,2,1,4,0.0,0,0,0,0
159,1768832441834,2,1,4,0.0,0,0,0,0
160,1768832442118,2,1,4,0.0,0,0,0,0
161,1768832442384,2,1,4,0.0,0,0,0,0
162,1768832442720,2,1,4,0.0,0,0,0,0
163,1768832442969,2,1,4,0.0,0,0,0,0
164,1768832443018,2,1,4,0.0,0,0,0,0
165,1768832443269,2,1,4,0.0,0,0,0,0
166,1768832443687,2,1,4,0.0,0,0,0,0
167,1768832443885,2,1,4,0.0,0,0,0,0
168,1768832444169,2,1,4,0.0,0,0,0,0
169,1768832444455,2,1,4,0.0,0,0,0,0
170,1768832444738,2,1,4,0.0,0,0,0,0
171,1768832445086,2,1,4,0.0,0,0,0,0
172,1768832445301,2,1,4,0.0,0,0,0,0
173,1768832445368,2,1,4,0.0,0,0,0,0
174,1768832445668,2,1,4,0.0,0,0,0,0
175,1768832445969,2,1,4,0.0,0,0,0,0
176,1768832446201,2,1,4,0.0,0,0,0,0
177,1768832446552,2,1,4,0.0,0,0,0,0
178,1768832446784,2,1,4,0.0,0,0,0,0
179,1768832446885,2,1,4,0.0,0,0,0,0
180,1768832447135,2,1,4,0.0,0,0,0,0
181,1768832447470,2,1,4,0.0,0,0,0,0
182,1768832447719,2,1,4,0.0,0,0,0,0
183,1768832448020,2,1,4,0.0,0,0,0,0
184,1768832448307,2,1,4,0.0,0,0,0,0
185,1768832448601,2,1,196,0.0,0,0,0,0
