index,date,SLACE_1,SLAVE_2,SLAVE_3,SLAVE_4,1,2,3,4
117,1765228165212,0,0,0,0,0,0,0,0
118,1765228166921,0,0,0,0,0,0,0,0
119,1765228168513,0,0,0,0,0,0,0,0
120,1765228177298,0,0,0,0,0,0,0,0
121,1765228180784,0,0,0,0,0,0,0,0
122,1765228180967,0,0,0,0,0,0,0,0
123,1765228184445,0,0,0,0,0,0,0,0
124,1765228194514,0,0,0,0,0,0,0,0
125,1765228194697,0,0,0,0,0,0,0,0
126,1765228198036,0,0,0,0,0,0,0,0
127,1765228201378,0,0,0,0,0,0,0,0
128,1765228206418,0,0,0,0,0,0,0,0
129,1765228213608,0,0,0,0,0,0,0,0
130,1765228215398,0,0,0,0,0,0,0,0
131,1765228217456,0,0,0,0,0,0,0,0
132,1765228230993,0,0,0,0,0,0,0,0
133,1765228231168,0,0,0,0,0,0,0,0
134,1765228362441,0,0,0,0,0,0,0,0
135,1765228366023,0,0,0,0,0,0,0,0
136,1765228369324,0,0,0,0,0,0,0,0
137,1765228373802,0,0,0,0,0,0,0,0
138,1765228382504,0,0,0,0,0,0,0,0
139,1765228384347,0,0,0,0,0,0,0,0
140,1765228385363,0,0,0,0,0,0,0,0
141,1765228390502,0,0,0,0,0,0,0,0
142,1765228408205,0,0,0,0,0,0,0,0
143,1765228411544,0,0,0,0,0,0,0,0
144,1765228420633,0,0,0,0,0,0,0,0
145,1765228425308,0,0,0,0,0,0,0,0
146,1765228432426,0,0,0,0,0,0,0,0
147,1765228434112,0,0,0,0,0,0,0,0
148,1765228434289,0,0,0,0,0,0,0,0
149,1765228435943,0,0,0,0,0,0,0,0
150,1765228439916,0,0,0,0,0,0,0,0
151,1765228445194,0,0,0,0,0,0,0,0
152,1765228446761,0,0,0,0,0,0,0,0
153,1765228450086,0,0,0,0,0,0,0,0
154,1765228450233,0,0,0,0,0,0,0,0
155,1765228458910,0,0,0,0,0,0,0,0
156,1765228480333,0,0,0,0,0,0,0,0
157,1765228488662,0,0,0,0,0,0,0,0
158,1765228495242,0,0,0,0,0,0,0,0
159,1765228497309,0,0,0,0,0,0,0,0
160,1765228504072,0,0,0,0,0,0,0,0
161,1765228505874,0,0,0,0,0,0,0,0
162,1765228510313,0,0,0,0,0,0,0,0
163,1765228515921,0,0,0,0,0,0,0,0
164,1765228516552,0,0,0,0,0,0,0,0
165,1765228519214,0,0,0,0,0,0,0,0
166,1765228519760,0,0,0,0,0,0,0,0
167,1765228520483,0,0,0,0,0,0,0,0
168,1765228521100,0,0,0,0,0,0,0,0
169,1765228522950,0,0,0,0,0,0,0,0
170,1765228526168,0,0,0,0,0,0,0,0
171,1765228528174,0,0,0,0,0,0,0,0
172,1765228529990,0,0,0,0,0,0,0,0
173,1765228533558,0,0,0,0,0,0,0,0
174,1765228535572,0,0,0,0,0,0,0,0
175,1765228540928,0,0,0,0,0,0,0,0
176,1765228545563,0,0,0,0,0,0,0,0
177,1765228550327,0,0,0,0,0,0,0,0
178,1765228554285,0,0,0,0,0,0,0,0
179,1765228555518,0,0,0,0,0,0,0,0
180,1765228556146,0,0,0,0,0,0,0,0
181,1765228556760,0,0,0,0,0,0,0,0
182,1765228564723,0,0,0,0,0,0,0,0
183,1765228566498,0,0,0,0,0,0,0,0
184,1765228571599,0,0,0,0,0,0,0,0
185,1765228579907,0,0,0,0,0,0,0,0
186,1765228586779,0,0,0,0,0,0,0,0
187,1765228586960,0,0,0,0,0,0,0,0
188,1765228588739,0,0,0,0,0,0,0,0
189,1765228597638,0,0,0,0,0,0,0,0
190,1765228599501,0,0,0,0,0,0,0,0
191,1765228604524,0,0,0,0,0,0,0,0
192,1765228606348,0,0,0,0,0,0,0,0
193,1765228611437,0,0,0,0,0,0,0,0
194,1765228618393,0,0,0,0,0,0,0,0
195,1765228624233,0,0,0,0,0,0,0,0
196,1765228627566,0,0,0,0,0,0,0,0
197,1765228629081,0,0,0,0,0,0,0,0
198,1765228648866,0,0,0,0,0,0,0,0
199,1765228665823,0,0,0,0,0,0,0,0
200,1765228667407,0,0,0,0,0,0,0,0
201,1765228676826,0,0,0,0,0,0,0,0
202,1765228688510,0,0,0,0,0,0,0,0
203,1765228690083,0,0,0,0,0,0,0,0
204,1765228701955,0,0,0,0,0,0,0,0
205,1765228703773,0,0,0,0,0,0,0,0
206,1765228713221,0,0,0,0,0,0,0,0
207,1765229011130,0,0,0,0,0,0,0,0
208,1765229012738,0,0,0,0,0,0,0,0
209,1765229021234,0,0,0,0,0,0,0,0
210,1765229024716,0,0,0,0,0,0,0,0
211,1765229029615,0,0,0,0,0,0,0,0
212,1765229033139,0,0,0,0,0,0,0,0
213,1765229036773,0,0,0,0,0,0,0,0
214,1765229061833,0,0,0,0,0,0,0,0
215,1765229063383,0,0,0,0,0,0,0,0
216,1765229065232,0,0,0,0,0,0,0,0
217,1765229065416,0,0,0,0,0,0,0,0
218,1765229070686,0,0,0,0,0,0,0,0
219,1765229074261,0,0,0,0,0,0,0,0
220,1765229075961,0,0,0,0,0,0,0,0
221,1765229079318,0,0,0,0,0,0,0,0
