index,date,SET_POINT_LONGITUDINAL,SET_POINT_LATERAL
1048,1782566654456,0,0
1049,1782566655405,0,0
1050,1782566656271,0,0
1051,1782566657087,0,0
1052,1782566657487,0,0
1053,1782566658418,0,0
1054,1782566658818,0,0
1055,1782566659600,0,0
1056,1782566660882,0,0
1057,1782566661299,0,0
1058,1782566661432,0,0
1059,1782566661698,0,0
1060,1782566662364,0,0
1061,1782566663347,0,0
1062,1782566663897,0,0
1063,1782566664096,0,0
1064,1782566664529,0,0
1065,1782566665062,0,0
1066,1782566665463,0,0
1067,1782566667195,0,0
1068,1782566667612,2563,0
1069,1782566669677,0,0
1070,1782566670076,0,0
1071,1782566670925,0,0
1072,1782566672457,0,0
1073,1782566674856,0,0
1074,1782566675688,0,0
1075,1782566676854,0,0
1076,1782566677253,0,0
1077,1782566678119,0,0
1078,1782566679285,0,0
1079,1782566682399,0,0
1080,1782566684414,0,0
1081,1782566684797,0,0
1082,1782566685930,0,0
1083,1782566686812,0,0
1084,1782566687228,0,0
1085,1782566689310,0,0
1086,1782566690793,0,0
1087,1782566691758,0,0
1088,1782566692608,0,0
1089,1782566693906,0,0
1090,1782566694755,0,0
1091,1782566695405,0,0
1092,1782566695405,0,0
1093,1782566695588,0,0
1094,1782566695972,0,0
1095,1782566696338,0,0
1096,1782566697220,0,0
1097,1782566697603,0,0
1098,1782566697736,0,0
1099,1782566697986,0,0
1100,1782566698370,0,0
1101,1782566698718,0,0
1102,1782566701300,0,0
1103,1782566701666,0,0
1104,1782566702816,0,0
1105,1782566703981,0,0
1106,1782566704414,0,0
1107,1782566705247,0,0
1108,1782566706380,0,0
1109,1782566706512,0,0
1110,1782566708561,0,0
1111,1782566708943,0,0
1112,1782566711008,0,0
1113,1782566713123,0,0
1114,1782566713539,0,0
1115,1782566714039,0,0
1116,1782566714422,0,0
1117,1782566714655,0,0
1118,1782566715255,0,0
1119,1782566716521,0,0
1120,1782566716970,0,0
1121,1782566717403,0,0
1122,1782566718635,0,0
1123,1782566719068,0,0
1124,1782566719667,0,0
1125,1782566719868,0,0
1126,1782566721050,0,0
1127,1782566721449,0,0
1128,1782566722283,0,0
1129,1782566723593,0,0
1130,1782566724713,0,0
