index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
293,1782566103597,0,0,0
294,1782566103735,0,0,0
295,1782566104020,0,0,0
296,1782566106101,0,0,0
297,1782566106916,0,0,0
298,1782566107316,0,0,0
299,1782566107666,0,0,0
300,1782566108415,0,0,0
301,1782566109614,0,0,0
302,1782566109981,0,0,0
303,1782566110763,0,0,0
304,1782566111745,0,0,0
305,1782566112195,0,0,0
306,1782566113877,0,0,0
307,1782566114260,0,0,0
308,1782566116291,0,0,0
309,1782566116658,0,0,0
310,1782566118773,0,0,0
311,1782566120105,0,0,0
312,1782566120321,0,0,0
313,1782566120555,0,0,0
314,1782566121004,0,0,0
315,1782566122204,0,0,0
316,1782566122853,0,0,0
317,1782566123103,0,0,0
318,1782566124052,0,0,0
319,1782566124385,0,0,0
320,1782566126100,0,0,0
321,1782566126516,0,0,0
322,1782566127366,0,0,0
323,1782566128565,0,0,0
324,1782566128964,0,0,0
325,1782566129864,0,0,0
326,1782566130347,0,0,0
327,1782566130747,0,0,0
328,1782566131929,0,0,0
329,1782566132362,0,0,0
330,1782566133061,0,0,0
331,1782566133444,0,0,0
332,1782566133793,0,0,0
333,1782566136408,0,0,0
334,1782566140921,0,0,0
335,1782566143402,0,0,0
336,1782566144285,0,0,0
337,1782566145185,0,0,0
338,1782566145567,0,0,0
339,1782566146383,0,0,0
340,1782566146816,0,0,0
341,1782566147231,0,0,0
342,1782566147649,0,0,0
343,1782566148795,0,0,0
344,1782566150179,0,0,0
345,1782566151112,0,0,0
346,1782566151795,0,0,0
347,1782566151928,0,0,0
348,1782566152360,0,0,0
349,1782566153295,0,0,0
350,1782566154493,0,0,0
351,1782566154809,0,0,0
352,1782566155725,0,0,0
353,1782566156857,0,0,0
354,1782566157474,0,0,0
355,1782566157857,0,0,0
356,1782566160188,0,0,0
357,1782566161703,0,0,0
358,1782566162903,0,0,0
359,1782566163269,0,0,0
360,1782566163902,0,0,0
361,1782566164418,0,0,0
362,1782566165600,885,885,0
363,1782566166350,868,868,0
364,1782566166416,869,869,0
365,1782566167415,859,859,0
366,1782566167848,769,769,0
367,1782566169580,806,806,0
368,1782566169962,784,784,0
369,1782566172044,807,807,0
370,1782566172961,800,800,0
371,1782566173394,817,817,0
372,1782566173543,984,984,0
373,1782566174176,910,910,0
374,1782566175425,0,0,0
375,1782566175808,0,0,0
376,1782566175991,670,670,0
377,1782566176208,985,985,0
378,1782566176657,986,986,0
379,1782566177473,955,955,0
380,1782566177857,970,970,0
381,1782566178473,901,901,0
382,1782566178689,963,963,0
383,1782566179055,977,977,0
384,1782566179904,982,982,0
385,1782566180321,969,969,0
386,1782566180837,949,949,0
387,1782566181054,982,982,0
