index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
334,1782566139689,10,0,0
335,1782566140172,10,0,0
336,1782566140455,10,0,0
337,1782566141420,10,0,0
338,1782566141803,10,0,0
339,1782566142137,10,0,0
340,1782566142170,10,0,0
341,1782566142552,10,0,0
342,1782566142953,10,0,0
343,1782566143819,10,0,0
344,1782566144218,10,0,0
345,1782566144635,10,0,0
346,1782566145068,10,0,0
347,1782566145967,10,0,0
348,1782566146366,10,0,0
349,1782566147198,10,0,0
350,1782566148131,10,0,0
351,1782566149181,10,0,0
352,1782566149464,10,0,0
353,1782566149663,10,0,0
354,1782566150629,10,0,0
355,1782566151030,10,0,0
356,1782566152794,10,0,0
357,1782566154043,10,0,0
358,1782566155226,10,0,0
359,1782566156141,10,0,0
360,1782566156442,10,0,0
361,1782566157340,10,0,0
362,1782566158289,10,0,0
363,1782566158689,10,0,0
364,1782566159055,10,0,0
365,1782566159423,10,0,0
366,1782566159838,10,0,0
367,1782566160970,10,0,0
368,1782566161404,10,0,0
369,1782566162104,10,0,0
370,1782566162469,10,0,0
371,1782566162819,10,0,0
372,1782566163635,10,0,0
373,1782566164801,10,0,0
374,1782566165167,10,0,0
375,1782566165551,10,0,0
376,1782566166033,10,0,0
377,1782566166899,10,0,0
378,1782566167332,10,0,0
379,1782566167881,10,0,0
380,1782566168297,10,0,0
381,1782566168780,10,0,0
382,1782566169097,10,0,0
383,1782566169496,10,0,0
384,1782566170379,10,0,0
385,1782566170829,10,0,0
386,1782566171112,10,0,0
387,1782566171228,10,0,0
388,1782566171529,10,0,0
389,1782566172494,10,0,0
390,1782566172860,10,0,0
391,1782566174559,10,0,0
392,1782566175008,10,0,0
393,1782566177057,10,0,0
394,1782566177457,10,0,0
395,1782566179438,10,0,0
396,1782566179804,10,0,0
397,1782566181886,10,0,0
398,1782566182253,10,0,0
399,1782566183934,10,0,0
400,1782566184318,10,0,0
401,1782566187332,10,0,0
402,1782566187681,10,0,0
403,1782566188114,10,0,0
404,1782566188381,10,0,0
405,1782566189014,10,0,0
406,1782566190745,10,0,0
407,1782566191629,10,0,0
408,1782566192045,10,0,0
409,1782566192841,10,0,0
410,1782566193826,10,0,0
411,1782566194192,10,0,0
412,1782566195075,10,0,0
413,1782566195874,10,0,0
414,1782566196324,10,0,0
415,1782566197190,10,0,0
416,1782566197590,10,0,0
417,1782566197723,10,0,0
418,1782566198339,10,0,0
419,1782566198755,10,0,0
420,1782566199589,10,0,0
421,1782566200021,10,0,0
422,1782566200188,10,0,0
423,1782566200420,10,0,0
424,1782566200870,10,0,0
425,1782566201803,10,0,0
426,1782566203585,10,0,0
427,1782566204001,10,0,0
428,1782566204834,10,0,0
429,1782566206067,10,0,0
430,1782566207248,10,0,0
431,1782566208064,10,0,0
432,1782566208514,10,0,0
433,1782566209629,10,0,0
434,1782566210529,10,0,0
435,1782566210962,10,0,0
436,1782566211761,10,0,0
437,1782566212094,10,0,0
438,1782566212927,10,0,0
439,1782566213343,10,0,0
440,1782566214509,10,0,0
441,1782566215591,10,0,0
442,1782566215974,10,0,0
443,1782566216357,10,0,0
444,1782566217207,10,0,0
445,1782566217424,10,0,0
446,1782566218339,10,0,0
447,1782566218738,10,0,0
448,1782566220804,10,0,0
449,1782566221770,10,0,0
450,1782566222618,10,0,0
451,1782566224001,10,0,0
452,1782566224334,10,0,0
453,1782566224734,10,0,0
454,1782566225874,10,0,0
455,1782566226132,10,0,0
456,1782566226964,10,0,0
457,1782566227814,10,0,0
458,1782566228197,10,0,0
459,1782566228580,10,0,0
460,1782566229447,10,0,0
461,1782566230279,10,0,0
462,1782566230679,10,0,0
463,1782566232077,10,0,0
464,1782566232460,10,0,0
465,1782566233343,10,0,0
466,1782566233793,10,0,0
467,1782566233993,10,0,0
468,1782566234192,10,0,0
469,1782566234608,10,0,0
470,1782566235808,10,0,0
471,1782566236258,10,0,0
472,1782566236407,10,0,0
473,1782566236883,10,0,0
474,1782566236990,10,0,0
475,1782566237906,10,0,0
476,1782566238323,10,0,0
477,1782566238888,10,0,0
478,1782566239088,10,0,0
479,1782566239471,10,0,0
480,1782566240936,10,0,0
481,1782566242336,10,0,0
482,1782566242736,10,0,0
483,1782566243867,10,0,0
484,1782566245000,10,0,0
485,1782566245399,10,0,0
486,1782566246249,10,0,0
487,1782566246632,10,0,0
488,1782566247448,10,0,0
489,1782566247879,10,0,0
490,1782566248681,10,0,0
491,1782566249013,10,0,0
492,1782566249846,10,0,0
493,1782566250228,10,0,0
494,1782566251061,10,0,0
495,1782566251427,10,0,0
496,1782566251977,10,0,0
497,1782566252376,10,0,0
498,1782566254143,10,0,0
499,1782566254542,10,0,0
500,1782566255424,10,0,0
501,1782566256257,10,0,0
502,1782566256607,10,0,0
503,1782566257507,10,0,0
504,1782566257906,10,0,0
505,1782566258172,10,0,0
506,1782566258885,10,0,0
507,1782566260021,10,0,0
508,1782566260920,10,0,0
509,1782566261769,10,0,0
510,1782566262169,10,0,0
511,1782566264284,10,0,0
512,1782566264650,10,0,0
513,1782566265699,10,0,0
514,1782566266083,10,0,0
515,1782566266565,10,0,0
516,1782566266965,10,0,0
517,1782566268015,10,0,0
518,1782566268447,10,0,0
519,1782566269379,10,0,0
520,1782566270396,10,0,0
521,1782566270845,10,0,0
522,1782566271977,10,0,0
523,1782566272328,10,0,0
524,1782566272593,10,0,0
525,1782566273144,10,0,0
526,1782566273560,10,0,0
527,1782566274126,10,0,0
528,1782566274526,10,0,0
529,1782566275208,10,0,0
530,1782566275258,10,0,0
531,1782566276640,10,0,0
532,1782566278439,10,0,0
533,1782566279721,10,0,0
534,1782566280920,10,0,0
535,1782566281902,10,0,0
536,1782566282453,10,0,0
537,1782566282686,10,0,0
538,1782566283085,10,0,0
539,1782566283934,10,0,0
540,1782566284350,10,0,0
541,1782566284883,10,0,0
542,1782566285233,10,0,0
543,1782566286116,10,0,0
544,1782566286498,10,0,0
545,1782566288198,10,0,0
546,1782566288613,10,0,0
547,1782566289479,10,0,0
548,1782566290412,10,0,0
549,1782566291922,10,0,0
