index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
841,1782566495090,0,5
842,1782566495972,0,5
843,1782566496322,0,5
844,1782566497219,0,5
845,1782566497238,0,5
846,1782566498470,0,5
847,1782566500186,0,5
848,1782566500618,0,5
849,1782566500951,0,5
850,1782566502333,0,5
851,1782566502750,0,5
852,1782566504016,0,5
853,1782566504865,0,5
854,1782566505764,0,5
855,1782566506130,0,5
856,1782566506514,0,5
857,1782566506646,0,5
858,1782566506930,0,5
859,1782566507329,0,5
860,1782566508512,0,5
861,1782566508945,0,5
862,1782566509062,0,5
863,1782566509412,0,5
864,1782566510310,0,5
865,1782566510710,0,5
866,1782566512725,0,5
867,1782566513109,0,5
868,1782566513874,0,5
869,1782566514141,0,5
870,1782566514490,0,5
871,1782566516038,0,5
872,1782566517372,0,5
873,1782566518120,0,5
874,1782566518736,0,5
875,1782566518787,0,5
876,1782566519253,0,5
877,1782566520052,0,5
878,1782566520518,0,5
879,1782566521268,0,5
880,1782566522251,0,5
881,1782566523233,0,5
882,1782566524082,0,5
883,1782566524499,0,5
884,1782566525048,0,5
885,1782566525431,0,5
886,1782566525981,0,5
887,1782566526646,0,5
888,1782566527479,0,5
889,1782566529328,0,5
890,1782566529761,0,5
891,1782566531526,0,5
892,1782566531909,0,5
893,1782566532491,0,5
894,1782566532892,0,5
895,1782566533241,0,5
896,1782566533275,0,5
897,1782566534275,0,5
898,1782566534640,0,5
899,1782566535856,0,5
900,1782566536388,0,5
901,1782566536789,0,5
902,1782566539136,0,5
903,1782566539469,0,5
904,1782566539786,0,5
905,1782566540535,0,5
906,1782566541249,0,5
907,1782566542450,0,5
908,1782566543516,0,5
909,1782566543949,0,5
910,1782566544765,0,5
911,1782566545131,0,5
912,1782566545930,0,5
913,1782566546347,0,5
914,1782566547229,0,5
915,1782566547579,0,5
916,1782566548045,0,5
917,1782566548479,0,5
918,1782566549394,0,5
919,1782566550294,0,5
920,1782566550626,0,5
921,1782566551526,0,5
922,1782566552253,0,5
923,1782566552658,0,5
924,1782566552991,0,5
925,1782566553891,0,5
926,1782566556171,0,5
927,1782566557005,0,5
928,1782566558270,0,5
929,1782566559186,0,5
930,1782566559602,0,5
931,1782566559819,0,5
932,1782566560019,0,5
933,1782566560368,0,5
934,1782566561251,0,5
935,1782566561667,0,5
936,1782566562317,0,5
937,1782566562483,0,5
938,1782566562849,0,5
939,1782566563749,0,5
940,1782566564915,0,5
941,1782566566796,0,5
942,1782566566980,0,5
943,1782566567878,0,5
944,1782566568245,0,5
945,1782566570526,0,5
946,1782566570860,0,5
947,1782566571226,0,5
948,1782566572058,0,5
949,1782566572325,0,5
950,1782566572891,0,5
951,1782566573274,0,5
952,1782566575356,0,5
953,1782566575705,0,5
954,1782566576904,0,5
955,1782566577154,0,5
956,1782566578086,0,5
957,1782566578487,0,5
958,1782566579852,0,5
959,1782566580235,0,5
960,1782566582283,0,5
961,1782566582716,0,5
962,1782566584698,0,5
963,1782566585277,0,5
964,1782566586013,0,5
965,1782566586280,0,5
966,1782566586846,0,5
967,1782566587213,0,5
968,1782566588078,0,5
969,1782566588478,0,5
970,1782566588761,0,5
971,1782566589310,0,5
972,1782566590243,0,5
973,1782566590643,0,5
974,1782566591293,0,5
975,1782566591376,0,5
976,1782566591792,0,5
977,1782566592941,0,5
978,1782566593307,0,5
979,1782566593507,0,5
980,1782566594323,0,5
981,1782566594756,0,5
982,1782566597671,0,5
983,1782566598070,0,5
984,1782566598586,0,5
985,1782566598819,0,5
986,1782566599750,0,5
987,1782566600150,0,5
988,1782566601033,0,5
989,1782566601332,0,5
990,1782566602581,0,5
991,1782566604280,0,5
992,1782566604713,0,5
993,1782566606744,0,5
994,1782566607311,0,5
995,1782566608026,0,5
996,1782566608893,0,5
997,1782566610175,0,5
998,1782566610574,0,5
999,1782566611041,0,5
1000,1782566611423,0,5
1001,1782566611976,0,5
1002,1782566612356,0,5
1003,1782566613208,0,5
1004,1782566614506,0,5
1005,1782566616254,0,5
1006,1782566617238,0,5
1007,1782566617586,0,5
1008,1782566617821,0,5
1009,1782566618370,0,5
1010,1782566618669,0,5
1011,1782566619036,0,5
1012,1782566619935,0,5
1013,1782566621034,0,5
1014,1782566621434,0,5
1015,1782566624015,0,5
1016,1782566624414,0,5
1017,1782566624764,0,5
1018,1782566625265,0,5
1019,1782566625513,0,5
1020,1782566626512,0,5
1021,1782566628328,0,5
1022,1782566628695,0,5
1023,1782566629560,0,5
1024,1782566630809,0,5
1025,1782566631742,0,5
1026,1782566632092,0,5
1027,1782566632391,0,5
1028,1782566632891,0,5
1029,1782566633257,0,5
1030,1782566634206,0,5
1031,1782566634557,0,5
1032,1782566634822,0,5
1033,1782566635339,0,5
1034,1782566636354,0,5
1035,1782566637004,0,5
1036,1782566637803,0,5
1037,1782566638186,0,5
1038,1782566639169,0,5
1039,1782566639568,0,5
1040,1782566639702,0,5
1041,1782566640329,0,5
1042,1782566640651,0,5
1043,1782566640967,0,5
1044,1782566641367,0,5
1045,1782566642266,0,5
1046,1782566642533,0,5
1047,1782566643082,0,5
1048,1782566643515,0,5
1049,1782566646030,0,5
1050,1782566646429,0,5
1051,1782566646713,0,5
1052,1782566648078,0,5
1053,1782566649494,0,5
1054,1782566649910,0,5
1055,1782566650809,0,5
1056,1782566651342,0,5
1057,1782566651925,0,5
1058,1782566652874,0,5
1059,1782566653258,0,5
1060,1782566654423,0,5
1061,1782566655339,0,5
1062,1782566657437,0,5
1063,1782566657837,0,5
1064,1782566658768,0,5
1065,1782566659550,0,5
1066,1782566659983,0,5
1067,1782566660816,0,5
1068,1782566661232,0,5
1069,1782566661365,0,5
1070,1782566662354,0,5
1071,1782566663279,0,5
1072,1782566663663,0,5
1073,1782566663863,0,5
1074,1782566664048,0,5
1075,1782566664464,0,5
1076,1782566665045,0,5
1077,1782566665443,0,5
1078,1782566667528,0,5
1079,1782566669627,0,5
1080,1782566670043,0,5
1081,1782566670876,0,5
1082,1782566672009,0,5
1083,1782566672407,0,5
1084,1782566675189,0,5
1085,1782566677204,0,5
1086,1782566679251,0,5
1087,1782566679635,0,5
1088,1782566680001,0,5
1089,1782566682000,0,5
1090,1782566682383,0,5
1091,1782566683564,0,5
1092,1782566684414,0,5
1093,1782566684748,0,5
1094,1782566685130,0,5
1095,1782566685730,0,5
1096,1782566685879,0,5
1097,1782566686779,0,5
1098,1782566687179,0,5
1099,1782566688378,0,5
1100,1782566689227,0,5
1101,1782566689660,0,5
1102,1782566690725,0,5
1103,1782566691309,0,5
1104,1782566691692,0,5
1105,1782566693807,0,5
1106,1782566694723,0,5
1107,1782566695389,0,5
1108,1782566695904,0,5
1109,1782566696321,0,5
1110,1782566697170,0,5
1111,1782566697570,0,5
1112,1782566697703,0,5
1113,1782566698319,0,5
1114,1782566698669,0,5
1115,1782566699051,0,5
1116,1782566700452,0,5
1117,1782566701250,0,5
1118,1782566701617,0,5
1119,1782566701983,0,5
1120,1782566703148,0,5
1121,1782566703949,0,5
1122,1782566704331,0,5
1123,1782566705213,0,5
1124,1782566706446,0,5
1125,1782566707712,0,5
1126,1782566708528,0,5
1127,1782566708877,0,5
1128,1782566710925,0,5
1129,1782566711342,0,5
1130,1782566713074,0,5
1131,1782566713474,0,5
1132,1782566714372,0,5
1133,1782566714605,0,5
1134,1782566715206,0,5
1135,1782566715622,0,5
1136,1782566716470,0,5
1137,1782566716920,0,5
1138,1782566717403,0,5
1139,1782566717403,0,5
1140,1782566717769,0,5
1141,1782566718568,0,5
1142,1782566719019,0,5
1143,1782566719635,0,5
1144,1782566719801,0,5
1145,1782566720184,0,5
1146,1782566721017,0,5
1147,1782566721383,0,5
1148,1782566722083,0,5
1149,1782566722216,0,5
1150,1782566723115,0,5
1151,1782566723548,0,5
1152,1782566724630,0,5
1153,1782566726130,0,5
1154,1782566726612,0,5
1155,1782566726811,0,5
1156,1782566727345,0,5
1157,1782566728528,0,5
1158,1782566728977,0,5
1159,1782566729992,0,5
1160,1782566730426,0,5
1161,1782566732755,0,5
1162,1782566733638,0,5
1163,1782566734854,0,5
1164,1782566735852,0,5
1165,1782566736551,0,5
1166,1782566736752,0,5
1167,1782566737686,0,5
1168,1782566738069,0,5
1169,1782566739784,0,5
1170,1782566740150,0,5
1171,1782566741034,0,5
