index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
1117,1762970154920,0,0,0,0,0,0,0,0
1118,1762970155020,0,0,0,0,0,0,0,0
1119,1762970155336,0,0,0,0,0,0,0,0
1120,1762970155455,0,0,0,0,0,0,0,0
1121,1762970155769,0,0,0,0,0,0,0,0
1122,1762970155920,0,0,0,0,0,0,0,0
1123,1762970156018,0,0,0,0,0,0,0,0
1124,1762970156102,0,0,0,0,0,0,0,0
1125,1762970156236,0,0,0,0,0,0,0,0
1126,1762970156335,0,0,0,0,0,0,0,0
1127,1762970156536,0,0,0,0,0,0,0,0
1128,1762970156768,0,0,0,0,0,0,0,0
1129,1762970156884,0,0,0,0,0,0,0,0
1130,1762970157118,0,0,0,0,0,0,0,0
1131,1762970157317,0,0,0,0,0,0,0,0
1132,1762970157751,0,0,0,0,0,0,0,0
1133,1762970157867,0,0,0,0,0,0,0,0
1134,1762970158517,0,0,0,0,0,0,0,0
1135,1762970158866,0,0,0,0,0,0,0,0
1136,1762970159001,0,0,0,0,0,0,0,0
1137,1762970159117,0,0,0,0,0,0,0,0
1138,1762970159733,0,0,0,0,0,0,0,0
1139,1762970159882,0,0,0,0,0,0,0,0
1140,1762970160098,0,0,0,0,0,0,0,0
1141,1762970160281,0,0,0,0,0,0,0,0
1142,1762970160398,0,0,0,0,0,0,0,0
1143,1762970160685,0,0,0,0,0,0,0,0
1144,1762970160784,0,0,0,0,0,0,0,0
1145,1762970160915,0,0,0,0,0,0,0,0
1146,1762970161049,0,0,0,0,0,0,0,0
1147,1762970161168,0,0,0,0,0,0,0,0
1148,1762970161385,0,0,0,0,0,0,0,0
1149,1762970161549,0,0,0,0,0,0,0,0
1150,1762970161599,0,0,0,0,0,0,0,0
1151,1762970161750,0,0,0,0,0,0,0,0
1152,1762970161899,0,0,0,0,0,0,0,0
1153,1762970162032,0,0,0,0,0,0,0,0
1154,1762970162165,0,0,0,0,0,0,0,0
1155,1762970162266,0,0,0,0,0,0,0,0
1156,1762970162386,0,0,0,0,0,0,0,0
1157,1762970162499,0,0,0,0,0,0,0,0
1158,1762970162599,0,0,0,0,0,0,0,0
1159,1762970162698,0,0,0,0,0,0,0,0
1160,1762970162998,0,0,0,0,0,0,0,0
1161,1762970163114,0,0,0,0,0,0,0,0
1162,1762970163147,0,0,0,0,0,0,0,0
1163,1762970163246,0,0,0,0,0,0,0,0
1164,1762970163365,0,0,0,0,0,0,0,0
1165,1762970163514,0,0,0,0,0,0,0,0
1166,1762970163646,0,0,0,0,0,0,0,0
1167,1762970163829,0,0,0,0,0,0,0,0
1168,1762970163913,0,0,0,0,0,0,0,0
1169,1762970164046,0,0,0,0,0,0,0,0
1170,1762970164129,0,0,0,0,0,0,0,0
1171,1762970164478,0,0,0,0,0,0,0,0
1172,1762970164611,0,0,0,0,0,0,0,0
1173,1762970164711,0,0,0,0,0,0,0,0
1174,1762970164813,0,0,0,0,0,0,0,0
1175,1762970165028,0,0,0,0,0,0,0,0
1176,1762970165129,0,0,0,0,0,0,0,0
1177,1762970165345,0,0,0,0,0,0,0,0
1178,1762970165446,0,0,0,0,0,0,0,0
1179,1762970165678,0,0,0,0,0,0,0,0
1180,1762970165796,0,0,0,0,0,0,0,0
1181,1762970165981,0,0,0,0,0,0,0,0
1182,1762970166026,0,0,0,0,0,0,0,0
1183,1762970166126,0,0,0,0,0,0,0,0
1184,1762970166227,0,0,0,0,0,0,0,0
1185,1762970166331,0,0,0,0,0,0,0,0
1186,1762970166449,0,0,0,0,0,0,0,0
1187,1762970166593,0,0,0,0,0,0,0,0
1188,1762970166711,0,0,0,0,0,0,0,0
1189,1762970167110,0,0,0,0,0,0,0,0
1190,1762970167327,0,0,0,0,0,0,0,0
1191,1762970167478,0,0,0,0,0,0,0,0
1192,1762970167661,0,0,0,0,0,0,0,0
1193,1762970167810,0,0,0,0,0,0,0,0
1194,1762970168062,0,0,0,0,0,0,0,0
1195,1762970168210,0,0,0,0,0,0,0,0
1196,1762970168310,0,0,0,0,0,0,0,0
1197,1762970168426,0,0,0,0,0,0,0,0
1198,1762970168644,0,0,0,0,0,0,0,0
1199,1762970168759,0,0,0,0,0,0,0,0
1200,1762970168977,0,0,0,0,0,0,0,0
1201,1762970169058,0,0,0,0,0,0,0,0
1202,1762970169309,0,0,0,0,0,0,0,0
1203,1762970169409,0,0,0,0,0,0,0,0
1204,1762970169659,0,0,0,0,0,0,0,0
1205,1762970169794,0,0,0,0,0,0,0,0
1206,1762970169942,0,0,0,0,0,0,0,0
1207,1762970170075,0,0,0,0,0,0,0,0
1208,1762970170175,0,0,0,0,0,0,0,0
1209,1762970170409,0,0,0,0,0,0,0,0
1210,1762970170541,0,0,0,0,0,0,0,0
1211,1762970170841,0,0,0,0,0,0,0,0
1212,1762970170975,0,0,0,0,0,0,0,0
1213,1762970171073,0,0,0,0,0,0,0,0
1214,1762970171174,0,0,0,0,0,0,0,0
1215,1762970171292,0,0,0,0,0,0,0,0
1216,1762970171406,0,0,0,0,0,0,0,0
1217,1762970171508,0,0,0,0,0,0,0,0
1218,1762970171607,0,0,0,0,0,0,0,0
1219,1762970171724,0,0,0,0,0,0,0,0
1220,1762970171842,0,0,0,0,0,0,0,0
1221,1762970171974,0,0,0,0,0,0,0,0
1222,1762970172188,0,0,0,0,0,0,0,0
1223,1762970172274,0,0,0,0,0,0,0,0
1224,1762970172388,0,0,0,0,0,0,0,0
1225,1762970172508,0,0,0,0,0,0,0,0
1226,1762970172606,0,0,0,0,0,0,0,0
1227,1762970172740,0,0,0,0,0,0,0,0
1228,1762970172823,0,0,0,0,0,0,0,0
1229,1762970172991,0,0,0,0,0,0,0,0
1230,1762970173074,0,0,0,0,0,0,0,0
1231,1762970173171,0,0,0,0,0,0,0,0
1232,1762970173272,0,0,0,0,0,0,0,0
1233,1762970173372,0,0,0,0,0,0,0,0
1234,1762970173489,0,0,0,0,0,0,0,0
1235,1762970173622,0,0,0,0,0,0,0,0
1236,1762970173707,0,0,0,0,0,0,0,0
