index,date,BMS_MODE,BMS_ERROR,AIR_P,AIR_N,1,2,3,4
207,1762970116868,1,0,1,1,0,0,0,0
208,1762970117301,1,0,1,1,0,0,0,0
209,1762970117751,1,0,1,1,0,0,0,0
210,1762970118217,1,0,1,1,0,0,0,0
211,1762970119135,1,0,1,1,0,0,0,0
212,1762970119583,1,0,1,1,0,0,0,0
213,1762970120016,1,0,1,1,0,0,0,0
214,1762970120482,1,0,1,1,0,0,0,0
215,1762970121031,1,0,1,1,0,0,0,0
216,1762970121397,1,0,1,1,0,0,0,0
217,1762970121915,1,0,1,1,0,0,0,0
218,1762970122763,1,0,1,1,0,0,0,0
219,1762970123213,1,0,1,1,0,0,0,0
220,1762970123663,1,0,1,1,0,0,0,0
221,1762970124131,1,0,1,1,0,0,0,0
222,1762970124595,1,0,1,1,0,0,0,0
223,1762970125047,1,0,1,1,0,0,0,0
224,1762970125978,1,0,1,1,0,0,0,0
225,1762970126411,1,0,1,1,0,0,0,0
226,1762970126877,1,0,1,1,0,0,0,0
227,1762970127325,1,0,1,1,0,0,0,0
228,1762970128242,1,0,1,1,0,0,0,0
229,1762970128691,1,0,1,1,0,0,0,0
230,1762970129142,1,0,1,1,0,0,0,0
231,1762970130041,1,0,1,1,0,0,0,0
232,1762970131007,1,0,1,1,0,0,0,0
233,1762970131889,1,0,1,1,0,0,0,0
234,1762970132339,1,0,1,1,0,0,0,0
235,1762970132805,1,0,1,1,0,0,0,0
236,1762970133238,1,0,1,1,0,0,0,0
237,1762970133688,1,0,1,1,0,0,0,0
238,1762970134104,1,0,0,0,0,0,0,0
239,1762970134671,1,0,0,0,0,0,0,0
240,1762970135020,1,0,0,0,0,0,0,0
241,1762970135487,1,0,0,0,0,0,0,0
242,1762970136985,1,0,0,0,0,0,0,0
243,1762970137302,1,0,0,0,0,0,0,0
244,1762970137784,1,0,0,0,0,0,0,0
245,1762970138218,1,0,0,0,0,0,0,0
246,1762970138683,1,0,0,0,0,0,0,0
247,1762970139150,1,0,0,0,0,0,0,0
248,1762970139598,1,0,0,0,0,0,0,0
249,1762970140064,1,0,0,0,0,0,0,0
250,1762970140499,1,0,0,0,0,0,0,0
251,1762970140964,1,0,0,0,0,0,0,0
252,1762970141413,1,0,0,0,0,0,0,0
253,1762970142013,1,0,0,0,0,0,0,0
254,1762970142330,1,0,0,0,0,0,0,0
255,1762970142863,1,0,0,0,0,0,0,0
256,1762970143229,1,0,0,0,0,0,0,0
257,1762970143778,1,0,0,0,0,0,0,0
258,1762970144145,1,0,0,0,0,0,0,0
259,1762970144594,1,0,0,0,0,0,0,0
260,1762970149009,1,0,0,0,0,0,0,0
261,1762970149425,1,0,0,0,0,0,0,0
262,1762970149941,1,0,0,0,0,0,0,0
263,1762970150323,1,0,0,0,0,0,0,0
264,1762970150790,1,0,0,0,0,0,0,0
265,1762970151257,1,0,0,0,0,0,0,0
266,1762970151723,1,0,0,0,0,0,0,0
267,1762970152172,1,0,0,0,0,0,0,0
268,1762970152640,1,0,0,0,0,0,0,0
269,1762970153089,1,0,0,0,0,0,0,0
270,1762970153537,1,0,0,0,0,0,0,0
271,1762970153987,1,0,0,0,0,0,0,0
272,1762970154437,1,0,0,0,0,0,0,0
273,1762970154920,1,0,0,0,0,0,0,0
274,1762970155354,1,0,0,0,0,0,0,0
275,1762970155819,1,0,0,0,0,0,0,0
276,1762970156252,1,0,0,0,0,0,0,0
277,1762970156701,1,0,0,0,0,0,0,0
278,1762970157168,1,0,0,0,0,0,0,0
279,1762970158083,1,0,0,0,0,0,0,0
280,1762970159450,1,0,0,0,0,0,0,0
281,1762970159949,1,0,0,0,0,0,0,0
282,1762970160349,1,0,0,0,0,0,0,0
283,1762970160864,1,0,0,0,0,0,0,0
284,1762970161283,1,0,0,0,0,0,0,0
285,1762970161766,1,0,0,0,0,0,0,0
286,1762970162633,1,0,0,0,0,0,0,0
287,1762970163130,1,0,0,0,0,0,0,0
288,1762970163579,1,0,0,0,0,0,0,0
289,1762970164013,1,0,0,0,0,0,0,0
290,1762970164461,1,0,0,0,0,0,0,0
291,1762970164945,1,0,0,0,0,0,0,0
292,1762970165378,1,0,0,0,0,0,0,0
293,1762970165843,1,0,0,0,0,0,0,0
294,1762970166276,1,0,0,0,0,0,0,0
295,1762970166777,1,0,0,0,0,0,0,0
296,1762970167195,1,0,0,0,0,0,0,0
297,1762970167810,1,0,0,0,0,0,0,0
298,1762970168143,1,0,0,0,0,0,0,0
299,1762970168559,1,0,0,0,0,0,0,0
300,1762970169525,1,0,0,0,0,0,0,0
301,1762970170375,1,0,0,0,0,0,0,0
302,1762970170841,1,0,0,0,0,0,0,0
303,1762970171774,1,0,0,0,0,0,0,0
304,1762970172222,1,0,0,0,0,0,0,0
305,1762970172690,1,0,0,0,0,0,0,0
306,1762970173122,1,0,0,0,0,0,0,0
307,1762970173573,1,0,0,0,0,0,0,0
308,1762970174036,1,0,0,0,0,0,0,0
309,1762970174486,1,0,0,0,0,0,0,0
310,1762970174986,1,0,0,0,0,0,0,0
311,1762970175402,1,0,0,0,0,0,0,0
312,1762970175852,1,0,0,0,0,0,0,0
313,1762970176302,1,0,0,0,0,0,0,0
314,1762970176767,1,0,0,0,0,0,0,0
315,1762970177734,1,0,0,0,0,0,0,0
316,1762970178152,1,0,0,0,0,0,0,0
317,1762970192687,1,0,0,0,0,0,0,0
318,1762970193136,1,0,0,0,0,0,0,0
319,1762970193605,1,0,0,0,0,0,0,0
320,1762970194070,1,0,0,0,0,0,0,0
321,1762970194502,1,0,0,0,0,0,0,0
322,1762970195417,1,0,0,0,0,0,0,0
323,1762970195867,1,0,0,0,0,0,0,0
324,1762970196319,1,0,0,0,0,0,0,0
325,1762970197233,1,0,0,0,0,0,0,0
326,1762970199100,1,0,0,0,0,0,0,0
327,1762970204410,1,0,0,0,0,0,0,0
328,1762970204859,1,0,0,0,0,0,0,0
329,1762970205327,1,0,0,0,0,0,0,0
330,1762970205792,1,0,0,0,0,0,0,0
331,1762970206725,1,0,0,0,0,0,0,0
332,1762970207607,1,0,0,0,0,0,0,0
333,1762970208492,1,0,0,0,0,0,0,0
334,1762970208957,1,0,0,0,0,0,0,0
335,1762970209424,1,0,0,0,0,0,0,0
336,1762970209873,1,0,0,0,0,0,0,0
337,1762970210340,1,0,0,0,0,0,0,0
338,1762970210807,1,0,0,0,0,0,0,0
339,1762970211238,1,0,0,0,0,0,0,0
340,1762970211688,1,0,0,0,0,0,0,0
341,1762970214003,1,0,0,0,0,0,0,0
342,1762970214926,1,0,0,0,0,0,0,0
343,1762970215336,1,0,0,0,0,0,0,0
344,1762970216286,1,0,0,0,0,0,0,0
345,1762970217618,1,0,0,0,0,0,0,0
346,1762970218139,1,0,0,0,0,0,0,0
347,1762970218518,1,0,0,0,0,0,0,0
348,1762970219450,1,0,0,0,0,0,0,0
349,1762970223564,1,0,0,0,0,0,0,0
350,1762970224047,1,0,0,0,0,0,0,0
351,1762970224463,1,0,0,0,0,0,0,0
352,1762970224928,1,0,0,0,0,0,0,0
353,1762970225828,1,0,0,0,0,0,0,0
354,1762970227195,1,0,0,0,0,0,0,0
355,1762970227643,1,0,0,0,0,0,0,0
356,1762970228226,1,0,0,1,0,0,0,0
357,1762970228576,1,0,0,1,0,0,0,0
358,1762970229540,1,0,0,1,0,0,0,0
359,1762970229943,1,0,0,1,0,0,0,0
360,1762970230374,1,0,0,1,0,0,0,0
361,1762970230825,1,0,0,1,0,0,0,0
