index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
196,1762970017383,0,0,0,0,0,0,0,0
197,1762970017500,0,0,0,0,0,0,0,0
198,1762970017901,0,0,0,3.32,0,0,0,0
199,1762970017982,0,0,0,0,0,0,0,0
200,1762970018282,0,0,0,0,0,0,0,0
201,1762970018350,0,0,0,0,0,0,0,0
202,1762970018467,0,0,0,0,0,0,0,0
203,1762970018567,0,0,0,0,0,0,0,0
204,1762970018700,0,0,0,0,0,0,0,0
205,1762970018800,0,0,0,0,0,0,0,0
206,1762970019016,0,0,0,0,0,0,0,0
207,1762970019199,0,0,0,0,0,0,0,0
208,1762970019683,0,0,0,0,0,0,0,0
209,1762970019833,0,0,0,0,0,0,0,0
210,1762970020033,0,0,0,0,0,0,0,0
211,1762970020150,0,0,0,0,0,0,0,0
212,1762970020348,0,0,0,0,0,0,0,0
213,1762970020448,0,0,0,0,0,0,0,0
214,1762970020597,0,0,0,0,0,0,0,0
215,1762970020664,0,0,0,0,0,0,0,0
216,1762970020948,0,0,0,0,0,0,0,0
217,1762970021148,0,0,0,0,0,0,0,0
218,1762970021332,0,0,0,0,0,0,0,0
219,1762970021432,0,0,0,3.27,0,0,0,0
220,1762970021664,0,0,0,0,0,0,0,0
221,1762970021780,0,0,0,0,0,0,0,0
222,1762970021932,0,0,0,0,0,0,0,0
223,1762970022099,0,0,0,0,0,0,0,0
224,1762970022181,0,0,0,0,0,0,0,0
225,1762970022347,0,0,0,0,0,0,0,0
226,1762970024962,0,0,0,0,0,0,0,0
227,1762970025063,0,0,0,0,0,0,0,0
228,1762970025244,0,0,0,0,0,0,0,0
229,1762970025345,0,0,0,0,0,0,0,0
230,1762970025644,0,0,0,0,0,0,0,0
231,1762970025777,0,0,0,0,0,0,0,0
232,1762970025994,0,0,0,0,0,0,0,0
233,1762970026178,0,0,0,0,0,0,0,0
234,1762970026244,0,0,0,0,0,0,0,0
235,1762970026394,0,0,0,0,0,0,0,0
236,1762970026510,0,0,0,0,0,0,0,0
237,1762970026610,0,0,0,0,0,0,0,0
238,1762970026727,0,0,0,1,0,0,0,0
239,1762970026844,0,0,0,0,0,0,0,0
240,1762970026944,0,0,0,0,0,0,0,0
241,1762970027160,0,0,0,0,0,0,0,0
242,1762970027393,0,0,0,3.26,0,0,0,0
243,1762970027592,0,0,0,0,0,0,0,0
244,1762970027726,0,0,0,0,0,0,0,0
245,1762970027976,0,0,0,0,0,0,0,0
246,1762970028227,0,0,0,0,0,0,0,0
247,1762970028509,0,0,0,0,0,0,0,0
248,1762970028691,0,0,0,0,0,0,0,0
249,1762970028909,0,0,0,0,0,0,0,0
250,1762970029059,0,0,0,0,0,0,0,0
251,1762970029274,0,0,0,0,0,0,0,0
252,1762970029357,0,0,0,0,0,0,0,0
253,1762970029474,0,0,0,0,0,0,0,0
254,1762970029575,0,0,0,0,0,0,0,0
255,1762970029692,0,0,0,0,0,0,0,0
256,1762970029824,0,0,0,0,0,0,0,0
257,1762970029941,0,0,0,0,0,0,0,0
258,1762970030058,0,0,0,0,0,0,0,0
259,1762970030241,0,0,0,0,0,0,0,0
260,1762970030357,0,0,0,0,0,0,0,0
261,1762970030457,0,0,0,0,0,0,0,0
262,1762970031206,0,0,0,0,0,0,0,0
263,1762970031340,0,0,0,0,0,0,0,0
264,1762970031540,0,0,0,0,0,0,0,0
265,1762970031706,0,0,0,0,0,0,0,0
266,1762970031923,0,0,0,0,0,0,0,0
267,1762970032023,0,0,0,0,0,0,0,0
268,1762970032139,0,0,0,0,0,0,0,0
269,1762970032389,0,0,0,0,0,0,0,0
270,1762970032439,0,0,0,0,0,0,0,0
271,1762970032556,0,0,0,0,0,0,0,0
272,1762970032655,0,0,0,0,0,0,0,0
273,1762970032789,0,0,0,0,0,0,0,0
