index,date,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,1,2,3,4,5,6
132,1764700999759,0,0,0,0,0,0,0,0
133,1764701000009,3,0,0,0,0,0,0,0
134,1764701000642,0,0,0,0,0,0,0,0
135,1764701001226,8,0,0,0,0,0,0,0
136,1764701001793,185,6,0,0,0,0,0,0
137,1764701002142,158,5,0,0,0,0,0,0
138,1764701002408,62,3,0,0,0,0,0,0
139,1764701002992,27,1,0,0,0,0,0,0
140,1764701003575,26,1,0,0,0,0,0,0
141,1764701003891,18,1,0,0,0,0,0,0
142,1764701004158,44,3,0,0,0,0,0,0
143,1764701004775,31,2,0,0,0,0,0,0
144,1764701005342,48,3,0,0,0,0,0,0
145,1764701005942,47,3,0,0,0,0,0,0
146,1764701006592,35,2,0,0,0,0,0,0
147,1764701006858,0,0,0,0,0,0,0,0
148,1764701007177,0,0,0,0,0,0,0,0
149,1764701007444,0,0,0,0,0,0,0,0
150,1764701007774,0,0,0,0,0,0,0,0
151,1764701008042,0,0,0,0,0,0,0,0
152,1764701008375,0,0,0,0,0,0,0,0
153,1764701008641,0,0,0,0,0,0,0,0
154,1764701357471,11,0,0,0,0,0,0,0
155,1764701357821,2,0,0,0,0,0,0,0
156,1764701358107,4,0,0,0,0,0,0,0
157,1764701358424,13,0,0,0,0,0,0,0
158,1764701358721,0,0,0,0,0,0,0,0
159,1764701359054,-4,0,0,0,0,0,0,0
160,1764701359325,18,1,0,0,0,0,0,0
161,1764701359653,18,1,0,0,0,0,0,0
162,1764701359920,0,0,0,0,0,0,0,0
163,1764701360554,18,0,0,0,0,0,0,0
164,1764701361137,6,0,0,0,0,0,0,0
165,1764701361726,6,0,0,0,0,0,0,0
166,1764701362337,0,0,0,0,0,0,0,0
167,1764701362605,0,0,0,0,0,0,0,0
168,1764701362920,0,0,0,0,0,0,0,0
169,1764701363522,0,0,0,0,0,0,0,0
170,1764701364104,0,0,0,0,0,0,0,0
171,1764701364703,0,0,0,0,0,0,0,0
172,1764701364971,0,0,0,0,0,0,0,0
173,1764701365304,0,0,0,0,0,0,0,0
174,1764701365558,0,0,0,0,0,0,0,0
175,1764701365887,0,0,0,0,0,0,0,0
176,1764701366519,0,0,0,0,0,0,0,0
177,1764701366787,0,0,0,0,0,0,0,0
178,1764701367087,0,0,0,0,0,0,0,0
179,1764701367354,0,0,0,0,0,0,0,0
180,1764701367687,0,0,0,0,0,0,0,0
181,1764701367940,0,0,0,0,0,0,0,0
182,1764701368303,0,0,0,0,0,0,0,0
183,1764701368537,0,0,0,0,0,0,0,0
184,1764701368870,0,0,0,0,0,0,0,0
185,1764701369137,-2,0,0,0,0,0,0,0
186,1764701369471,-2,0,0,0,0,0,0,0
187,1764701369721,-3,0,0,0,0,0,0,0
188,1764701370037,-44,0,0,0,0,0,0,0
189,1764701370287,278,3,0,0,0,0,0,0
190,1764701370670,328,3,0,0,0,0,0,0
191,1764701370921,291,7,0,0,0,0,0,0
192,1764701371237,279,8,0,0,0,0,0,0
193,1764701371520,93,3,0,0,0,0,0,0
194,1764701371838,54,2,0,0,0,0,0,0
195,1764701372087,37,2,0,0,0,0,0,0
196,1764701372471,27,1,0,0,0,0,0,0
197,1764701372721,-3,0,0,0,0,0,0,0
198,1764701373037,-6,0,0,0,0,0,0,0
199,1764701373304,14,0,0,0,0,0,0,0
200,1764701373637,11,0,0,0,0,0,0,0
201,1764701373887,-11,0,0,0,0,0,0,0
202,1764701374204,4,0,0,0,0,0,0,0
203,1764701374487,11,1,0,0,0,0,0,0
204,1764701374854,10,0,0,0,0,0,0,0
205,1764701375104,11,0,0,0,0,0,0,0
206,1764701375438,19,1,0,0,0,0,0,0
207,1764701375704,9,0,0,0,0,0,0,0
208,1764701376004,7,0,0,0,0,0,0,0
209,1764701376270,0,0,0,0,0,0,0,0
210,1764701376655,0,0,0,0,0,0,0,0
211,1764701376904,0,0,0,0,0,0,0,0
212,1764701377220,0,0,0,0,0,0,0,0
213,1764701377471,0,0,0,0,0,0,0,0
214,1764701377804,0,0,0,0,0,0,0,0
215,1764701378054,0,0,0,0,0,0,0,0
216,1764701378404,0,0,0,0,0,0,0,0
217,1764701378687,0,0,0,0,0,0,0,0
218,1764701379004,0,0,0,0,0,0,0,0
219,1764701379254,0,0,0,0,0,0,0,0
220,1764701379588,0,0,0,0,0,0,0,0
221,1764701379853,0,0,0,0,0,0,0,0
222,1764701380171,0,0,0,0,0,0,0,0
223,1764701380437,0,0,0,0,0,0,0,0
224,1764701381054,0,0,0,0,0,0,0,0
225,1764701381371,0,0,0,0,0,0,0,0
