index,date,1,2,3,4,5,6,7,8
3040,1762968464629,0,0,0,0,0,0,0,0
3041,1762968467910,0,0,0,0,0,0,0,0
3042,1762968468059,0,0,0,0,0,0,0,0
3043,1762968468242,0,0,0,0,0,0,0,0
3044,1762968468343,0,0,0,0,0,0,0,0
3045,1762968468458,0,0,0,0,0,0,0,0
3046,1762968468576,0,0,0,0,0,0,0,0
3047,1762968468726,0,0,0,0,0,0,0,0
3048,1762968468825,0,0,0,0,0,0,0,0
3049,1762968469024,0,0,0,0,0,0,0,0
3050,1762968469108,0,0,0,0,0,0,0,0
3051,1762968469224,0,0,0,0,0,0,0,0
3052,1762968469342,0,0,0,0,0,0,0,0
3053,1762968469441,0,0,0,0,0,0,0,0
3054,1762968469558,0,0,0,0,0,0,0,0
3055,1762968469674,0,0,0,0,0,0,0,0
3056,1762968469775,0,0,0,0,0,0,0,0
3057,1762968469891,0,0,0,0,0,0,0,0
3058,1762968470008,0,0,0,0,0,0,0,0
3059,1762968470108,0,0,0,0,0,0,0,0
3060,1762968470224,0,0,0,0,0,0,0,0
3061,1762968470325,0,0,0,0,0,0,0,0
3062,1762968470441,0,0,0,0,0,0,0,0
3063,1762968470540,0,0,0,0,0,0,0,0
3064,1762968470791,0,0,0,0,0,0,0,0
3065,1762968470874,0,0,0,0,0,0,0,0
3066,1762968471123,0,0,0,0,0,0,0,0
3067,1762968471206,0,0,0,0,0,0,0,0
3068,1762968471323,0,0,0,0,0,0,0,0
3069,1762968471424,0,0,0,0,0,0,0,0
3070,1762968471541,0,0,0,0,0,0,0,0
3071,1762968471657,0,0,0,0,0,0,0,0
3072,1762968471772,0,0,0,0,0,0,0,0
3073,1762968471873,0,0,0,0,0,0,0,0
3074,1762968471973,0,0,0,0,0,0,0,0
3075,1762968472089,0,0,0,0,0,0,0,0
3076,1762968472189,0,0,0,0,0,0,0,0
3077,1762968472305,0,0,0,0,0,0,0,0
3078,1762968472422,0,0,0,0,0,0,0,0
3079,1762968472524,0,0,0,0,0,0,0,0
3080,1762968472639,0,0,0,0,0,0,0,0
3081,1762968472755,0,0,0,0,0,0,0,0
3082,1762968472872,0,0,0,0,0,0,0,0
3083,1762968472972,0,0,0,0,0,0,0,0
3084,1762968473073,0,0,0,0,0,0,0,0
3085,1762968473189,0,0,0,0,0,0,0,0
3086,1762968473304,0,0,0,0,0,0,0,0
3087,1762968473405,0,0,0,0,0,0,0,0
3088,1762968473522,0,0,0,0,0,0,0,0
3089,1762968473656,0,0,0,0,0,0,0,0
3090,1762968473738,0,0,0,0,0,0,0,0
3091,1762968473854,0,0,0,0,0,0,0,0
3092,1762968473953,0,0,0,0,0,0,0,0
3093,1762968474087,0,0,0,0,0,0,0,0
3094,1762968474170,0,0,0,0,0,0,0,0
3095,1762968474320,0,0,0,0,0,0,0,0
3096,1762968474404,0,0,0,0,0,0,0,0
3097,1762968474503,0,0,0,0,0,0,0,0
3098,1762968474637,0,0,0,0,0,0,0,0
3099,1762968474737,0,0,0,0,0,0,0,0
3100,1762968474854,0,0,0,0,0,0,0,0
3101,1762968474954,0,0,0,0,0,0,0,0
3102,1762968475070,0,0,0,0,0,0,0,0
3103,1762968475169,0,0,0,0,0,0,0,0
3104,1762968475270,0,0,0,0,0,0,0,0
3105,1762968475403,0,0,0,0,0,0,0,0
3106,1762968475503,0,0,0,0,0,0,0,0
3107,1762968475619,0,0,0,0,0,0,0,0
3108,1762968475720,0,0,0,0,0,0,0,0
3109,1762968475835,0,0,0,0,0,0,0,0
3110,1762968475953,0,0,0,0,0,0,0,0
3111,1762968476052,0,0,0,0,0,0,0,0
3112,1762968476169,0,0,0,0,0,0,0,0
3113,1762968476285,0,0,0,0,0,0,0,0
3114,1762968476385,0,0,0,0,0,0,0,0
3115,1762968476502,0,0,0,0,0,0,0,0
3116,1762968476602,0,0,0,0,0,0,0,0
3117,1762968476719,0,0,0,0,0,0,0,0
3118,1762968476818,0,0,0,0,0,0,0,0
3119,1762968476936,0,0,0,0,0,0,0,0
3120,1762968477069,0,0,0,0,0,0,0,0
3121,1762968477152,0,0,0,0,0,0,0,0
3122,1762968477251,0,0,0,0,0,0,0,0
3123,1762968477401,0,0,0,0,0,0,0,0
3124,1762968477484,0,0,0,0,0,0,0,0
3125,1762968477584,0,0,0,0,0,0,0,0
3126,1762968477701,0,0,0,0,0,0,0,0
3127,1762968477817,0,0,0,0,0,0,0,0
3128,1762968477919,0,0,0,0,0,0,0,0
3129,1762968478034,0,0,0,0,0,0,0,0
3130,1762968478150,0,0,0,0,0,0,0,0
3131,1762968478252,0,0,0,0,0,0,0,0
3132,1762968478368,0,0,0,0,0,0,0,0
3133,1762968478484,0,0,0,0,0,0,0,0
3134,1762968478583,0,0,0,0,0,0,0,0
3135,1762968478683,0,0,0,0,0,0,0,0
3136,1762968478801,0,0,0,0,0,0,0,0
3137,1762968479033,0,0,0,0,0,0,0,0
3138,1762968479134,0,0,0,0,0,0,0,0
3139,1762968479249,0,0,0,0,0,0,0,0
3140,1762968479350,0,0,0,0,0,0,0,0
3141,1762968479465,0,0,0,0,0,0,0,0
3142,1762968479567,0,0,0,0,0,0,0,0
3143,1762968479700,0,0,0,0,0,0,0,0
3144,1762968479782,0,0,0,0,0,0,0,0
3145,1762968480082,0,0,0,0,0,0,0,0
3146,1762968480181,0,0,0,0,0,0,0,0
3147,1762968480232,0,0,0,0,0,0,0,0
3148,1762968480350,0,0,0,0,0,0,0,0
3149,1762968480449,0,0,0,0,0,0,0,0
3150,1762968480584,0,0,0,0,0,0,0,0
3151,1762968480751,0,0,0,0,0,0,0,0
3152,1762968480852,0,0,0,0,0,0,0,0
3153,1762968480932,0,0,0,0,0,0,0,0
3154,1762968481033,0,0,0,0,0,0,0,0
3155,1762968481117,0,0,0,0,0,0,0,0
3156,1762968481216,0,0,0,0,0,0,0,0
3157,1762968481332,0,0,0,0,0,0,0,0
3158,1762968481449,0,0,0,0,0,0,0,0
3159,1762968481549,0,0,0,0,0,0,0,0
3160,1762968481665,0,0,0,0,0,0,0,0
3161,1762968481765,0,0,0,0,0,0,0,0
3162,1762968481881,0,0,0,0,0,0,0,0
3163,1762968481998,0,0,0,0,0,0,0,0
3164,1762968482115,0,0,0,0,0,0,0,0
3165,1762968482214,0,0,0,0,0,0,0,0
3166,1762968482315,0,0,0,0,0,0,0,0
3167,1762968482432,0,0,0,0,0,0,0,0
3168,1762968482547,0,0,0,0,0,0,0,0
3169,1762968482664,0,0,0,0,0,0,0,0
3170,1762968482765,0,0,0,0,0,0,0,0
3171,1762968482865,0,0,0,0,0,0,0,0
3172,1762968482997,0,0,0,0,0,0,0,0
3173,1762968483081,0,0,0,0,0,0,0,0
