index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
173,1762968165495,3.32,3.25,79.2,0,0,0,0,0
174,1762968165945,3.32,3.18,79.1,0,0,0,0,0
175,1762968166761,3.32,3.25,79.2,0,0,0,0,0
176,1762968167211,3.32,3.18,79.1,0,0,0,0,0
177,1762968168025,3.32,3.25,79.2,0,0,0,0,0
178,1762968168475,3.32,3.17,79.1,0,0,0,0,0
179,1762968169258,3.32,3.25,79.2,0,0,0,0,0
180,1762968169791,3.32,3.17,79.1,0,0,0,0,0
181,1762968170558,3.32,3.25,79.2,0,0,0,0,0
182,1762968170974,3.32,3.17,79.1,0,0,0,0,0
183,1762968172206,3.32,3.17,79.1,0,0,0,0,0
184,1762968173022,3.32,3.25,79.2,0,0,0,0,0
185,1762968173472,3.32,3.17,79.1,0,0,0,0,0
186,1762968175535,3.32,3.25,79.2,0,0,0,0,0
187,1762968175985,3.32,3.17,79.1,0,0,0,0,0
188,1762968176784,3.32,3.25,79.2,0,0,0,0,0
189,1762968177234,3.32,3.17,79.1,0,0,0,0,0
190,1762968178035,3.32,3.25,79.2,0,0,0,0,0
191,1762968178483,3.32,3.18,79.1,0,0,0,0,0
192,1762968179283,3.32,3.25,79.2,0,0,0,0,0
193,1762968179800,3.32,3.17,79.1,0,0,0,0,0
194,1762968181797,3.32,3.25,79.2,0,0,0,0,0
195,1762968182248,3.32,3.17,79.1,0,0,0,0,0
196,1762968183032,3.32,3.25,79.2,0,0,0,0,0
197,1762968183512,3.32,3.17,79.1,0,0,0,0,0
198,1762968184297,3.32,3.25,79.2,0,0,0,0,0
199,1762968185578,3.32,3.25,79.2,0,0,0,0,0
200,1762968189311,3.32,3.25,79.2,0,0,0,0,0
201,1762968189792,3.32,3.17,79.1,0,0,0,0,0
202,1762968190573,3.32,3.25,79.2,0,0,0,0,0
203,1762968191840,3.32,3.25,79.2,0,0,0,0,0
204,1762968192272,3.32,3.17,79.1,0,0,0,0,0
205,1762968194322,3.32,3.25,79.2,0,0,0,0,0
206,1762968194787,3.32,3.17,79.1,0,0,0,0,0
207,1762968195586,3.32,3.25,79.2,0,0,0,0,0
208,1762968196053,3.32,3.18,79.1,0,0,0,0,0
209,1762968196835,3.32,3.25,79.2,0,0,0,0,0
210,1762968197285,3.32,3.17,79.1,0,0,0,0,0
211,1762968198101,3.32,3.25,79.2,0,0,0,0,0
212,1762968198534,3.32,3.17,79.1,0,0,0,0,0
213,1762968199350,3.32,3.25,79.2,0,0,0,0,0
214,1762968201048,3.32,3.17,79.1,0,0,0,0,0
215,1762968201847,3.32,3.25,79.2,0,0,0,0,0
216,1762968202315,3.32,3.17,79.1,0,0,0,0,0
217,1762968203547,3.32,3.17,79.1,0,0,0,0,0
218,1762968204345,3.32,3.25,79.2,0,0,0,0,0
219,1762968204895,3.32,3.17,79.1,0,0,0,0,0
220,1762968205628,3.32,3.25,79.2,0,0,0,0,0
221,1762968206095,3.32,3.17,79.1,0,0,0,0,0
222,1762968206911,3.32,3.25,79.2,0,0,0,0,0
223,1762968207309,3.32,3.17,79.1,0,0,0,0,0
224,1762968208592,3.32,3.18,79.1,0,0,0,0,0
225,1762968209374,3.32,3.25,79.2,0,0,0,0,0
226,1762968213571,3.32,3.17,79.1,0,0,0,0,0
227,1762968214388,3.32,3.25,79.2,0,0,0,0,0
228,1762968214853,3.32,3.17,79.1,0,0,0,0,0
229,1762968215638,3.32,3.25,79.2,0,0,0,0,0
230,1762968216102,3.32,3.17,79.1,0,0,0,0,0
231,1762968217334,3.32,3.17,79.1,0,0,0,0,0
232,1762968218151,3.32,3.25,79.2,0,0,0,0,0
233,1762968218601,3.32,3.17,79.1,0,0,0,0,0
234,1762968219399,3.32,3.25,79.2,0,0,0,0,0
235,1762968219949,3.32,3.17,79.1,0,0,0,0,0
236,1762968220699,3.32,3.25,79.2,0,0,0,0,0
237,1762968221181,3.32,3.17,79.1,0,0,0,0,0
238,1762968222464,3.32,3.15,79.1,0,0,0,0,0
239,1762968223296,3.32,3.25,79.2,0,0,0,0,0
240,1762968223829,3.32,3.17,79.1,0,0,0,0,0
241,1762968225661,3.32,3.25,79.2,0,0,0,0,0
242,1762968226127,3.32,3.17,79.1,0,0,0,0,0
243,1762968226976,3.32,3.25,79.2,0,0,0,0,0
244,1762968228175,3.32,3.25,79.2,0,0,0,0,0
245,1762968228642,3.32,3.17,79.1,0,0,0,0,0
246,1762968229508,3.32,3.25,79.2,0,0,0,0,0
247,1762968230008,3.32,3.17,79.1,0,0,0,0,0
248,1762968230891,3.32,3.25,79.2,0,0,0,0,0
249,1762968231223,3.32,3.17,79.1,0,0,0,0,0
250,1762968232090,3.32,3.25,79.2,0,0,0,0,0
251,1762968232472,3.32,3.17,79.1,0,0,0,0,0
252,1762968233189,3.32,3.25,79.2,0,0,0,0,0
253,1762968233655,3.32,3.17,79.1,0,0,0,0,0
254,1762968234454,3.32,3.25,79.2,0,0,0,0,0
255,1762968234937,3.32,3.17,79.1,0,0,0,0,0
256,1762968236152,3.32,3.17,79.1,0,0,0,0,0
257,1762968237017,3.32,3.25,79.2,0,0,0,0,0
258,1762968237402,3.32,3.17,79.1,0,0,0,0,0
259,1762968238635,3.32,3.18,79.1,0,0,0,0,0
260,1762968239450,3.32,3.25,79.2,0,0,0,0,0
261,1762968240732,3.32,3.25,79.2,0,0,0,0,0
262,1762968241165,3.32,3.17,79.1,0,0,0,0,0
263,1762968241947,3.32,3.25,79.2,0,0,0,0,0
264,1762968242414,3.32,3.17,79.1,0,0,0,0,0
265,1762968243213,3.32,3.25,79.2,0,0,0,0,0
266,1762968243679,3.32,3.17,79.1,0,0,0,0,0
267,1762968244495,3.32,3.25,79.2,0,0,0,0,0
268,1762968244912,3.32,3.18,79.1,0,0,0,0,0
269,1762968245744,3.32,3.25,79.2,0,0,0,0,0
270,1762968246161,3.32,3.17,79.1,0,0,0,0,0
271,1762968247443,3.32,3.18,79.1,0,0,0,0,0
272,1762968248209,3.32,3.25,79.2,0,0,0,0,0
273,1762968248675,3.32,3.17,79.1,0,0,0,0,0
274,1762968249475,3.32,3.25,79.2,0,0,0,0,0
275,1762968249958,3.32,3.17,79.1,0,0,0,0,0
