index,date,LEFT_MOTOR_CURRENT
758,1782590493877,0
759,1782590495443,1261
760,1782590496526,1247
761,1782590498669,1197
762,1782590498707,1324
763,1782590499489,0
764,1782590499740,10
765,1782590500689,716
766,1782590502220,1279
767,1782590503270,1336
768,1782590505252,1258
769,1782590505834,2449
770,1782590505834,1157
771,1782590506883,1363
772,1782590507500,8
773,1782590508166,3083
774,1782590508632,530
775,1782590510181,2
776,1782590512262,1397
777,1782590513395,1397
778,1782590513961,1397
779,1782590514277,1397
780,1782590514994,1397
781,1782590515709,1397
782,1782590516958,1397
783,1782590517658,1397
784,1782590518124,1397
785,1782590519307,1397
786,1782590520772,1397
787,1782590521656,1397
788,1782590522071,1397
789,1782590522739,1397
790,1782590524403,1397
791,1782590525102,1397
792,1782590525901,1397
793,1782590526051,1397
794,1782590526417,1397
795,1782590527099,1397
796,1782590527816,1397
797,1782590529032,1397
798,1782590530213,1397
799,1782590531729,1397
800,1782590531829,1397
801,1782590532479,1397
802,1782590534143,1397
803,1782590536725,1397
804,1782590537358,1397
805,1782590537774,1397
806,1782590538040,1397
807,1782590538240,1397
808,1782590538656,1397
809,1782590539372,1397
810,1782590540738,1397
811,1782590541321,1397
812,1782590542104,1397
813,1782590543786,1397
814,1782590544068,1397
815,1782590544819,1397
816,1782590545251,1397
817,1782590545401,1397
818,1782590546500,1397
819,1782590548566,2048
820,1782590548615,1397
821,1782590549631,1397
822,1782590550130,1397
823,1782590550647,1397
824,1782590551279,1397
825,1782590552012,1397
826,1782590552462,1397
827,1782590552645,1397
828,1782590552995,1397
829,1782590553778,1397
830,1782590554343,1397
831,1782590556426,1397
832,1782590557224,1397
833,1782590557391,1397
834,1782590557724,1397
835,1782590558406,1397
836,1782590558856,1397
837,1782590559572,1397
838,1782590559872,1397
839,1782590560072,1397
840,1782590560721,1397
841,1782590562286,1397
842,1782590562370,1397
843,1782590563802,1397
844,1782590564805,1397
845,1782590564918,1397
846,1782590565634,1397
847,1782590566399,0
848,1782590567166,0
