index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
1425,1782591200223,0,0,0
1426,1782591201172,0,0,0
1427,1782591201389,0,0,0
1428,1782591203752,0,0,0
1429,1782591208698,0,0,0
1430,1782591209048,0,0,0
1431,1782591214810,0,0,0
1432,1782591215493,0,0,0
1433,1782591216275,0,0,0
1434,1782591216642,0,0,0
1435,1782591217639,0,0,0
1436,1782591218256,0,0,0
1437,1782591218473,0,0,0
1438,1782591218823,0,0,0
1439,1782591220838,0,0,0
1440,1782591222286,0,0,0
1441,1782591222670,0,0,0
1442,1782591222986,0,0,0
1443,1782591223452,0,0,0
1444,1782591223769,0,0,0
1445,1782591224218,0,0,0
1446,1782591224468,0,0,0
1447,1782591225567,0,0,0
1448,1782591225917,0,0,0
1449,1782591226250,0,0,0
1450,1782591226849,0,0,0
1451,1782591228665,0,0,0
1452,1782591230031,0,0,0
1453,1782591231462,0,0,0
1454,1782591231796,0,0,0
1455,1782591232095,0,0,0
1456,1782591232511,0,0,0
1457,1782591232811,0,0,0
1458,1782591233227,0,0,0
1459,1782591237940,0,0,0
1460,1782591238156,0,0,0
1461,1782591238556,0,0,0
1462,1782591240305,0,0,0
1463,1782591241970,0,0,0
1464,1782591242286,0,0,0
1465,1782591243169,0,0,0
1466,1782591243802,0,0,0
1467,1782591244135,0,0,0
1468,1782591245067,0,0,0
1469,1782591245351,0,0,0
1470,1782591245650,0,0,0
1471,1782591249164,0,0,0
1472,1782591249597,0,0,0
1473,1782591249880,0,0,0
1474,1782591257092,0,0,0
1475,1782591257840,0,0,0
1476,1782591258556,0,0,0
1477,1782591260005,0,0,0
1478,1782591261754,0,0,0
1479,1782591262121,0,0,0
1480,1782591262736,0,0,0
1481,1782591262953,0,0,0
1482,1782591263237,0,0,0
1483,1782591271478,0,0,2
1484,1782591271812,0,0,2
1485,1782591272128,0,0,2
1486,1782591272363,0,0,2
1487,1782591273228,0,0,2
1488,1782591273628,0,0,2
1489,1782591273928,0,0,2
1490,1782591274261,0,0,2
1491,1782591274542,0,0,2
1492,1782591274877,0,0,2
1493,1782591274960,0,0,2
1494,1782591275359,0,0,2
1495,1782591275725,0,0,2
1496,1782591276025,0,0,2
1497,1782591276308,0,0,2
1498,1782591282636,0,0,2
1499,1782591282936,0,0,2
1500,1782591283219,0,0,2
1501,1782591283502,0,0,2
1502,1782591283885,0,0,2
1503,1782591284251,0,0,2
1504,1782591284451,0,0,2
1505,1782591284601,0,0,2
1506,1782591285200,0,0,2
1507,1782591285550,0,0,2
1508,1782591285833,0,0,2
1509,1782591286133,0,0,2
1510,1782591286483,0,0,2
1511,1782591286815,0,0,2
1512,1782591287015,0,0,2
1513,1782591287232,0,0,2
1514,1782591287632,0,0,2
1515,1782591290696,0,0,2
1516,1782591291679,0,0,2
1517,1782591292578,0,0,2
1518,1782591293593,0,0,2
1519,1782591294543,0,0,2
1520,1782591295242,0,0,2
1521,1782591296308,0,0,2
1522,1782591296858,0,0,2
1523,1782591297890,0,0,2
1524,1782591298656,0,0,2
1525,1782591299772,0,0,2
1526,1782591300187,0,0,2
1527,1782591301685,0,0,2
1528,1782591301686,0,0,2
1529,1782591301720,0,0,2
1530,1782591302786,0,0,2
1531,1782591303852,0,0,2
1532,1782591304317,0,0,2
1533,1782591304784,0,0,2
1534,1782591305766,0,0,2
1535,1782591306566,0,0,2
1536,1782591307581,0,0,2
1537,1782591307981,0,0,2
1538,1782591309447,0,0,2
1539,1782591309879,0,0,2
1540,1782591310895,0,0,2
1541,1782591311279,0,0,2
1542,1782591311411,0,0,2
1543,1782591312694,0,0,2
1544,1782591313460,0,0,2
1545,1782591313976,0,0,2
1546,1782591315441,0,0,2
1547,1782591316924,0,0,2
1548,1782591317989,0,0,2
1549,1782591318639,0,0,2
1550,1782591318955,0,0,2
1551,1782591319538,0,0,2
1552,1782591321020,0,0,2
1553,1782591321286,0,0,2
1554,1782591323685,0,0,2
1555,1782591323801,0,0,2
1556,1782591324884,0,0,2
1557,1782591326382,0,0,2
1558,1782591326815,0,0,2
1559,1782591327847,0,0,2
1560,1782591328364,0,0,2
1561,1782591329463,0,0,2
1562,1782591330446,0,0,2
1563,1782591330579,0,0,2
1564,1782591330895,0,0,2
1565,1782591331295,0,0,2
1566,1782591332195,0,0,2
1567,1782591332644,0,0,2
1568,1782591333160,0,0,2
1569,1782591333527,0,0,2
1570,1782591335191,0,0,2
1571,1782591336125,0,0,2
1572,1782591336774,0,0,2
1573,1782591337473,0,0,2
1574,1782591337790,0,0,2
1575,1782591338456,0,0,2
1576,1782591339189,0,0,2
1577,1782591339854,0,0,2
1578,1782591340454,0,0,2
1579,1782591341519,0,0,2
1580,1782591342236,0,0,2
1581,1782591342901,0,0,2
1582,1782591343002,0,0,2
1583,1782591343785,0,0,2
1584,1782591344601,0,0,2
1585,1782591345716,0,0,2
1586,1782591345733,0,0,2
1587,1782591346415,0,0,2
1588,1782591347282,0,0,2
1589,1782591347681,0,0,2
1590,1782591348331,0,0,2
1591,1782591348547,0,0,2
1592,1782591348864,0,0,2
1593,1782591349230,0,0,2
1594,1782591349863,0,0,2
1595,1782591350329,0,0,2
1596,1782591352145,0,0,2
1597,1782591352927,0,0,2
1598,1782591355141,0,0,2
1599,1782591356704,0,0,2
1600,1782591360703,0,0,2
1601,1782591360903,0,0,2
1602,1782591361153,0,0,2
1603,1782591362152,0,0,2
1604,1782591362585,0,0,2
1605,1782591364117,0,0,2
1606,1782591364417,0,0,2
1607,1782591365083,0,0,2
1608,1782591365499,0,0,2
1609,1782591365799,0,0,2
1610,1782591365965,0,0,2
1611,1782591367728,0,0,2
1612,1782591368031,0,0,2
1613,1782591369030,0,0,2
1614,1782591369579,0,0,2
1615,1782591370029,0,0,2
1616,1782591371578,0,0,2
1617,1782591372227,0,0,2
1618,1782591372560,0,0,2
