index,date,SPEED,STEERING_WHEEL,THROTTLE,BRAKE
84,1780263873547,0,0,0,0
85,1780263874863,0,0,0,0
86,1780263876180,0,0,0,0
87,1780263876998,0,0,0,0
88,1780263878483,0,0,0,0
89,1780263882196,0,0,0,0
90,1780263882732,0,0,0,0
91,1780263883064,0,0,0,0
92,1780263883446,0,0,0,0
93,1780263885097,0,0,0,0
94,1780263886329,0,0,0,0
95,1780263887479,0,0,0,0
96,1780263889211,0,0,32875,32830
97,1780263889711,0,0,0,0
98,1780263890696,0,0,0,0
99,1780263891345,0,0,0,0
100,1780263891480,0,0,0,0
101,1780263892046,0,0,0,0
102,1780263893896,0,0,0,0
103,1780263894995,0,0,0,0
104,1780263898461,0,0,0,0
105,1780263901711,0,0,0,0
106,1780263902095,0,0,0,0
107,1780263902912,0,0,0,0
108,1780263904361,0,0,0,0
109,1780263904529,0,0,0,0
110,1780263905394,0,0,0,0
111,1780263905561,0,0,0,0
112,1780263906627,0,0,0,0
113,1780263907662,0,0,0,0
114,1780263909095,0,0,0,0
115,1780263909479,0,0,0,0
116,1780263912394,0,0,0,0
117,1780263914210,0,0,0,0
118,1780263915377,0,0,0,0
119,1780263916360,0,0,0,0
120,1780263918711,0,0,0,0
121,1780263920560,0,0,0,0
122,1780263920776,0,0,0,0
123,1780263921676,0,0,0,0
124,1780263921843,0,0,0,0
125,1780263922127,0,0,0,0
126,1780263923126,0,0,0,0
127,1780263924312,0,0,0,0
128,1780263925643,0,0,0,0
129,1780263926710,0,0,0,0
130,1780263927377,0,0,0,0
131,1780263928276,0,0,0,0
132,1780263929593,0,0,0,0
133,1780263931126,0,0,0,0
134,1780263931493,0,0,0,0
135,1780263934375,0,0,0,0
136,1780263934875,0,0,0,1
137,1780263936159,0,0,0,1
138,1780263937926,0,0,0,1
139,1780263939826,0,0,0,1
140,1780263939909,0,0,0,1
141,1780263940942,0,0,0,1
142,1780263941725,0,0,0,1
143,1780263942959,0,0,0,1
144,1780263944976,0,0,0,1
145,1780263946311,0,0,0,1
146,1780263946875,0,0,0,1
147,1780263947576,0,0,0,1
148,1780263948827,0,0,0,1
149,1780263949925,0,0,0,1
150,1780263953142,0,0,0,1
151,1780263953761,0,0,0,1
152,1780263955327,0,0,0,1
153,1780263955876,0,0,0,1
154,1780263956860,0,0,0,1
155,1780263957808,0,0,0,1
156,1780263964041,0,0,0,0
157,1780263965808,0,0,0,0
158,1780263966424,0,0,0,0
159,1780263966558,0,0,0,0
160,1780263971992,0,0,0,0
161,1780263973974,0,0,0,0
162,1780263974474,0,0,0,0
163,1780263974557,0,0,0,0
164,1780263974961,0,0,0,1
165,1780263979706,0,0,0,1
166,1780263983756,0,0,0,1
167,1780263984075,0,0,0,1
168,1780263984540,0,0,0,1
169,1780263984906,0,0,0,1
170,1780263986106,0,0,0,1
171,1780263987224,0,0,0,1
172,1780263988906,0,0,0,1
173,1780263991459,0,0,0,0
174,1780263993025,0,0,0,0
175,1780263993323,0,0,0,0
176,1780263995639,0,0,0,0
177,1780263996039,0,0,0,0
178,1780263996539,0,0,0,0
179,1780263996706,0,0,0,0
180,1780263997240,0,0,0,0
181,1780263997773,0,0,0,0
182,1780263998057,0,0,0,0
183,1780263999306,0,0,0,0
184,1780264001040,0,0,0,0
185,1780264001824,0,0,0,0
186,1780264002439,0,0,0,0
187,1780264002638,0,0,0,0
188,1780264004539,0,0,0,0
189,1780264005239,0,0,0,0
190,1780264006188,0,0,0,0
191,1780264006940,0,0,0,0
192,1780264008371,0,0,0,0
193,1780264009938,0,0,0,0
194,1780264010189,0,0,0,0
195,1780264011105,0,0,0,0
196,1780264011222,0,0,0,0
197,1780264013541,0,0,0,0
198,1780264013655,0,0,0,0
199,1780264014940,0,0,0,0
200,1780264015188,0,0,0,0
201,1780264015721,0,0,0,0
202,1780264017772,0,0,0,0
203,1780264018522,0,0,0,0
204,1780264019639,0,0,0,0
205,1780264020139,0,0,0,0
206,1780264020255,0,0,0,0
207,1780264020989,0,0,0,0
208,1780264021772,0,0,0,0
209,1780264022771,0,0,0,0
210,1780264024538,0,0,0,0
211,1780264025005,0,0,0,0
212,1780264025155,0,0,0,0
213,1780264026887,0,0,0,0
214,1780264028004,0,0,0,0
215,1780264028671,0,0,0,0
216,1780264033037,0,0,0,0
217,1780264033453,0,0,0,0
218,1780264036138,0,0,0,0
219,1780264036220,0,0,0,0
220,1780264038270,0,0,0,0
221,1780264039271,0,0,0,0
222,1780264039672,0,0,0,0
223,1780264040869,0,0,0,0
224,1780264042737,0,0,0,0
225,1780264042936,0,0,0,0
226,1780264043020,0,0,0,0
227,1780264044252,0,0,0,0
228,1780264049052,0,0,0,0
229,1780264051620,0,0,0,0
230,1780264053853,0,0,0,0
231,1780264055802,0,0,0,0
232,1780264058252,0,0,0,0
233,1780264060086,0,0,0,0
234,1780264060169,0,0,0,0
235,1780264107400,0,0,0,0
236,1780264108351,0,0,0,0
237,1780264109583,0,0,0,0
238,1780264109882,0,0,0,0
239,1780264110749,0,0,0,0
240,1780264110866,0,0,0,0
241,1780264112516,0,0,0,0
242,1780264116266,0,0,0,0
243,1780264116766,0,0,0,0
244,1780264116849,0,0,0,0
245,1780264117050,0,0,0,0
246,1780264117599,0,0,0,0
247,1780264121265,0,0,0,0
248,1780264121548,0,0,0,0
249,1780264121999,0,0,0,0
250,1780264122533,0,0,0,0
251,1780264124849,0,0,0,0
252,1780264128649,0,0,0,0
253,1780264130949,0,0,0,0
254,1780264134783,0,0,0,0
255,1780264138414,0,0,0,0
256,1780264140315,0,0,0,0
257,1780264141264,0,0,0,0
258,1780264141681,0,0,0,0
259,1780264142414,0,0,0,0
260,1780264142718,0,0,0,0
261,1780264143164,0,0,0,0
262,1780264145680,0,0,0,0
263,1780264146465,0,0,0,0
264,1780264148197,0,0,0,0
265,1780264149931,0,0,0,0
266,1780264150167,0,0,0,0
267,1780264150582,0,0,0,0
268,1780264152064,0,0,0,0
269,1780264152532,0,0,0,0
270,1780264153764,0,0,0,0
271,1780264155330,0,0,0,0
272,1780264156065,0,0,0,0
273,1780264156280,0,0,0,0
274,1780264156814,0,0,0,0
275,1780264157930,0,0,0,0
276,1780264158180,0,0,0,0
277,1780264160813,0,0,0,0
278,1780264161263,0,0,0,0
279,1780264162514,0,0,0,0
280,1780264162746,0,0,0,0
281,1780264163297,0,0,0,0
282,1780264163448,0,0,0,0
283,1780264163947,0,0,0,0
284,1780264164813,0,0,0,0
