index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
997,1762970121081,0,0,0,0,0,0,0,0
998,1762970121149,0,0,0,0,0,0,0,0
999,1762970121264,0,0,0,0,0,0,0,0
1000,1762970121365,0,0,0,0,0,0,0,0
1001,1762970121480,0,0,0,0,0,0,0,0
1002,1762970121598,0,0,0,0,0,0,0,0
1003,1762970121715,0,0,0,0,0,0,0,0
1004,1762970121814,0,0,0,0,0,0,0,0
1005,1762970121984,0,0,0,0,0,0,0,0
1006,1762970122031,0,0,0,0,0,0,0,0
1007,1762970122132,0,0,0,0,0,0,0,0
1008,1762970122247,0,0,0,0,0,0,0,0
1009,1762970122364,0,0,0,0,0,0,0,0
1010,1762970122464,0,0,0,0,0,0,0,0
1011,1762970122580,0,0,0,0,0,0,0,0
1012,1762970122681,0,0,0,0,0,0,0,0
1013,1762970122813,0,0,0,0,0,0,0,0
1014,1762970122930,0,0,0,0,0,0,0,0
1015,1762970123030,0,0,0,0,0,0,0,0
1016,1762970123130,0,0,0,0,0,0,0,0
1017,1762970123247,0,0,0,0,0,0,0,0
1018,1762970123347,0,0,0,0,0,0,0,0
1019,1762970123463,0,0,0,0,0,0,0,0
1020,1762970123563,0,0,0,0,0,0,0,0
1021,1762970123679,0,0,0,0,0,0,0,0
1022,1762970123795,0,0,0,0,0,0,0,0
1023,1762970123912,0,0,0,0,0,0,0,0
1024,1762970124012,0,0,0,0,0,0,0,0
1025,1762970124112,0,0,0,0,0,0,0,0
1026,1762970124229,0,0,0,0,0,0,0,0
1027,1762970124346,0,0,0,0,0,0,0,0
1028,1762970124445,0,0,0,0,0,0,0,0
1029,1762970124562,0,0,0,0,0,0,0,0
1030,1762970124679,0,0,0,0,0,0,0,0
1031,1762970124795,0,0,0,0,0,0,0,0
1032,1762970125111,0,0,0,0,0,0,0,0
1033,1762970125228,0,0,0,0,0,0,0,0
1034,1762970125328,0,0,0,0,0,0,0,0
1035,1762970125445,0,0,0,0,0,0,0,0
1036,1762970125544,0,0,0,0,0,0,0,0
1037,1762970125663,0,0,0,0,0,0,0,0
1038,1762970125777,0,0,0,0,0,0,0,0
1039,1762970125894,0,0,0,0,0,0,0,0
1040,1762970125993,0,0,0,0,0,0,0,0
1041,1762970126110,0,0,0,0,0,0,0,0
1042,1762970126211,0,0,0,0,0,0,0,0
1043,1762970126344,0,0,0,0,0,0,0,0
1044,1762970126445,0,0,0,0,0,0,0,0
1045,1762970126545,0,0,0,0,0,0,0,0
1046,1762970126645,0,0,0,0,0,0,0,0
1047,1762970126761,0,0,0,0,0,0,0,0
1048,1762970126894,0,0,0,0,0,0,0,0
1049,1762970126996,0,0,0,0,0,0,0,0
1050,1762970127093,0,0,0,0,0,0,0,0
1051,1762970127194,0,0,0,0,0,0,0,0
1052,1762970127308,0,0,0,0,0,0,0,0
1053,1762970127426,0,0,0,0,0,0,0,0
1054,1762970127542,0,0,0,0,0,0,0,0
1055,1762970127642,0,0,0,0,0,0,0,0
1056,1762970127759,0,0,0,0,0,0,0,0
1057,1762970128076,0,0,0,0,0,0,0,0
1058,1762970128192,0,0,0,0,0,0,0,0
1059,1762970128309,0,0,0,0,0,0,0,0
1060,1762970128408,0,0,0,0,0,0,0,0
1061,1762970128530,0,0,0,0,0,0,0,0
1062,1762970128626,0,0,0,0,0,0,0,0
1063,1762970129075,0,0,0,0,0,0,0,0
1064,1762970129174,0,0,0,0,0,0,0,0
1065,1762970129274,0,0,0,0,0,0,0,0
1066,1762970129391,0,0,0,0,0,0,0,0
1067,1762970129509,0,0,0,0,0,0,0,0
1068,1762970129624,0,0,0,0,0,0,0,0
1069,1762970130274,0,0,0,0,0,0,0,0
1070,1762970130939,0,0,0,0,0,0,0,0
1071,1762970131042,0,0,0,0,0,0,0,0
1072,1762970131306,0,0,0,0,0,0,0,0
1073,1762970131389,0,0,0,0,0,0,0,0
1074,1762970131507,0,0,0,0,0,0,0,0
1075,1762970131606,0,0,0,0,0,0,0,0
1076,1762970131705,0,0,0,0,0,0,0,0
1077,1762970131822,0,0,0,0,0,0,0,0
1078,1762970131956,0,0,0,0,0,0,0,0
1079,1762970132039,0,0,0,0,0,0,0,0
1080,1762970132155,0,0,0,0,0,0,0,0
1081,1762970132256,0,0,0,0,0,0,0,0
1082,1762970132355,0,0,0,0,0,0,0,0
1083,1762970132472,0,0,36,0,0,0,0,0
1084,1762970132589,0,0,97,0,0,0,0,0
1085,1762970132722,0,0,102,0,0,0,0,0
1086,1762970132821,0,0,107,0,0,0,0,0
1087,1762970132939,0,0,114,0,0,0,0,0
1088,1762970133139,0,0,135,0,0,0,0,0
1089,1762970133254,0,0,132,0,0,0,0,0
1090,1762970133371,0,0,135,0,0,0,0,0
1091,1762970133504,0,0,137,0,0,0,0,0
1092,1762970133587,0,0,152,0,0,0,0,0
1093,1762970133705,0,0,163,0,0,0,0,0
1094,1762970133803,0,0,172,0,0,0,0,0
1095,1762970133920,0,0,171,0,0,0,0,0
1096,1762970134020,0,0,162,0,0,0,0,0
1097,1762970134120,0,0,163,0,0,0,0,0
1098,1762970134238,0,0,161,0,0,0,0,0
1099,1762970134370,0,0,164,0,0,0,0,0
1100,1762970134487,0,0,170,0,0,0,0,0
1101,1762970134687,0,0,172,0,0,0,0,0
1102,1762970134770,0,0,172,0,0,0,0,0
1103,1762970134871,0,0,0,0,0,0,0,0
1104,1762970134920,0,0,0,0,0,0,0,0
1105,1762970135003,0,0,0,0,0,0,0,0
1106,1762970135120,0,0,0,0,0,0,0,0
1107,1762970135236,0,0,0,0,0,0,0,0
1108,1762970135354,0,0,0,0,0,0,0,0
1109,1762970135469,0,0,0,0,0,0,0,0
1110,1762970135753,0,0,0,0,0,0,0,0
1111,1762970135869,0,0,0,0,0,0,0,0
1112,1762970135969,0,0,0,0,0,0,0,0
1113,1762970136052,0,0,0,0,0,0,0,0
1114,1762970136119,0,0,0,0,0,0,0,0
1115,1762970136219,0,0,0,0,0,0,0,0
1116,1762970136335,0,0,0,0,0,0,0,0
1117,1762970136451,0,0,0,0,0,0,0,0
1118,1762970136551,0,0,0,0,0,0,0,0
1119,1762970136701,0,0,0,0,0,0,0,0
1120,1762970136868,0,0,0,0,0,0,0,0
1121,1762970137018,0,0,0,0,0,0,0,0
1122,1762970137085,0,0,0,0,0,0,0,0
1123,1762970137202,0,0,0,0,0,0,0,0
