index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
260,1782579694804,2549,970,33
261,1782579695952,2570,904,31
262,1782579696835,2593,780,27
263,1782579697219,2575,701,24
264,1782579699250,2254,353,10
265,1782579700732,2212,536,16
266,1782579702265,0,0,0
267,1782579703080,266,43,0
268,1782579703480,146,25,0
269,1782579704578,981,65535,0
270,1782579704946,894,242,2
271,1782579705295,525,343,2
272,1782579705777,151,102,0
273,1782579707043,1683,10,0
274,1782579707909,519,461,3
275,1782579709192,288,678,2
276,1782579709591,358,570,2
277,1782579710341,0,0,0
278,1782579710741,0,0,0
279,1782579711589,0,0,0
280,1782579711988,0,0,0
281,1782579712822,0,0,0
282,1782579713388,0,0,0
283,1782579713771,0,0,0
284,1782579714771,0,0,0
285,1782579714953,0,0,0
286,1782579715553,0,0,0
287,1782579716502,0,0,0
288,1782579716852,0,0,0
289,1782579717218,0,0,0
290,1782579717468,0,0,0
291,1782579717667,0,0,0
292,1782579718084,0,0,0
293,1782579718966,0,0,0
294,1782579719349,0,0,0
295,1782579719999,0,0,0
296,1782579720182,0,0,0
297,1782579721066,0,0,0
298,1782579782114,0,0,0
299,1782579782683,0,0,0
300,1782579783314,0,0,0
301,1782579783896,0,0,0
302,1782579784563,0,0,0
303,1782579785262,0,0,0
304,1782579785395,0,0,0
305,1782579785679,0,0,0
306,1782579786245,0,0,0
307,1782579786611,0,0,0
308,1782579786878,0,0,0
309,1782579787111,0,0,0
310,1782579787411,0,0,0
311,1782579787644,0,0,0
312,1782579790307,0,0,0
313,1782579790357,0,0,0
314,1782579790689,0,0,0
315,1782579790939,0,0,0
316,1782579791290,0,0,0
317,1782579791472,0,0,0
318,1782579791806,0,0,0
319,1782579792090,0,0,0
320,1782579792472,0,0,0
321,1782579795453,0,0,0
322,1782579797801,0,0,0
323,1782579798001,0,0,0
324,1782579798283,0,0,0
325,1782579798900,0,0,0
326,1782579800215,0,0,0
327,1782579800448,0,0,0
328,1782579800764,0,0,0
329,1782579801066,0,0,0
330,1782579801380,0,0,0
331,1782579801698,0,0,0
332,1782579801964,0,0,0
333,1782579802297,0,0,0
334,1782579802431,0,0,0
335,1782579804428,0,0,0
336,1782579807043,0,0,0
337,1782579810157,0,0,0
338,1782579810523,0,0,0
339,1782579810790,0,0,0
340,1782579811023,0,0,0
341,1782579811406,0,0,0
342,1782579811672,0,0,0
343,1782579811955,0,0,0
344,1782579812188,0,0,0
345,1782579815187,0,0,0
346,1782579815536,0,0,0
347,1782579816102,0,0,0
348,1782579816301,0,0,0
