index,date,MODE_ID,ERROR_ID,AIR_P,AIR_N,1,2,3,4
3537,1765897472225,1,0,1,1,0,0,0,0
3538,1765897473156,1,0,1,1,0,0,0,0
3539,1765897473272,1,0,1,1,0,0,0,0
3540,1765897473389,1,0,1,1,0,0,0,0
3541,1765897473889,1,0,1,1,0,0,0,0
3542,1765897474090,1,0,1,1,0,0,0,0
3543,1765897474588,1,0,1,1,0,0,0,0
3544,1765897474971,1,0,1,1,0,0,0,0
3545,1765897475488,1,0,1,1,0,0,0,0
3546,1765897475670,1,0,1,1,0,0,0,0
3547,1765897475837,1,0,1,1,0,0,0,0
3548,1765897477570,1,0,1,1,0,0,0,0
3549,1765897477587,1,0,1,1,0,0,0,0
3550,1765897477603,1,0,1,1,0,0,0,0
3551,1765897477620,1,0,1,1,0,0,0,0
3552,1765897477851,1,0,1,1,0,0,0,0
3553,1765897478518,1,0,1,1,0,0,0,0
3554,1765897478701,1,0,1,1,0,0,0,0
3555,1765897479301,1,0,1,1,0,0,0,0
3556,1765897479500,1,0,1,1,0,0,0,0
3557,1765897480765,1,0,1,1,0,0,0,0
3558,1765897481799,1,0,1,1,0,0,0,0
3559,1765897482116,1,0,1,1,0,0,0,0
3560,1765897482416,1,0,1,1,0,0,0,0
3561,1765897482982,1,0,1,1,0,0,0,0
3562,1765897483081,1,0,1,1,0,0,0,0
3563,1765897483198,1,0,1,1,0,0,0,0
3564,1765897483614,1,0,1,1,0,0,0,0
3565,1765897484347,1,0,1,1,0,0,0,0
3566,1765897484597,1,0,1,1,0,0,0,0
3567,1765897484864,1,0,1,1,0,0,0,0
3568,1765897485363,1,0,1,1,0,0,0,0
3569,1765897485563,1,0,1,1,0,0,0,0
3570,1765897485663,1,0,1,1,0,0,0,0
3571,1765897485879,1,0,1,1,0,0,0,0
3572,1765897485962,1,0,1,1,0,0,0,0
3573,1765897486262,1,0,1,1,0,0,0,0
3574,1765897486612,1,0,1,1,0,0,0,0
3575,1765897486962,1,0,1,1,0,0,0,0
3576,1765897487195,1,0,1,1,0,0,0,0
3577,1765897488628,1,0,1,1,0,0,0,0
3578,1765897488908,1,0,1,1,0,0,0,0
3579,1765897489359,1,0,1,1,0,0,0,0
3580,1765897489711,1,0,1,1,0,0,0,0
3581,1765897490873,1,0,1,1,0,0,0,0
3582,1765897491373,1,0,1,1,0,0,0,0
3583,1765897491957,1,0,1,1,0,0,0,0
3584,1765897492223,1,0,1,1,0,0,0,0
3585,1765897492739,1,0,1,1,0,0,0,0
3586,1765897493272,1,0,1,1,0,0,0,0
3587,1765897493423,1,0,1,1,0,0,0,0
3588,1765897493855,1,0,1,1,0,0,0,0
3589,1765897494105,1,0,1,1,0,0,0,0
3590,1765897494655,1,0,1,1,0,0,0,0
3591,1765897494788,1,0,1,1,0,0,0,0
3592,1765897495454,1,0,1,1,0,0,0,0
3593,1765897495787,1,0,1,1,0,0,0,0
3594,1765897495871,1,0,1,1,0,0,0,0
3595,1765897496237,1,0,1,1,0,0,0,0
3596,1765897496553,1,0,1,1,0,0,0,0
3597,1765897496802,1,0,1,1,0,0,0,0
3598,1765897497103,1,0,1,1,0,0,0,0
3599,1765897497602,1,0,1,1,0,0,0,0
3600,1765897499534,1,0,1,1,0,0,0,0
3601,1765897499551,1,0,1,1,0,0,0,0
3602,1765897499569,1,0,1,1,0,0,0,0
3603,1765897499569,1,0,1,1,0,0,0,0
3604,1765897499585,1,0,1,1,0,0,0,0
3605,1765897499585,1,0,1,1,0,0,0,0
3606,1765897499766,1,0,1,1,0,0,0,0
3607,1765897500599,1,0,1,1,0,0,0,0
3608,1765897500817,1,0,1,1,0,0,0,0
3609,1765897500915,1,0,1,1,0,0,0,0
3610,1765897501481,1,0,1,1,0,0,0,0
3611,1765897501698,1,0,1,1,0,0,0,0
3612,1765897501915,1,0,1,1,0,0,0,0
3613,1765897502264,1,0,1,1,0,0,0,0
3614,1765897502597,1,0,1,1,0,0,0,0
3615,1765897502930,1,0,1,1,0,0,0,0
3616,1765897503464,1,0,1,1,0,0,0,0
3617,1765897505296,1,0,1,1,0,0,0,0
3618,1765897505512,1,0,1,1,0,0,0,0
3619,1765897505828,1,0,1,1,0,0,0,0
3620,1765897505928,1,0,1,1,0,0,0,0
3621,1765897506144,1,0,1,1,0,0,0,0
3622,1765897506511,1,0,1,1,0,0,0,0
3623,1765897506828,1,0,1,1,0,0,0,0
3624,1765897507028,1,0,1,1,0,0,0,0
3625,1765897507277,1,0,1,1,0,0,0,0
3626,1765897507760,1,0,1,1,0,0,0,0
3627,1765897507978,1,0,1,1,0,0,0,0
3628,1765897508094,1,0,1,1,0,0,0,0
3629,1765897508378,1,0,1,1,0,0,0,0
3630,1765897508593,1,0,1,1,0,0,0,0
3631,1765897509043,1,0,1,1,0,0,0,0
3632,1765897509176,1,0,1,1,0,0,0,0
3633,1765897510574,1,0,1,1,0,0,0,0
3634,1765897511025,1,0,1,1,0,0,0,0
3635,1765897511822,1,0,1,1,0,0,0,0
3636,1765897512156,1,0,1,1,0,0,0,0
3637,1765897512240,1,0,1,1,0,0,0,0
3638,1765897512455,1,0,1,1,0,0,0,0
3639,1765897512589,1,0,1,1,0,0,0,0
3640,1765897512805,1,0,1,1,0,0,0,0
3641,1765897512973,1,0,1,1,0,0,0,0
3642,1765897513390,1,0,1,1,0,0,0,0
3643,1765897513671,1,0,1,1,0,0,0,0
3644,1765897513874,1,0,1,1,0,0,0,0
3645,1765897514006,1,0,1,1,0,0,0,0
3646,1765897514187,1,0,1,1,0,0,0,0
3647,1765897514604,1,0,1,1,0,0,0,0
3648,1765897514870,1,0,1,1,0,0,0,0
3649,1765897514987,1,0,1,1,0,0,0,0
3650,1765897515320,1,0,1,1,0,0,0,0
3651,1765897515671,1,0,1,1,0,0,0,0
3652,1765897516219,1,0,1,1,0,0,0,0
3653,1765897516505,1,0,1,1,0,0,0,0
