index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
274,1780262287336,0,0,0,0
275,1780262287704,0,0,0,0
276,1780262289270,0,0,0,0
277,1780262289553,0,0,0,0
278,1780262289886,0,0,0,0
279,1780262291420,0,0,0,0
280,1780262294186,0,0,0,0
281,1780262295369,0,0,0,0
282,1780262296988,0,0,0,0
283,1780262299702,0,0,0,0
284,1780262300402,0,0,0,7862
285,1780262301970,0,0,0,0
286,1780262304035,0,0,0,0
287,1780262309651,0,0,0,0
288,1780262311869,0,0,0,0
289,1780262687880,0,0,0,0
290,1780262688464,0,0,0,0
291,1780262694380,0,0,0,0
292,1780262699412,0,0,0,0
293,1780262706479,0,0,0,0
294,1780262706880,0,0,0,0
295,1780262707213,0,0,0,0
296,1780262708046,0,0,0,0
297,1780262708746,0,0,0,0
298,1780262713687,0,0,0,0
299,1780262716362,0,0,0,0
300,1780262718762,0,0,0,0
301,1780262719629,0,0,0,0
302,1780262720328,0,0,0,0
303,1780262721529,0,0,0,0
304,1780262724695,0,0,0,0
305,1780262725278,0,0,0,0
306,1780262728327,0,0,0,0
307,1780262728696,0,0,0,0
308,1780262731996,0,0,0,0
309,1780262732745,0,0,0,0
310,1780262738061,0,0,0,0
311,1780262742727,0,0,0,0
312,1780262746761,0,0,0,0
313,1780262749360,0,0,0,0
314,1780262749577,0,0,0,0
315,1780262751260,0,0,0,0
316,1780262754610,0,0,0,0
317,1780262756626,0,0,0,0
318,1780262757376,0,0,0,0
319,1780262759226,0,0,0,0
320,1780262759547,0,0,0,0
321,1780262762726,0,0,0,0
322,1780262765742,0,0,0,0
323,1780262771843,0,0,0,0
324,1780262773742,0,0,0,0
325,1780262774442,0,0,0,0
326,1780262776375,0,0,0,0
327,1780262781876,0,0,0,0
328,1780262787558,0,0,0,0
329,1780262790275,0,0,0,0
330,1780262790941,0,0,0,0
331,1780262792425,0,0,0,0
332,1780262799857,0,0,0,0
333,1780262802491,0,0,0,0
334,1780262804257,0,0,0,0
335,1780262808107,0,0,0,0
336,1780262809140,0,0,0,0
337,1780262814207,0,0,0,0
338,1780262816390,0,0,0,0
339,1780262819273,0,0,0,0
340,1780262821956,0,0,0,0
341,1780262823605,0,0,0,0
342,1780262824639,0,0,0,0
343,1780262825173,0,0,0,0
344,1780262826622,0,0,0,0
345,1780262833339,0,0,0,0
346,1780262835489,0,0,0,0
347,1780262835988,0,0,0,0
348,1780262858254,0,0,0,0
349,1780262861341,0,0,0,0
350,1780262871819,0,0,0,0
351,1780262874052,0,0,0,0
352,1780262875653,0,0,0,0
353,1780262876904,0,0,0,7910
354,1780262878052,0,0,0,0
355,1780262879654,0,0,0,0
356,1780262883869,0,0,0,0
357,1780262884536,0,0,0,0
358,1780262888652,0,0,0,0
359,1780262889069,0,0,0,0
