index,date,KP,TI,SLIP
299,1782579704129,0,0,0
300,1782579704528,0,0,0
301,1782579705561,0,0,0
302,1782579706511,0,0,0
303,1782579706960,0,0,0
304,1782579708675,0,0,0
305,1782579709058,0,0,0
306,1782579709908,0,0,0
307,1782579711006,0,0,0
308,1782579711489,0,0,0
309,1782579712355,0,0,0
310,1782579713622,0,0,0
311,1782579714154,0,0,0
312,1782579714603,0,0,0
313,1782579715170,0,0,0
314,1782579715420,0,0,0
315,1782579716318,0,0,0
316,1782579718799,0,0,0
317,1782579720582,0,0,0
318,1782579720948,0,0,0
319,1782579721831,0,0,0
320,1782579782334,0,0,0
321,1782579782947,0,0,0
322,1782579783531,0,0,0
323,1782579783564,0,0,0
324,1782579784113,0,0,0
325,1782579784848,0,0,0
326,1782579785895,0,0,0
327,1782579787877,0,0,0
328,1782579788009,0,0,0
329,1782579788276,0,0,0
330,1782579788526,0,0,0
331,1782579788875,0,0,0
332,1782579789408,0,0,0
333,1782579789974,0,0,0
334,1782579791706,0,0,0
335,1782579792805,0,0,0
336,1782579792954,0,0,0
337,1782579793221,0,0,0
338,1782579793554,0,0,0
339,1782579793837,0,0,0
340,1782579794154,0,0,0
341,1782579794387,0,0,0
342,1782579794721,0,0,0
343,1782579794986,0,0,0
344,1782579796053,0,0,0
345,1782579796369,0,0,0
346,1782579796718,0,0,0
347,1782579796918,0,0,0
348,1782579797234,0,0,0
349,1782579802630,0,0,0
350,1782579802830,0,0,0
351,1782579803113,0,0,0
352,1782579803430,0,0,0
353,1782579803663,0,0,0
354,1782579803978,0,0,0
355,1782579804362,0,0,0
356,1782579804629,0,0,0
357,1782579804944,0,0,0
358,1782579807559,0,0,0
359,1782579807793,0,0,0
360,1782579808076,0,0,0
361,1782579808359,0,0,0
362,1782579808608,0,0,0
363,1782579808908,0,0,0
364,1782579809291,0,0,0
365,1782579809474,0,0,0
366,1782579809707,0,0,0
367,1782579812488,0,0,0
368,1782579812838,0,0,0
369,1782579813088,0,0,0
370,1782579813305,0,0,0
371,1782579813687,0,0,0
372,1782579813937,0,0,0
373,1782579814254,0,0,0
374,1782579814471,0,0,0
