index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
577,1765915410557,0,0,0,0,0,0,0,0
578,1765915410857,0,0,0,0,0,0,0,0
579,1765915410924,0,0,0,0,0,0,0,0
580,1765915411840,0,0,0,0,0,0,0,0
581,1765915412124,0,0,0,0,0,0,0,0
582,1765915412457,0,0,0,0,0,0,0,0
583,1765915412738,0,0,0,0,0,0,0,0
584,1765915413107,0,0,0,0,0,0,0,0
585,1765915413407,0,0,0,0,0,0,0,0
586,1765915414040,0,0,0,0,0,0,0,0
587,1765915414390,0,0,0,0,0,0,0,0
588,1765915414673,0,0,0,0,0,0,0,0
589,1765915414956,0,0,0,0,0,0,0,0
590,1765915414990,0,0,0,0,0,0,0,0
591,1765915415273,0,0,0,0,0,0,0,0
592,1765915415557,0,0,0,0,0,0,0,0
593,1765915415874,0,0,0,0,0,0,0,0
594,1765915416157,0,0,0,0,0,0,0,0
595,1765915416472,0,0,0,0,0,0,0,0
596,1765915416756,0,0,0,0,0,0,0,0
597,1765915417021,0,0,0,0,0,0,0,0
598,1765915417338,0,0,0,0,0,0,0,0
599,1765915417624,0,0,0,0,0,0,0,0
600,1765915417940,0,0,0,0,0,0,0,0
601,1765915418221,0,0,0,0,0,0,0,0
602,1765915418522,1,0,0,0,0,0,0,0
603,1765915418807,1,0,0,0,0,0,0,0
604,1765915419091,1,0,0,0,0,0,0,0
605,1765915419407,1,0,0,0,0,0,0,0
606,1765915419674,1,0,0,0,0,0,0,0
607,1765915419989,1,0,0,0,0,0,0,0
608,1765915420274,1,0,0,0,0,0,0,0
609,1765915420540,1,0,0,0,0,0,0,0
610,1765915420888,1,0,0,0,0,0,0,0
611,1765915421141,1,0,0,0,0,0,0,0
612,1765915421440,1,0,0,0,0,0,0,0
613,1765915421724,1,0,0,0,0,0,0,0
614,1765915422007,1,0,0,0,0,0,0,0
615,1765915422040,1,0,0,0,0,0,0,0
616,1765915422323,0,0,0,0,0,0,0,0
617,1765915422607,0,0,0,0,0,0,0,0
618,1765915422907,0,0,0,0,0,0,0,0
619,1765915423189,0,0,0,0,0,0,0,0
620,1765915423524,0,0,0,0,0,0,0,0
621,1765915423790,0,0,0,0,0,0,0,0
622,1765915424057,0,0,0,0,0,0,0,0
623,1765915424374,1,0,0,0,0,0,0,0
624,1765915424657,1,0,0,0,0,0,0,0
625,1765915424974,1,0,0,0,0,0,0,0
626,1765915425241,1,0,0,0,0,0,0,0
627,1765915425557,1,0,0,0,0,0,0,0
628,1765915425857,1,0,0,0,0,0,0,0
629,1765915426124,1,0,0,0,0,0,0,0
630,1765915426441,0,0,0,0,0,0,0,0
631,1765915426723,0,0,0,0,0,0,0,0
632,1765915427040,0,0,0,0,0,0,0,0
633,1765915427324,0,0,0,0,0,0,0,0
634,1765915427606,0,0,0,0,0,0,0,0
635,1765915427641,0,0,0,0,0,0,0,0
636,1765915427924,0,0,0,0,0,0,0,0
637,1765915428191,0,0,0,0,0,0,0,0
638,1765915428507,0,0,0,0,0,0,0,0
639,1765915428807,0,0,0,0,0,0,0,0
640,1765915429106,0,0,0,0,0,0,0,0
641,1765915429373,0,0,0,0,0,0,0,0
642,1765915429673,0,0,0,0,0,0,0,0
643,1765915429990,0,0,0,0,0,0,0,0
644,1765915430256,0,0,0,0,0,0,0,0
645,1765915430574,0,0,0,0,0,0,0,0
646,1765915430857,0,0,0,0,0,0,0,0
647,1765915431173,0,0,0,0,0,0,0,0
648,1765915431457,0,0,0,0,0,0,0,0
649,1765915431740,0,0,0,0,0,0,0,0
650,1765915432057,0,0,0,0,0,0,0,0
651,1765915432323,0,0,0,0,0,0,0,0
652,1765915432640,0,0,0,0,0,0,0,0
653,1765915432940,0,0,0,0,0,0,0,0
654,1765915433207,0,0,0,0,0,0,0,0
655,1765915433240,0,0,0,0,0,0,0,0
656,1765915433523,0,0,0,0,0,0,0,0
657,1765915433806,0,0,0,0,0,0,0,0
658,1765915434122,0,0,0,0,0,0,0,0
659,1765915434407,0,0,0,0,0,0,0,0
660,1765915434723,0,0,0,0,0,0,0,0
661,1765915435006,0,0,0,0,0,0,0,0
662,1765915435274,0,0,0,0,0,0,0,0
663,1765915435590,0,0,0,0,0,0,0,0
664,1765915435889,0,0,0,0,0,0,0,0
665,1765915436206,0,0,0,0,0,0,0,0
666,1765915436474,0,0,0,0,0,0,0,0
667,1765915436790,0,0,0,0,0,0,0,0
668,1765915437073,0,0,0,0,0,0,0,0
669,1765915437357,0,0,0,0,0,0,0,0
670,1765915437690,0,0,0,0,0,0,0,0
671,1765915437957,0,0,0,0,0,0,0,0
672,1765915438540,0,0,0,0,0,0,0,0
673,1765915438857,0,0,0,0,0,0,0,0
674,1765915439140,0,0,0,0,0,0,0,0
675,1765915439423,0,0,0,0,0,0,0,0
676,1765915439756,0,0,0,0,0,0,0,0
677,1765915440023,0,0,0,0,0,0,0,0
678,1765915440340,0,0,0,0,0,0,0,0
679,1765915440641,0,0,0,0,0,0,0,0
680,1765915440922,0,0,0,0,0,0,0,0
681,1765915440957,0,0,0,0,0,0,0,0
682,1765915441240,0,0,0,0,0,0,0,0
683,1765915441524,0,0,0,0,0,0,0,0
684,1765915441874,0,0,0,0,0,0,0,0
685,1765915442157,0,0,0,0,0,0,0,0
686,1765915442490,0,0,0,0,0,0,0,0
687,1765915442811,0,0,0,0,0,0,0,0
688,1765915443141,0,0,0,0,0,0,0,0
689,1765915443424,0,0,0,0,0,0,0,0
690,1765915443774,0,0,0,0,0,0,0,0
691,1765915444057,0,0,0,0,0,0,0,0
692,1765915444390,0,0,0,0,0,0,0,0
693,1765915444673,0,0,0,0,0,0,0,0
694,1765915444973,0,0,0,0,0,0,0,0
695,1765915445040,0,0,0,0,0,0,0,0
696,1765915445322,0,0,0,0,0,0,0,0
697,1765915445622,0,0,0,0,0,0,0,0
698,1765915445957,0,0,0,0,0,0,0,0
699,1765915446240,0,0,0,0,0,0,0,0
700,1765915446588,0,0,0,0,0,0,0,0
701,1765915446874,0,0,0,0,0,0,0,0
702,1765915447207,0,0,0,0,0,0,0,0
703,1765915447507,0,0,0,0,0,0,0,0
704,1765915447856,0,0,0,0,0,0,0,0
705,1765915448157,0,0,0,0,0,0,0,0
706,1765915448506,1,0,0,0,0,0,0,0
707,1765915448790,1,0,0,0,0,0,0,0
708,1765915449107,1,0,0,0,0,0,0,0
709,1765915449390,1,0,0,0,0,0,0,0
710,1765915449674,1,0,0,0,0,0,0,0
711,1765915449973,1,0,0,0,0,0,0,0
712,1765915450257,1,8,0,0,0,0,0,0
713,1765915450556,1,0,0,0,0,0,0,0
714,1765915450840,1,0,0,0,0,0,0,0
715,1765915451123,1,0,0,0,0,0,0,0
716,1765915451423,1,0,0,0,0,0,0,0
717,1765915451707,1,0,0,0,0,0,0,0
718,1765915452007,1,0,0,0,0,0,0,0
719,1765915452290,1,0,0,0,0,0,0,0
720,1765915452557,1,0,0,0,0,0,0,0
721,1765915452873,1,0,0,0,0,0,0,0
722,1765915453140,1,0,0,0,0,0,0,0
723,1765915453456,1,0,0,0,0,0,0,0
724,1765915453800,1,0,0,0,0,0,0,0
725,1765915454006,1,0,0,0,0,0,0,0
726,1765915454040,1,0,0,0,0,0,0,0
727,1765915454307,1,0,0,0,0,0,0,0
728,1765915454589,1,0,0,0,0,0,0,0
729,1765915454906,1,0,0,0,0,0,0,0
