index,date,TEMPERATURE,1,2,3,4,5,6,7
558,1765218599794,790,0,0,0,0,0,0,0
559,1765218600195,782,0,0,0,0,0,0,0
560,1765218600277,784,0,0,0,0,0,0,0
561,1765218600510,782,0,0,0,0,0,0,0
562,1765218600627,780,0,0,0,0,0,0,0
563,1765218600843,790,0,0,0,0,0,0,0
564,1765218600942,780,0,0,0,0,0,0,0
565,1765218601193,778,0,0,0,0,0,0,0
566,1765218601346,784,0,0,0,0,0,0,0
567,1765218601511,769,0,0,0,0,0,0,0
568,1765218601711,786,0,0,0,0,0,0,0
569,1765218601811,784,0,0,0,0,0,0,0
570,1765218601961,776,0,0,0,0,0,0,0
571,1765218602092,782,0,0,0,0,0,0,0
572,1765218602294,786,0,0,0,0,0,0,0
573,1765218602475,784,0,0,0,0,0,0,0
574,1765218602693,786,0,0,0,0,0,0,0
575,1765218602825,784,0,0,0,0,0,0,0
576,1765218603008,788,0,0,0,0,0,0,0
577,1765218603211,788,0,0,0,0,0,0,0
578,1765218603459,788,0,0,0,0,0,0,0
579,1765218603576,782,0,0,0,0,0,0,0
580,1765218603644,786,0,0,0,0,0,0,0
581,1765218603728,778,0,0,0,0,0,0,0
582,1765218603944,782,0,0,0,0,0,0,0
583,1765218604077,786,0,0,0,0,0,0,0
584,1765218604261,788,0,0,0,0,0,0,0
585,1765218604311,790,0,0,0,0,0,0,0
586,1765218604394,786,0,0,0,0,0,0,0
587,1765218604627,792,0,0,0,0,0,0,0
588,1765218605161,784,0,0,0,0,0,0,0
589,1765218605377,790,0,0,0,0,0,0,0
590,1765218605494,786,0,0,0,0,0,0,0
591,1765218605694,778,0,0,0,0,0,0,0
592,1765218605827,778,0,0,0,0,0,0,0
593,1765218606078,790,0,0,0,0,0,0,0
594,1765218606160,786,0,0,0,0,0,0,0
595,1765218606194,784,0,0,0,0,0,0,0
596,1765218606392,780,0,0,0,0,0,0,0
597,1765218606527,786,0,0,0,0,0,0,0
598,1765218606829,786,0,0,0,0,0,0,0
599,1765218606961,784,0,0,0,0,0,0,0
600,1765218607160,792,0,0,0,0,0,0,0
601,1765218607242,781,0,0,0,0,0,0,0
602,1765218607661,792,0,0,0,0,0,0,0
603,1765218607827,784,0,0,0,0,0,0,0
604,1765218607944,786,0,0,0,0,0,0,0
605,1765218608394,790,0,0,0,0,0,0,0
606,1765218608561,786,0,0,0,0,0,0,0
607,1765218608777,786,0,0,0,0,0,0,0
608,1765218608861,792,0,0,0,0,0,0,0
609,1765218609060,784,0,0,0,0,0,0,0
610,1765218609258,788,0,0,0,0,0,0,0
611,1765218609477,790,0,0,0,0,0,0,0
612,1765218609544,790,0,0,0,0,0,0,0
613,1765218609778,792,0,0,0,0,0,0,0
614,1765218610209,788,0,0,0,0,0,0,0
615,1765218610310,780,0,0,0,0,0,0,0
616,1765218610511,784,0,0,0,0,0,0,0
617,1765218610643,788,0,0,0,0,0,0,0
618,1765218610894,792,0,0,0,0,0,0,0
619,1765218610977,784,0,0,0,0,0,0,0
620,1765218611194,784,0,0,0,0,0,0,0
621,1765218611344,793,0,0,0,0,0,0,0
622,1765218611527,792,0,0,0,0,0,0,0
623,1765218611760,786,0,0,0,0,0,0,0
624,1765218612010,788,0,0,0,0,0,0,0
625,1765218612094,790,0,0,0,0,0,0,0
626,1765218612327,786,0,0,0,0,0,0,0
627,1765218612477,788,0,0,0,0,0,0,0
628,1765218612744,796,0,0,0,0,0,0,0
629,1765218612827,795,0,0,0,0,0,0,0
630,1765218613060,790,0,0,0,0,0,0,0
631,1765218613210,786,0,0,0,0,0,0,0
632,1765218613528,789,0,0,0,0,0,0,0
633,1765218613627,790,0,0,0,0,0,0,0
634,1765218613860,792,0,0,0,0,0,0,0
635,1765218613979,788,0,0,0,0,0,0,0
636,1765218614244,792,0,0,0,0,0,0,0
637,1765218614377,790,0,0,0,0,0,0,0
638,1765218614544,786,0,0,0,0,0,0,0
639,1765218614677,786,0,0,0,0,0,0,0
640,1765218614943,790,0,0,0,0,0,0,0
641,1765218615127,793,0,0,0,0,0,0,0
642,1765218615377,793,0,0,0,0,0,0,0
643,1765218615460,780,0,0,0,0,0,0,0
644,1765218615727,798,0,0,0,0,0,0,0
645,1765218615810,788,0,0,0,0,0,0,0
646,1765218616077,790,0,0,0,0,0,0,0
647,1765218616194,789,0,0,0,0,0,0,0
648,1765218616410,792,0,0,0,0,0,0,0
649,1765218616494,799,0,0,0,0,0,0,0
650,1765218616794,796,0,0,0,0,0,0,0
