index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
605,1762968142914,0,0,0,0,0,0,0,0
606,1762968143129,0,0,0,0,0,0,0,0
607,1762968143231,0,0,0,0,0,0,0,0
608,1762968143346,0,0,0,0,0,0,0,0
609,1762968143563,0,0,0,0,0,0,0,0
610,1762968143696,0,0,0,0,0,0,0,0
611,1762968143813,0,0,0,0,0,0,0,0
612,1762968143930,0,0,0,0,0,0,0,0
613,1762968144013,0,0,0,0,0,0,0,0
614,1762968144112,0,0,0,0,0,0,0,0
615,1762968144330,0,0,0,0,0,0,0,0
616,1762968144462,0,0,0,0,0,0,0,0
617,1762968144562,0,0,0,0,0,0,0,0
618,1762968144679,0,0,0,0,0,0,0,0
619,1762968144778,0,0,0,0,0,0,0,0
620,1762968144878,0,0,0,0,0,0,0,0
621,1762968144994,0,0,0,0,0,0,0,0
622,1762968145111,0,0,0,0,0,0,0,0
623,1762968145327,0,0,0,0,0,0,0,0
624,1762968145445,0,0,0,0,0,0,0,0
625,1762968145577,0,0,0,0,0,0,0,0
626,1762968145713,0,0,0,0,0,0,0,0
627,1762968145877,0,0,0,0,0,0,0,0
628,1762968145943,0,0,0,0,0,0,0,0
629,1762968145993,0,0,0,0,0,0,0,0
630,1762968146094,0,0,0,0,0,0,0,0
631,1762968146210,0,0,0,0,0,0,0,0
632,1762968146427,0,0,0,0,0,0,0,0
633,1762968146693,0,0,0,0,0,0,0,0
634,1762968146827,0,0,0,0,0,0,0,0
635,1762968146877,0,0,0,0,0,0,0,0
636,1762968146976,0,0,0,0,0,0,0,0
637,1762968147077,0,0,0,0,0,0,0,0
638,1762968147192,0,0,0,0,0,0,0,0
639,1762968147309,0,0,0,0,0,0,0,0
640,1762968147426,0,0,0,0,0,0,0,0
641,1762968147525,0,0,0,0,0,0,0,0
642,1762968147659,0,0,0,0,0,0,0,0
643,1762968147826,0,0,0,0,0,0,0,0
644,1762968147977,0,0,0,0,0,0,0,0
645,1762968148076,0,0,0,0,0,0,0,0
646,1762968148193,0,0,0,3.32,0,0,0,0
647,1762968148293,0,0,0,0,0,0,0,0
648,1762968148409,0,0,0,0,0,0,0,0
649,1762968148524,0,0,0,0,0,0,0,0
650,1762968148642,0,0,0,0,0,0,0,0
651,1762968148827,0,0,0,0,0,0,0,0
652,1762968149058,0,0,0,0,0,0,0,0
653,1762968149176,0,0,0,0,0,0,0,0
654,1762968149275,0,0,0,0,0,0,0,0
655,1762968149408,0,0,0,0,0,0,0,0
656,1762968149508,0,0,0,0,0,0,0,0
657,1762968149674,0,0,0,0,0,0,0,0
658,1762968149824,0,0,0,0,0,0,0,0
659,1762968149957,0,0,0,0,0,0,0,0
660,1762968150057,0,0,0,0,0,0,0,0
661,1762968150273,0,0,0,0,0,0,0,0
662,1762968150407,0,0,0,0,0,0,0,0
663,1762968150523,0,0,0,0,0,0,0,0
664,1762968150657,0,0,0,0,0,0,0,0
665,1762968150823,0,0,0,0,0,0,0,0
666,1762968150940,0,0,0,0,0,0,0,0
667,1762968151039,0,0,0,0,0,0,0,0
668,1762968151158,0,0,0,0,0,0,0,0
669,1762968151389,0,0,0,0,0,0,0,0
670,1762968151622,0,0,0,0,0,0,0,0
671,1762968151807,0,0,0,0,0,0,0,0
672,1762968152039,0,0,0,0,0,0,0,0
673,1762968152138,0,0,0,0,0,0,0,0
674,1762968152238,0,0,0,0,0,0,0,0
675,1762968152371,0,0,0,0,0,0,0,0
676,1762968152488,0,0,0,0,0,0,0,0
677,1762968152623,0,0,0,0,0,0,0,0
678,1762968152754,0,0,0,0,0,0,0,0
679,1762968152855,0,0,0,0,0,0,0,0
680,1762968153138,0,0,0,0,0,0,0,0
681,1762968153355,0,0,0,0,0,0,0,0
682,1762968153487,0,0,0,0,0,0,0,0
683,1762968153604,0,0,0,0,0,0,0,0
684,1762968153704,0,0,0,0,0,0,0,0
685,1762968153904,0,0,0,0,0,0,0,0
686,1762968154021,0,0,0,0,0,0,0,0
687,1762968154237,0,0,0,0,0,0,0,0
688,1762968154354,0,0,0,0,0,0,0,0
689,1762968154470,0,0,0,3.26,0,0,0,0
690,1762968154786,0,0,0,1,0,0,0,0
691,1762968155103,0,0,0,0,0,0,0,0
692,1762968155220,0,0,0,3.31,0,0,0,0
693,1762968155336,0,0,0,0,0,0,0,0
694,1762968155456,0,0,0,0,0,0,0,0
695,1762968155559,0,0,0,0,0,0,0,0
696,1762968155702,0,0,0,0,0,0,0,0
697,1762968155986,0,0,0,0,0,0,0,0
698,1762968156102,0,0,0,0,0,0,0,0
699,1762968156203,0,0,0,0,0,0,0,0
700,1762968156668,0,0,0,0,0,0,0,0
701,1762968156853,0,0,0,0,0,0,0,0
702,1762968156952,0,0,0,0,0,0,0,0
703,1762968157086,0,0,0,0,0,0,0,0
704,1762968157184,0,0,0,0,0,0,0,0
705,1762968157303,0,0,0,0,0,0,0,0
706,1762968157419,0,0,0,0,0,0,0,0
707,1762968157535,0,0,0,0,0,0,0,0
708,1762968157918,0,0,0,0,0,0,0,0
709,1762968157969,0,0,0,0,0,0,0,0
710,1762968158068,0,0,0,0,0,0,0,0
711,1762968158301,0,0,0,0,0,0,0,0
712,1762968158434,0,0,0,0,0,0,0,0
713,1762968158534,0,0,0,0,0,0,0,0
714,1762968158634,0,0,0,0,0,0,0,0
715,1762968158867,0,0,0,0,0,0,0,0
716,1762968159166,0,0,0,0,0,0,0,0
717,1762968159283,0,0,0,0,0,0,0,0
718,1762968159382,0,0,0,0,0,0,0,0
719,1762968159518,0,0,0,0,0,0,0,0
720,1762968159933,0,0,0,0,0,0,0,0
721,1762968159967,0,0,0,0,0,0,0,0
722,1762968160284,0,0,0,0,0,0,0,0
723,1762968160399,0,0,0,0,0,0,0,0
724,1762968161265,0,0,0,0,0,0,0,0
725,1762968161498,0,0,0,3.31,0,0,0,0
726,1762968161598,0,0,0,0,0,0,0,0
727,1762968161714,0,0,0,0,0,0,0,0
